Gene	Resolved_Isoform
LOC113218818	XP_026296907.1
LOC113218825	XP_026296948.1
LOC113218829	XP_026296989.1
LOC113218830	XP_026296992.1
LOC113218831	XP_026297001.1
LOC113218833	XP_026297025.1
LOC113218834	XP_026297034.1
LOC113218840	XP_026297052.1
LOC113218845	XP_026297079.1
LOC113218848	XP_026297097.1
LOC113218849	XP_026297100.1
LOC113218850	XP_026297115.1
LOC113218863	XP_026297171.1
LOC113218864	XP_026297180.1
LOC113218865	XP_026297192.1
LOC113218866	XP_026297193.1
LOC113218867	XP_026297202.1
LOC113218873	XP_026297213.1
LOC113218874	XP_026297214.1
LOC113218876	XP_026297231.1
LOC113218879	XP_026297247.1
LOC113218892	XP_026297433.1
LOC113218895	XP_026297476.1
LOC113218900	XP_026297579.1
LOC113218902	XP_026297621.1
LOC113218903	XP_026297622.1
LOC113218906	XP_026297687.1
LOC113218907	XP_026297690.1
LOC113218912	XP_026297785.1
LOC113218918	XP_026297845.1
LOC113218919	XP_026297847.1
LOC113218925	XP_026297926.1
LOC113218929	XP_026297969.1
LOC113218932	XP_026298000.1
LOC113218934	XP_026298034.1
LOC113218935	XP_026298040.1
LOC113218937	XP_026298057.1
LOC113218939	XP_026298102.1
LOC113218943	XP_026298120.1
LOC113218950	XP_026298166.1
LOC113218951	XP_026298205.1
LOC113218956	XP_026298246.1
LOC113218957	XP_026298258.1
LOC113218958	XP_026298264.1
LOC113218959	XP_026298267.1
LOC113218965	XP_026298353.1
LOC113218967	XP_026298375.1
LOC113218982	XP_026298489.1
LOC113218983	XP_026298499.1
LOC113218987	XP_026298535.1
LOC113218988	XP_026298543.1
LOC113218990	XP_026298548.1
LOC113218991	XP_026298549.1
LOC113218993	XP_026298615.1
LOC113219000	XP_026298641.1
LOC113219001	XP_026298712.1
LOC113219002	XP_026298713.1
LOC113219003	XP_026298718.1
LOC113219004	XP_026298723.1
LOC113219005	XP_026298730.1
LOC113219006	XP_026298736.1
LOC113219007	XP_026298738.1
LOC113219008	XP_026298739.1
LOC113219009	XP_026298742.1
LOC113219010	XP_026298743.1
LOC113219011	XP_026298746.1
LOC113219012	XP_026298747.1
LOC113219014	XP_026298749.1
LOC113219015	XP_026298758.1
LOC113219028	XP_026298886.1
LOC113219029	XP_026298927.1
LOC113219034	XP_026298989.1
LOC113219042	XP_026299054.1
LOC113219045	XP_026299128.1
LOC113219047	XP_026299148.1
LOC113219048	XP_026299149.1
LOC113219049	XP_026299160.1
LOC113219050	XP_026299162.1
LOC113219052	XP_026299179.1
LOC113219054	XP_026299200.1
LOC113219062	XP_026299239.1
LOC113219068	XP_026299406.1
LOC113219070	XP_026299424.1
LOC113219078	XP_026299454.1
LOC113219079	XP_026299455.1
LOC113219083	XP_026299470.1
LOC113219086	XP_026299483.1
LOC113219091	XP_026299516.1
LOC113219092	XP_026299525.1
LOC113219093	XP_026299530.1
LOC113219100	XP_026299551.1
LOC113219102	XP_026299560.1
LOC113219103	XP_026299572.1
LOC113219105	XP_026299592.1
LOC113219109	XP_026299632.1
LOC113219111	XP_026299648.1
LOC113219112	XP_026299652.1
LOC113219115	XP_026299689.1
LOC113219119	XP_026299710.1
LOC113219121	XP_026299717.1
LOC113219124	XP_026299741.1
LOC113219136	XP_026299817.1
LOC113219137	XP_026299842.1
LOC113219140	XP_026299859.1
LOC113219152	XP_026300123.1
LOC113219160	XP_026300212.1
LOC113219161	XP_026300213.1
LOC113219163	XP_026300232.1
LOC113219164	XP_026300258.1
LOC113219185	XP_026300401.1
LOC113219195	XP_026300486.1
LOC113219196	XP_026300489.1
LOC113219203	XP_026300535.1
LOC113219204	XP_026300570.1
LOC113219209	XP_026300581.1
LOC113219210	XP_026300582.1
LOC113219211	XP_026300583.1
LOC113219217	XP_026300676.1
LOC113219218	XP_026300704.1
LOC113219221	XP_026300733.1
LOC113219222	XP_026300754.1
LOC113219225	XP_026300794.1
LOC113219226	XP_026300827.1
LOC113219228	XP_026300872.1
LOC113219230	XP_026300889.1
LOC113219234	XP_026300926.1
LOC113219236	XP_026300960.1
LOC113219237	XP_026300964.1
LOC113219239	XP_026300970.1
LOC113219240	XP_026300971.1
LOC113219241	XP_026300978.1
LOC113219244	XP_026301031.1
LOC113219245	XP_026301032.1
LOC113219250	XP_026301082.1
LOC113219252	XP_026301114.1
LOC113219256	XP_026301134.1
LOC113219257	XP_026301143.1
LOC113219259	XP_026301185.1
LOC113219264	XP_026301240.1
LOC113219265	XP_026301257.1
LOC113219268	XP_026301311.1
LOC113219269	XP_026301315.1
LOC113219273	XP_026301326.1
LOC113219280	XP_026301404.1
LOC113219283	XP_026301423.1
LOC113219298	XP_026301517.1
LOC113219301	XP_026301543.1
LOC113219302	XP_026301548.1
LOC113219304	XP_026301565.1
LOC113219314	XP_026301630.1
LOC113219316	XP_026301634.1
LOC113219318	XP_026301648.1
LOC113219319	XP_026301653.1
LOC113219320	XP_026301654.1
LOC113219326	XP_026301692.1
LOC113219327	XP_026301693.1
LOC113219328	XP_026301696.1
LOC113219329	XP_026301711.1
LOC113219336	XP_026301729.1
LOC113219342	XP_026301730.1
LOC113219343	XP_026301732.1
LOC113219351	XP_026301734.1
LOC113219358	XP_026301737.1
LOC113219359	XP_026301756.1
LOC113219360	XP_026301761.1
LOC113219361	XP_026301764.1
LOC113219362	XP_026301767.1
LOC113219366	XP_026301772.1
LOC113219367	XP_026301778.1
LOC113219370	XP_026301780.1
LOC113219371	XP_026301782.1
LOC113219372	XP_026301783.1
LOC113219380	XP_026301785.1
LOC113219394	XP_026301829.1
LOC113219395	XP_026301835.1
LOC113219396	XP_026301836.1
LOC113219398	XP_026301889.1
LOC113219403	XP_026302041.1
LOC113219404	XP_026302043.1
LOC113219406	XP_026302062.1
LOC113219407	XP_026302066.1
LOC113219408	XP_026302068.1
LOC113219411	XP_026302086.1
LOC113219412	XP_026302095.1
LOC113219413	XP_026302098.1
LOC113219414	XP_026302099.1
LOC113219416	XP_026302105.1
LOC113219417	XP_026302118.1
LOC113219418	XP_026302124.1
LOC406073	XP_006560078.2
LOC406081	NP_001011574.1
LOC406093	NP_001011582.1
LOC406096	NP_001011585.1
LOC406097	XP_026299856.1
LOC406105	NP_001128419.1
LOC406114	NP_001011598.1
LOC406118	XP_026295939.1
LOC406124	XP_006565170.1
LOC406132	XP_016773376.1
LOC406139	XP_026295817.1
LOC406142	NP_001011615.1
LOC406144	NP_001011617.1
LOC406145	NP_001011618.1
LOC406146	NP_001011619.1
LOC406147	NP_001011620.1
LOC406152	XP_394922.3
LOC408264	XP_006558297.2
LOC408267	XP_006569748.2
LOC408269	XP_391822.2
LOC408271	XP_026298932.1
LOC408272	XP_006569222.1
LOC408275	XP_006569237.2
LOC408276	XP_391829.3
LOC408277	XP_026298997.1
LOC408278	XP_006569257.2
LOC408280	XP_397488.4
LOC408282	XP_006566150.2
LOC408283	XP_026298928.1
LOC408284	XP_391836.2
LOC408285	XP_026299092.1
LOC408286	XP_026299226.1
LOC408288	XP_006566117.2
LOC408291	XP_391843.1
LOC408292	XP_026298946.1
LOC408293	XP_016769741.1
LOC408294	XP_006566068.1
LOC408295	XP_026299174.1
LOC408298	XP_006566054.1
LOC408299	XP_391850.3
LOC408301	XP_391852.2
LOC408302	XP_026299046.1
LOC408303	XP_391854.1
LOC408304	XP_391855.2
LOC408306	XP_016770044.1
LOC408308	XP_391859.1
LOC408309	XP_006566515.1
LOC408310	XP_391861.2
LOC408311	XP_006566570.1
LOC408312	XP_003250865.1
LOC408314	XP_006566587.1
LOC408315	XP_006566589.1
LOC408316	NP_001264230.1
LOC408317	XP_391869.3
LOC408319	XP_006566691.1
LOC408320	XP_016770286.1
LOC408321	XP_026299758.1
LOC408322	XP_391875.3
LOC408324	NP_001229362.1
LOC408327	XP_391879.2
LOC408328	XP_391880.2
LOC408329	XP_391881.4
LOC408331	XP_006570509.1
LOC408332	XP_026299517.1
LOC408333	XP_006570529.1
LOC408335	XP_026299378.1
LOC408336	XP_006557481.2
LOC408337	XP_026299362.1
LOC408339	XP_016770350.1
LOC408342	XP_016770475.1
LOC408343	XP_016770382.1
LOC408345	XP_006564416.1
LOC408346	XP_391898.1
LOC408347	XP_391899.4
LOC408349	XP_006566384.1
LOC408351	XP_006566395.2
LOC408352	XP_006566401.1
LOC408353	XP_391905.2
LOC408354	XP_006566821.3
LOC408355	XP_391907.1
LOC408358	XP_006566438.1
LOC408359	XP_006566447.1
LOC408361	XP_016770213.1
LOC408364	XP_006566456.1
LOC408365	XP_006566457.1
LOC408367	XP_391916.3
LOC408368	XP_391917.2
LOC408369	XP_026299744.1
LOC408370	XP_391919.2
LOC408371	XP_391920.3
LOC408372	XP_006559297.1
LOC408373	XP_391922.2
LOC408374	XP_006562291.2
LOC408381	XP_391929.5
LOC408382	XP_391930.1
LOC408384	XP_016771109.1
LOC408386	XP_391934.3
LOC408387	XP_391935.5
LOC408388	XP_006567025.1
LOC408390	XP_006567043.1
LOC408391	XP_003249906.1
LOC408392	XP_391940.2
LOC408393	XP_006566974.1
LOC408394	XP_391942.5
LOC408395	XP_391943.1
LOC408397	XP_006557879.1
LOC408398	XP_006557887.1
LOC408400	XP_391948.3
LOC408401	XP_391949.4
LOC408402	XP_016771212.1
LOC408405	XP_391954.4
LOC408406	XP_026300650.1
LOC408407	XP_003249313.1
LOC408408	XP_026300478.1
LOC408409	XP_006559374.1
LOC408411	XP_026300482.1
LOC408412	XP_016771285.1
LOC408413	XP_391960.2
LOC408414	XP_006560146.1
LOC408415	XP_391962.1
LOC408416	XP_391963.3
LOC408417	XP_006560139.1
LOC408418	XP_391965.1
LOC408420	XP_026300618.1
LOC408421	XP_623685.1
LOC408424	XP_391971.1
LOC408426	XP_391973.3
LOC408427	XP_026300510.1
LOC408428	XP_391975.4
LOC408429	XP_016771270.2
LOC408430	XP_026300380.1
LOC408431	XP_391978.2
LOC408432	XP_391979.3
LOC408433	XP_391980.1
LOC408434	XP_391981.3
LOC408435	XP_026300594.1
LOC408438	XP_006565104.1
LOC408439	XP_391986.4
LOC408441	XP_391988.2
LOC408442	XP_391989.2
LOC408443	XP_391991.1
LOC408444	XP_026300919.1
LOC408446	XP_391994.1
LOC408447	XP_016771802.2
LOC408448	XP_391996.4
LOC408449	XP_026300913.1
LOC408451	XP_016771539.2
LOC408452	XP_392000.1
LOC408453	XP_006562363.1
LOC408455	XP_003250192.3
LOC408456	XP_016771877.1
LOC408457	XP_392005.3
LOC408458	XP_026300941.1
LOC408461	XP_026300696.1
LOC408462	XP_026300984.1
LOC408463	XP_006562992.2
LOC408464	XP_016771530.2
LOC408465	XP_006564985.1
LOC408467	XP_016771517.2
LOC408470	XP_006564942.2
LOC408471	XP_392019.4
LOC408473	XP_397501.4
LOC408474	NP_001127699.1
LOC408477	XP_392023.1
LOC408478	XP_006565856.1
LOC408480	XP_392026.2
LOC408481	XP_392027.1
LOC408493	XP_392037.1
LOC408494	XP_006565787.1
LOC408497	XP_392041.4
LOC408500	XP_016771728.1
LOC408501	XP_392044.2
LOC408503	XP_006565729.1
LOC408504	XP_006557651.1
LOC408507	XP_006563721.2
LOC408508	XP_392051.1
LOC408509	XP_006563630.1
LOC408510	XP_006563628.2
LOC408511	XP_392055.2
LOC408512	XP_392056.5
LOC408515	XP_006563657.1
LOC408516	XP_003250287.1
LOC408517	XP_006563648.1
LOC408519	XP_016772289.2
LOC408520	XP_392065.2
LOC408522	XP_392067.4
LOC408523	XP_392068.2
LOC408524	XP_006563505.1
LOC408525	XP_392070.3
LOC408526	XP_026301184.1
LOC408527	XP_006563500.1
LOC408528	XP_016772084.2
LOC408531	XP_392077.1
LOC408532	XP_392078.2
LOC408533	XP_006563424.2
LOC408534	XP_016771991.1
LOC408536	XP_006561110.1
LOC408538	XP_392084.1
LOC408539	XP_392085.2
LOC408541	XP_392087.3
LOC408542	XP_392088.3
LOC408543	XP_006560717.1
LOC408544	XP_006560704.2
LOC408546	XP_006560152.2
LOC408547	XP_006560037.1
LOC408548	XP_006560043.1
LOC408551	XP_006563187.2
LOC408552	XP_392097.5
LOC408554	XP_006563190.1
LOC408556	XP_006559464.1
LOC408557	XP_392102.4
LOC408558	XP_392103.2
LOC408559	XP_392104.4
LOC408561	XP_026301518.1
LOC408562	XP_006563215.2
LOC408563	XP_016772511.2
LOC408564	XP_392108.3
LOC408565	XP_392109.4
LOC408567	XP_392111.2
LOC408568	XP_006571397.1
LOC408569	XP_392112.3
LOC408570	XP_397511.4
LOC408572	XP_392114.1
LOC408573	XP_392115.1
LOC408574	XP_392116.3
LOC408575	XP_392117.2
LOC408576	XP_026298419.1
LOC408577	XP_016773222.2
LOC408578	XP_392120.2
LOC408579	XP_016772668.1
LOC408580	XP_006571251.1
LOC408583	XP_026302122.1
LOC408585	XP_392127.1
LOC408586	XP_026301089.1
LOC408587	XP_006570903.2
LOC408589	XP_623181.2
LOC408590	XP_006569663.1
LOC408591	XP_006569665.1
LOC408592	XP_006568689.1
LOC408594	XP_006568696.1
LOC408595	XP_006568700.1
LOC408596	XP_392138.3
LOC408597	XP_006568614.1
LOC408598	XP_026302082.1
LOC408600	XP_016770111.1
LOC408601	XP_006568004.1
LOC408602	XP_006568003.2
LOC408603	XP_392145.3
LOC408604	XP_016770178.2
LOC408607	XP_003251782.2
LOC408608	XP_397512.1
LOC408609	XP_392150.4
LOC408614	XP_392155.2
LOC408615	XP_392156.2
LOC408616	XP_006562592.1
LOC408618	XP_026298461.1
LOC408619	XP_006561976.1
LOC408620	XP_392161.2
LOC408621	XP_392162.2
LOC408622	XP_623300.2
LOC408623	XP_026300155.1
LOC408624	XP_006559909.2
LOC408625	XP_026301837.1
LOC408626	XP_016773279.1
LOC408631	XP_026298055.1
LOC408632	XP_392172.1
LOC408633	XP_006571543.1
LOC408634	XP_392174.1
LOC408635	XP_392175.2
LOC408641	XP_392181.4
LOC408642	XP_026302104.1
LOC408643	XP_392183.1
LOC408645	XP_006571496.1
LOC408646	XP_006571481.2
LOC408648	XP_026294630.1
LOC408649	XP_392189.5
LOC408650	XP_392190.2
LOC408652	XP_006568785.2
LOC408653	XP_006568793.1
LOC408655	XP_392194.2
LOC408656	XP_392195.5
LOC408657	XP_006568765.1
LOC408660	XP_016766267.2
LOC408661	XP_026294880.1
LOC408662	XP_026294878.1
LOC408663	XP_006568941.1
LOC408664	XP_006568958.2
LOC408666	XP_016766389.1
LOC408668	XP_392205.1
LOC408669	XP_016773573.1
LOC408670	XP_026302190.1
LOC408672	XP_026294845.1
LOC408673	XP_392210.1
LOC408674	XP_006568930.1
LOC408675	XP_392212.2
LOC408676	XP_006568925.1
LOC408677	XP_006568910.2
LOC408678	XP_006568900.1
LOC408680	XP_006569107.1
LOC408681	XP_016766255.1
LOC408685	XP_026295045.1
LOC408686	XP_392222.3
LOC408687	XP_392223.2
LOC408688	XP_026302211.1
LOC408690	XP_006568278.2
LOC408691	XP_016766228.1
LOC408693	XP_016766177.1
LOC408694	XP_016766353.1
LOC408695	XP_392231.4
LOC408696	XP_397519.1
LOC408697	XP_006565924.2
LOC408699	XP_016773545.1
LOC408701	XP_392237.2
LOC408702	XP_392238.1
LOC408705	XP_016766449.2
LOC408706	XP_623199.2
LOC408708	XP_006561215.1
LOC408710	XP_392246.3
LOC408711	XP_392247.2
LOC408712	XP_392248.5
LOC408713	XP_026302223.1
LOC408714	XP_026302182.1
LOC408715	XP_006560786.2
LOC408716	XP_016766202.1
LOC408717	XP_006559151.1
LOC408718	XP_016766222.1
LOC408721	XP_392256.2
LOC408722	XP_392257.1
LOC408723	XP_392258.4
LOC408724	XP_392259.4
LOC408725	XP_026295437.1
LOC408727	XP_392262.4
LOC408728	XP_392263.1
LOC408729	XP_392264.2
LOC408730	XP_392265.4
LOC408732	XP_026295435.1
LOC408733	XP_016766566.1
LOC408734	XP_016766579.1
LOC408740	XP_016766989.1
LOC408741	XP_006564049.1
LOC408742	XP_392277.4
LOC408748	XP_006560985.1
LOC408749	XP_006561021.1
LOC408750	XP_392284.2
LOC408751	XP_392285.1
LOC408752	XP_006561016.1
LOC408754	XP_006559815.1
LOC408755	XP_016766826.1
LOC408759	XP_016766823.1
LOC408761	XP_392295.3
LOC408762	XP_392296.4
LOC408763	XP_016766671.1
LOC408766	XP_006558808.1
LOC408767	XP_026295924.1
LOC408769	XP_016767224.1
LOC408770	XP_026296258.1
LOC408773	XP_016767213.1
LOC408774	XP_026295940.1
LOC408775	XP_016767177.1
LOC408777	XP_006567198.2
LOC408779	XP_026296108.1
LOC408780	XP_016767321.1
LOC408782	XP_392313.1
LOC408783	XP_026295771.1
LOC408784	XP_016767296.1
LOC408785	XP_026296146.1
LOC408787	XP_006567264.1
LOC408788	XP_392319.3
LOC408789	XP_016767342.2
LOC408790	XP_006567283.1
LOC408791	XP_026296218.1
LOC408792	XP_026295809.1
LOC408793	XP_026295980.1
LOC408794	XP_392325.1
LOC408796	XP_392327.4
LOC408797	XP_026296012.1
LOC408799	XP_392330.1
LOC408801	XP_016767138.2
LOC408803	XP_026296036.1
LOC408804	XP_016767301.1
LOC408805	XP_006562704.1
LOC408807	XP_397526.2
LOC408808	XP_392338.3
LOC408809	XP_026295773.1
LOC408810	XP_006562765.1
LOC408811	XP_006562773.1
LOC408814	XP_006560654.1
LOC408815	XP_392346.4
LOC408817	XP_006560649.2
LOC408818	XP_016767150.1
LOC408819	XP_006558739.1
LOC408820	XP_016767386.1
LOC408821	XP_016767602.2
LOC408822	XP_026296606.1
LOC408824	XP_026296704.1
LOC408826	XP_026296336.1
LOC408827	XP_392359.2
LOC408828	XP_006562200.1
LOC408830	XP_006562198.1
LOC408831	XP_006564220.1
LOC408833	XP_392364.4
LOC408834	XP_392365.1
LOC408835	XP_392366.2
LOC408836	XP_392367.3
LOC408837	XP_392368.1
LOC408839	XP_392370.3
LOC408840	XP_392371.3
LOC408841	NP_001314883.1
LOC408842	XP_392373.6
LOC408843	XP_392374.4
LOC408844	XP_016767611.2
LOC408845	XP_026296599.1
LOC408846	XP_392377.3
LOC408847	XP_392378.2
LOC408848	XP_392379.2
LOC408850	XP_026296843.1
LOC408851	XP_006567715.1
LOC408852	XP_016767675.2
LOC408853	XP_392383.6
LOC408857	XP_006567684.2
LOC408859	XP_392390.1
LOC408860	XP_392391.2
LOC408862	XP_026296349.1
LOC408863	XP_026296819.1
LOC408864	XP_016767791.1
LOC408865	XP_026296701.1
LOC408866	XP_392396.3
LOC408867	XP_026297281.1
LOC408868	XP_016768376.1
LOC408869	XP_026297271.1
LOC408871	XP_392401.3
LOC408872	XP_026296916.1
LOC408874	XP_006570581.2
LOC408875	XP_392405.3
LOC408876	XP_006570565.1
LOC408877	XP_016768059.2
LOC408878	XP_006568300.1
LOC408882	XP_006565397.1
LOC408883	XP_392413.4
LOC408884	XP_392414.6
LOC408886	XP_392416.4
LOC408887	XP_006565447.1
LOC408888	XP_392419.3
LOC408889	XP_026296954.1
LOC408890	XP_392421.3
LOC408891	XP_003250634.1
LOC408892	XP_392423.2
LOC408894	XP_026297109.1
LOC408896	XP_006562541.1
LOC408897	XP_026297424.1
LOC408898	XP_026297429.1
LOC408900	XP_006569466.2
LOC408901	XP_392430.1
LOC408902	XP_392431.2
LOC408903	XP_397532.3
LOC408904	XP_006569483.1
LOC408905	XP_392433.4
LOC408906	XP_016768666.1
LOC408908	XP_003251399.1
LOC408909	XP_392437.2
LOC408910	XP_392438.3
LOC408911	XP_006569510.1
LOC408914	XP_026297558.1
LOC408915	XP_016768499.1
LOC408916	XP_006568395.1
LOC408917	XP_392445.3
LOC408918	XP_392446.1
LOC408920	XP_006567329.1
LOC408922	XP_026297397.1
LOC408923	XP_016768590.1
LOC408924	XP_006565569.1
LOC408925	XP_006565517.1
LOC408926	XP_006565503.2
LOC408934	XP_026297372.1
LOC408935	XP_392464.3
LOC408936	XP_006562629.1
LOC408937	XP_623079.2
LOC408939	XP_392468.3
LOC408942	XP_026297377.1
LOC408944	XP_006560193.2
LOC408945	XP_006560197.1
LOC408949	XP_006559896.1
LOC408950	XP_392478.2
LOC408951	XP_006559884.1
LOC408952	XP_006559878.1
LOC408953	XP_026297659.1
LOC408955	XP_392483.3
LOC408957	XP_016768859.2
LOC408958	XP_006559651.1
LOC408959	XP_016768979.2
LOC408960	XP_006561500.1
LOC408961	XP_026298285.1
LOC408963	XP_016769027.1
LOC408964	XP_026298114.1
LOC408965	XP_392494.1
LOC408966	XP_026297956.1
LOC408967	XP_016769038.1
LOC408968	XP_006564658.1
LOC408969	XP_392498.1
LOC408970	XP_392499.4
LOC408971	XP_623213.1
LOC408972	XP_006568093.2
LOC408973	XP_016768898.1
LOC408976	XP_026298792.1
LOC408979	XP_392511.2
LOC408980	XP_392512.3
LOC408981	XP_392513.1
LOC408982	XP_006567441.1
LOC408983	XP_392515.2
LOC408985	NP_001035057.1
LOC408986	XP_392518.1
LOC408987	XP_006567452.1
LOC408988	XP_006567499.1
LOC408989	XP_392521.3
LOC408990	XP_006567516.1
LOC408991	XP_026298850.1
LOC408992	XP_016769432.1
LOC408996	XP_026298512.1
LOC409000	XP_392530.3
LOC409001	XP_006561914.1
LOC409002	NP_001167611.1
LOC409004	XP_006561897.1
LOC409005	XP_392534.3
LOC409006	XP_006561896.1
LOC409007	XP_006561888.1
LOC409010	XP_016769550.1
LOC409011	XP_006561871.1
LOC409015	XP_026298622.1
LOC409016	XP_392545.3
LOC409017	XP_016769404.1
LOC409019	XP_006561675.1
LOC409020	XP_026298523.1
LOC409022	XP_006560812.2
LOC409023	XP_392553.1
LOC409024	XP_006560804.1
LOC409025	XP_392555.1
LOC409026	XP_392556.3
LOC409027	XP_006571221.1
LOC409028	XP_006561315.1
LOC409032	XP_016773045.1
LOC409034	XP_026302264.1
LOC409036	XP_026298584.1
LOC409038	XP_006561190.1
LOC409039	XP_392567.4
LOC409041	XP_392569.2
LOC409043	XP_026296479.1
LOC409045	XP_006568343.1
LOC409046	XP_006567709.1
LOC409047	XP_392575.3
LOC409049	XP_006562808.1
LOC409050	XP_392577.4
LOC409051	XP_026296236.1
LOC409053	XP_006563335.1
LOC409055	XP_003251675.1
LOC409056	XP_392582.1
LOC409057	XP_006562416.1
LOC409058	XP_392584.2
LOC409059	XP_392585.4
LOC409060	XP_026296851.1
LOC409061	XP_392586.4
LOC409062	XP_006571383.1
LOC409063	XP_392588.2
LOC409064	XP_392589.2
LOC409065	XP_006563871.1
LOC409066	XP_392591.2
LOC409068	XP_006566650.1
LOC409070	XP_006566652.1
LOC409073	XP_006567646.2
LOC409074	XP_392599.1
LOC409075	XP_006570766.2
LOC409077	XP_392602.4
LOC409078	XP_026294691.1
LOC409079	XP_392604.3
LOC409082	XP_016768599.1
LOC409083	XP_392607.3
LOC409084	XP_006563118.1
LOC409085	XP_026298510.1
LOC409086	XP_392611.4
LOC409087	XP_392612.3
LOC409088	XP_392613.2
LOC409089	XP_392615.1
LOC409090	XP_016772103.2
LOC409091	XP_392617.4
LOC409092	XP_016766390.1
LOC409093	XP_016770143.1
LOC409095	XP_026299523.1
LOC409096	XP_397545.2
LOC409098	XP_392624.5
LOC409099	XP_006566769.1
LOC409100	XP_392626.3
LOC409102	XP_006568667.1
LOC409103	XP_006568665.1
LOC409105	XP_392630.2
LOC409106	XP_006568423.1
LOC409107	XP_392632.5
LOC409108	XP_026300191.1
LOC409109	XP_026301707.1
LOC409110	XP_392635.4
LOC409111	XP_026302189.1
LOC409113	XP_006568191.1
LOC409114	XP_392639.1
LOC409115	XP_392640.1
LOC409117	XP_006567258.1
LOC409118	XP_016767231.1
LOC409119	XP_392644.3
LOC409122	XP_006564587.1
LOC409124	XP_006559045.1
LOC409125	XP_392650.4
LOC409126	XP_392651.2
LOC409127	XP_016768735.2
LOC409129	XP_392654.2
LOC409130	XP_392655.2
LOC409131	XP_392656.3
LOC409132	XP_392658.2
LOC409134	XP_392660.2
LOC409136	XP_026299380.1
LOC409137	XP_026301221.1
LOC409138	XP_026300341.1
LOC409139	XP_392665.3
LOC409140	XP_006569390.1
LOC409141	XP_392667.2
LOC409142	XP_026296055.1
LOC409143	XP_392669.1
LOC409144	XP_006572011.1
LOC409145	XP_392671.2
LOC409150	XP_001123353.2
LOC409151	XP_016766170.2
LOC409152	XP_392676.2
LOC409153	XP_016767920.2
LOC409154	XP_006564652.1
LOC409155	XP_392679.5
LOC409157	XP_392681.2
LOC409158	XP_006557704.1
LOC409159	XP_392683.1
LOC409160	XP_392684.3
LOC409162	XP_392686.2
LOC409163	XP_392687.2
LOC409164	XP_006568876.1
LOC409165	XP_006559569.1
LOC409166	XP_016768831.2
LOC409167	XP_392691.2
LOC409168	XP_392692.2
LOC409169	XP_006558692.1
LOC409170	XP_026298881.1
LOC409171	XP_392696.5
LOC409172	XP_006562034.1
LOC409173	XP_392698.3
LOC409176	XP_006563165.2
LOC409177	XP_026300949.1
LOC409178	XP_392703.4
LOC409179	XP_392704.2
LOC409180	XP_016772254.2
LOC409182	XP_006558244.2
LOC409183	XP_016768391.1
LOC409184	XP_003250890.1
LOC409185	XP_006557654.1
LOC409186	XP_006567461.1
LOC409187	XP_392711.4
LOC409189	XP_006571560.1
LOC409191	XP_006564548.1
LOC409192	XP_006568888.1
LOC409193	XP_026301904.1
LOC409195	XP_392719.1
LOC409196	XP_006559494.1
LOC409197	XP_392721.1
LOC409198	XP_392722.1
LOC409199	XP_392723.3
LOC409200	XP_006558304.1
LOC409201	XP_392725.1
LOC409202	XP_016771850.1
LOC409203	XP_392727.4
LOC409204	XP_392728.4
LOC409206	XP_006561121.1
LOC409207	XP_006570250.1
LOC409208	XP_003250051.2
LOC409212	XP_006562633.1
LOC409217	XP_006561798.1
LOC409218	XP_392742.4
LOC409219	XP_006564578.2
LOC409221	XP_006569062.1
LOC409222	XP_392746.3
LOC409225	XP_392749.1
LOC409226	XP_392750.1
LOC409228	XP_026301704.1
LOC409229	XP_392753.2
LOC409230	XP_392754.3
LOC409231	XP_006567527.1
LOC409232	XP_016769350.2
LOC409234	XP_392758.2
LOC409235	XP_392759.3
LOC409236	XP_392760.2
LOC409238	XP_003251596.2
LOC409240	XP_392763.3
LOC409241	XP_392764.1
LOC409242	XP_003251823.2
LOC409243	XP_026297829.1
LOC409244	XP_392767.4
LOC409245	XP_006568081.1
LOC409246	XP_016766396.2
LOC409247	XP_623775.3
LOC409249	XP_026298485.1
LOC409250	XP_392773.3
LOC409251	XP_392774.4
LOC409252	XP_026297512.1
LOC409253	XP_016771789.1
LOC409254	XP_006562157.1
LOC409255	XP_006563992.1
LOC409256	XP_392779.3
LOC409257	XP_026300393.1
LOC409258	XP_392780.2
LOC409259	XP_397552.4
LOC409260	XP_006566547.1
LOC409261	XP_026300893.1
LOC409262	XP_392783.4
LOC409263	XP_623076.2
LOC409264	XP_006563902.1
LOC409265	XP_392786.2
LOC409267	XP_006561774.1
LOC409268	XP_026298467.1
LOC409269	XP_026301228.1
LOC409270	XP_006561095.1
LOC409271	XP_006570939.2
LOC409272	XP_006568387.1
LOC409273	XP_006563867.2
LOC409274	XP_392795.3
LOC409276	XP_006564999.1
LOC409277	XP_016768686.2
LOC409278	XP_392799.3
LOC409279	XP_392800.3
LOC409280	XP_016770688.2
LOC409281	XP_026298493.1
LOC409282	XP_026295240.1
LOC409283	XP_026296448.1
LOC409285	XP_026299947.1
LOC409286	XP_006557302.1
LOC409288	XP_392808.2
LOC409290	XP_016773437.1
LOC409291	XP_006564184.1
LOC409292	XP_006564183.2
LOC409293	XP_006564182.3
LOC409294	XP_392812.2
LOC409295	XP_392813.2
LOC409296	XP_392814.2
LOC409298	XP_392816.2
LOC409299	XP_392818.2
LOC409300	XP_026300757.1
LOC409301	XP_016767405.1
LOC409303	XP_006563865.1
LOC409305	XP_392823.3
LOC409306	XP_392824.2
