#CREATED MARCH 2020, LAUREN MEE, UNIVERSITY OF LIVERPOOL
#TABLE OF GENES, CORRESPONDING TRANSRIPTS (VARIANT-RESOLVED) AND PRODUCT DESCRIPTION FROM APIS MELLIFERA (AmelHAv3.1, GCF_003254395.2)
GeneID	TranscriptID	Gene_Desc
LOC724795	XM_001120697.5	 WASH complex subunit 1 
LOC724796	XM_001120698.5	 homeobox protein SIX6 
LOC724799	XM_001120701.5	 (E3-independent) E2 ubiquitin-conjugating enzyme UBE2O 
LOC724801	XM_001120703.5	 brain-specific homeobox protein homolog 
LOC724803	XM_001120705.5	 neprilysin-4 
LOC724808	XM_001120710.4	 lactoylglutathione lyase 
LOC724810	XM_001120712.5	 probable serine/threonine-protein kinase dyrk2 
LOC724819	XM_001120720.5	 mitotic spindle assembly checkpoint protein MAD1 
LOC724826	XM_001120727.5	 protein EFR3 homolog cmp44E 
LOC724827	XM_001120728.5	 NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7 
LOC726322	XM_001120731.5	 uncharacterized LOC726322 
LOC726629	XM_001120735.5	 uncharacterized LOC726629 
LOC724842	XM_001120746.5	 elongator complex protein 5 
LOC724847	XM_001120751.5	 uncharacterized LOC724847 
LOC724850	XM_001120754.5	 BRO1 domain-containing protein BROX 
LOC724851	XM_001120755.5	 LIM domain only protein 3 
LOC724853	XM_001120757.5	 probable G-protein coupled receptor Mth-like 1 
LOC724856	XM_001120760.5	 uncharacterized LOC724856 
LOC724862	XM_001120765.5	 nuclear envelope integral membrane protein 1 
LOC724867	XM_001120770.5	 elongation of very long chain fatty acids protein AAEL008004 
LOC726409	XM_001120773.4	 peptidyl-prolyl cis-trans isomerase H 
LOC726850	XM_001120774.5	 cytochrome b5 
LOC724879	XM_001120779.5	 methionine aminopeptidase 1D, mitochondrial 
LOC724885	XM_001120785.5	 zinc finger protein 395 
LOC724888	XM_001120788.4	 ras association domain-containing protein 2 
LOC724892	XM_001120792.5	 histidine-rich glycoprotein-like 
LOC724895	XM_001120795.5	 arginine-glutamic acid dipeptide repeats protein 
LOC724896	XM_001120796.5	 transmembrane protein 170A 
LOC726521	XM_001120800.5	 transmembrane protein 203 
LOC726860	XM_001120801.4	 cytochrome b5 
LOC724903	XM_001120804.5	 protein tipE 
LOC724904	XM_001120805.5	 acylphosphatase-2 
LOC724908	XM_001120809.5	 Krueppel-like factor 11 
LOC724909	XM_001120810.5	 uncharacterized LOC724909 
LOC724914	XM_001120814.5	 protein hairy 
LOC724915	XM_001120815.5	 Usher syndrome type-1G protein homolog 
LOC724917	XM_001120817.5	 inactive serine protease scarface 
LOC724920	XM_001120820.5	 anaphase-promoting complex subunit 15 
LOC724921	XM_001120821.5	 uncharacterized LOC724921 
LOC724924	XM_001120824.5	 protein FAM117B 
LOC724929	XM_001120829.5	 serine/threonine-protein kinase tricorner 
LOC724931	XM_001120831.5	 C3 and PZP-like alpha-2-macroglobulin domain-containing protein 8 
LOC724932	XM_001120832.4	 xyloside xylosyltransferase 1 
LOC724937	XM_001120836.5	 zinc finger CCCH domain-containing protein 14 
LOC724943	XM_001120842.5	 phosphatidylinositol glycan anchor biosynthesis class U protein 
LOC726369	XM_001120845.5	 peptidyl-tRNA hydrolase 2, mitochondrial 
LOC726486	XM_001120846.5	 uncharacterized LOC726486 
LOC726429	XM_001120848.5	 uncharacterized LOC726429 
LOC724951	XM_001120852.5	 1-acyl-sn-glycerol-3-phosphate acyltransferase beta 
LOC724952	XM_001120853.5	 sodium-independent sulfate anion transporter 
LOC724953	XM_001120854.4	 U6 snRNA phosphodiesterase 
LOC724954	XM_001120855.5	 rhodanese domain-containing protein CG4456 
LOC724971	XM_001120871.5	 uncharacterized LOC724971 
LOC724974	XM_001120874.4	 tubulin polyglutamylase TTLL7 
LOC724977	XM_001120877.5	 partitioning defective protein 6 
LOC724979	XM_001120879.4	 forkhead box protein A2-A-like 
LOC724983	XM_001120883.5	 retinal homeobox protein Rx1 
LOC724985	XM_001120885.5	 torsin-1A 
LOC724988	XM_001120888.5	 uncharacterized LOC724988 
LOC726447	XM_001120889.5	 histone H2B 
LOC726721	XM_001120892.5	 protein transport protein Sec61 subunit gamma 
LOC724991	XM_001120893.5	 phosphatidylinositol 4-phosphate 5-kinase type-1 alpha 
LOC724995	XM_001120897.5	 1-acyl-sn-glycerol-3-phosphate acyltransferase alpha 
LOC724997	XM_001120899.5	 protein naked cuticle homolog 2-like 
LOC724999	XM_001120901.5	 sodium/bile acid cotransporter 7 
LOC725008	XM_001120910.5	 protein trapped in endoderm-1 
LOC725009	XM_001120911.5	 putative uncharacterized protein DDB_G0282133 
LOC725011	XM_001120913.5	 cytochrome c oxidase assembly protein COX18, mitochondrial 
LOC725012	XM_001120914.5	 zinc finger protein 25 
LOC725013	XM_001120915.5	 sister chromatid cohesion protein DCC1 
LOC725018	XM_001120920.5	 phosphomevalonate kinase 
LOC725023	XM_001120925.5	 mediator of RNA polymerase II transcription subunit 26 
LOC725025	XM_001120927.5	 peroxisome biogenesis factor 10 
LOC725028	XM_001120930.5	 F-box only protein 6 
LOC725041	XM_001120937.5	 leucine-rich repeat-containing protein 15 
LOC725045	XM_001120941.5	 protein DPCD 
LOC725047	XM_001120943.5	 nucleolin 1 
LOC725050	XM_001120946.5	 UPF0193 protein EVG1 
LOC725052	XM_001120948.5	 odorant receptor 13a 
LOC725053	XM_001120949.5	 protein odd-skipped 
LOC725054	XM_001120950.5	 nuclear envelope phosphatase-regulatory subunit 1 
LOC725056	XM_001120952.5	 glyoxylate/hydroxypyruvate reductase A 
LOC725058	XM_001120954.5	 GS homeobox 1 
LOC725059	XM_001120955.5	 protein kish-A 
LOC725060	XM_001120956.5	 coenzyme Q-binding protein COQ10 homolog B, mitochondrial 
LOC725061	XM_001120957.5	 uncharacterized LOC725061 
LOC725062	XM_001120958.4	 39S ribosomal protein L4, mitochondrial 
LOC725070	XM_001120965.4	 DNA fragmentation factor subunit alpha 
LOC725079	XM_001120969.5	 GATA zinc finger domain-containing protein 14 
LOC725082	XM_001120972.5	 uncharacterized LOC725082 
LOC725084	XM_001120973.5	 uncharacterized LOC725084 
LOC725085	XM_001120974.5	 basic helix-loop-helix neural transcription factor TAP 
LOC725086	XM_001120975.5	 phosphatidylinositol N-acetylglucosaminyltransferase subunit P 
LOC725091	XM_001120980.5	 lachesin 
LOC725092	XM_001120981.5	 E3 ubiquitin-protein ligase RNF220 
LOC725093	XM_001120982.5	 phosphofurin acidic cluster sorting protein 2 
LOC725106	XM_001120991.5	 UDP-glucuronosyltransferase 1-8 
LOC725108	XM_001120993.5	 early nodulin-75 
LOC725114	XM_001120999.5	 chymotrypsin inhibitor 
LOC725115	XM_001121000.5	 poly(U)-binding-splicing factor half pint 
LOC725122	XM_001121007.5	 uncharacterized LOC725122 
LOC725125	XM_001121010.5	 coiled-coil domain-containing protein 85C 
LOC725127	XM_001121011.5	 uncharacterized LOC725127 
LOC725130	XM_001121014.5	 uncharacterized LOC725130 
LOC725135	XM_001121019.5	 phosphatidylinositol-glycan biosynthesis class X protein 
LOC725138	XM_001121022.5	 copper transport protein ATOX1 
LOC726902	XM_001121025.5	 MICOS complex subunit Mic10 
LOC725154	XM_001121032.5	 serine protease snake 
LOC725157	XM_001121035.5	 uncharacterized LOC725157 
LOC725158	XM_001121036.5	 peptidoglycan-recognition protein 1 
LOC725165	XM_001121043.5	 aquaporin AQPAe.a 
LOC725173	XM_001121051.5	 G patch domain-containing protein 11 
LOC725174	XM_001121052.5	 zinc finger protein 470 
LOC107963970	XM_001121053.5	 uncharacterized LOC107963970 
LOC726978	XM_001121061.5	 homeodomain-only protein 
LOC725190	XM_001121064.5	 protein snail 
LOC725191	XM_001121066.5	 protein giant 
LOC725192	XM_001121067.5	 major facilitator superfamily domain-containing protein 6-A 
LOC725200	XM_001121075.5	 IQ and AAA domain-containing protein 1-like 
LOC725201	XM_001121076.5	 39S ribosomal protein L21, mitochondrial 
LOC725202	XM_001121077.5	 chymotrypsin inhibitor 
LOC725204	XM_001121079.5	 tyrosine aminotransferase 
LOC725210	XM_001121086.5	 protein UXT homolog 
LOC725212	XM_001121088.5	 lysM and putative peptidoglycan-binding domain-containing protein 3 
LOC725216	XM_001121092.5	 DNA-directed RNA polymerase I subunit RPA1 
LOC725217	XM_001121093.5	 uncharacterized protein PFB0145c 
LOC725218	XM_001121094.5	 growth arrest-specific protein 2 
LOC725219	XM_001121096.5	 TWiK family of potassium channels protein 7-like 
LOC725225	XM_001121102.5	 ninjurin-2 
LOC725227	XM_001121104.5	 gem-associated protein 6 
LOC725237	XM_001121110.5	 protein scabrous 
LOC725239	XM_001121112.5	 RNA-binding protein 33 
LOC725240	XM_001121113.5	 mitochondrial import inner membrane translocase subunit Tim9 
LOC725245	XM_001121117.5	 protein eiger 
LOC725252	XM_001121123.5	 GATA zinc finger domain-containing protein 8 
LOC725254	XM_001121126.5	 endothelial zinc finger protein induced by tumor necrosis factor alpha 
LOC725258	XM_001121130.5	 very-long-chain 3-oxoacyl-CoA reductase 
LOC725260	XM_001121132.5	 uncharacterized LOC725260 
LOC725261	XM_001121133.5	 carbonic anhydrase 6 
LOC725263	XM_001121135.5	 tumor protein p53-inducible nuclear protein 2 
LOC725264	XM_001121136.5	 uncharacterized LOC725264 
LOC726894	XM_001121144.4	 membrane magnesium transporter 1 
LOC725279	XM_001121147.5	 zinc finger protein 271 
LOC725283	XM_001121151.5	 uncharacterized LOC725283 
LOC725287	XM_001121155.5	 sulfhydryl oxidase 1 
LOC725291	XM_001121159.5	 probable 28S ribosomal protein S16, mitochondrial 
LOC725299	XM_001121167.5	 nucleoside-triphosphatase THEP1 
LOC725301	XM_001121169.5	 zinc finger protein 888 
LOC725303	XM_001121172.5	 histone H4 transcription factor 
LOC727128	XM_001121176.5	 60S ribosomal protein L34 
LOC725317	XM_001121177.5	 PHD finger protein 12 
LOC725320	XM_001121180.4	 N-alpha-acetyltransferase 35, NatC auxiliary subunit 
LOC725324	XM_001121184.5	 uncharacterized LOC725324 
LOC725326	XM_001121186.5	 tRNA pseudouridine synthase-like 1 
LOC725327	XM_001121187.5	 nuclear receptor subfamily 2 group E member 1 
LOC725328	XM_001121188.5	 protein bud22 
LOC725329	XM_001121189.5	 UPF0489 protein C5orf22 homolog 
LOC725330	XM_001121190.5	 DNA polymerase delta small subunit 
LOC725335	XM_001121195.5	 probable cytochrome P450 12a5, mitochondrial 
LOC725350	XM_001121210.5	 GATA-binding factor A 
LOC725352	XM_001121212.5	 U6 snRNA-associated Sm-like protein LSm7 
LOC725357	XM_001121217.5	 uncharacterized LOC725357 
LOC725358	XM_001121218.5	 protein YIPF1 
LOC725360	XM_001121220.5	 radial spoke head protein 9 homolog 
LOC725363	XM_001121223.5	 isopentenyl-diphosphate Delta-isomerase 1 
LOC725368	XM_001121229.5	 probable serine/threonine-protein kinase DDB_G0283337 
LOC725387	XM_001121241.5	 uncharacterized protein DDB_G0283357 
LOC725389	XM_001121244.5	 box A-binding factor 
LOC725393	XM_001121248.5	 protein TIS11 
LOC725396	XM_001121250.5	 THO complex subunit 4 
LOC725397	XM_001121251.5	 probable E3 ubiquitin-protein ligase makorin-1 
LOC725400	XM_001121254.5	 4-hydroxyphenylpyruvate dioxygenase 
LOC725401	XM_001121255.5	 U6 snRNA-associated Sm-like protein LSm3 
LOC726962	XM_001121268.5	 trafficking protein particle complex subunit 1 
LOC725418	XM_001121269.5	 replication protein A 32 kDa subunit 
LOC725419	XM_001121270.5	 ADP-ribosylation factor-like protein 6-interacting protein 4 
LOC725420	XM_001121271.5	 sodium-dependent nutrient amino acid transporter 1 
LOC725426	XM_001121276.5	 uncharacterized LOC725426 
LOC725427	XM_001121277.5	 glucose dehydrogenase [FAD, quinone] 
LOC725429	XM_001121279.5	 ADP-ribosylation factor-like protein 6-interacting protein 1 
LOC725432	XM_001121282.5	 60S ribosomal protein L37a 
LOC725434	XM_001121284.5	 protein artichoke 
LOC725460	XM_001121303.5	 hemicentin-1 
LOC725462	XM_001121305.5	 vesicular glutamate transporter 2.1 
LOC725474	XM_001121316.5	 polycomb group protein Pc 
LOC725477	XM_001121319.5	 transmembrane protein 245 
LOC725478	XM_001121320.5	 N-acetyltransferase 6 
LOC725480	XM_001121323.5	 innexin inx1 
LOC725482	XM_001121325.5	 L-lactate dehydrogenase A-like 6A 
LOC725494	XM_001121331.5	 myoneurin 
LOC725495	XM_001121332.5	 homeobox protein GBX-2 
LOC725496	XM_001121333.5	 dimethyladenosine transferase 1, mitochondrial 
LOC725502	XM_001121339.5	 homeobox protein ARX 
LOC100578144	XM_001121344.5	 mitotic apparatus protein p62 
LOC725510	XM_001121347.5	 arrestin domain-containing protein 17 
LOC725518	XM_001121355.4	 DNA replication ATP-dependent helicase/nuclease DNA2 
LOC725527	XM_001121362.5	 cytochrome b-c1 complex subunit Rieske, mitochondrial 
LOC725528	XM_001121363.5	 CLK4-associating serine/arginine rich protein 
LOC725532	XM_001121365.5	 LIM/homeobox protein Awh 
LOC725536	XM_001121369.5	 Sjoegren syndrome nuclear autoantigen 1 homolog 
LOC725538	XM_001121371.5	 28S ribosomal protein S28, mitochondrial 
LOC725540	XM_001121373.5	 uncharacterized LOC725540 
LOC725542	XM_001121375.5	 arrestin domain-containing protein 17 
LOC725543	XM_001121376.5	 chaoptin 
LOC725550	XM_001121383.5	 proteasome activator complex subunit 4A 
LOC725576	XM_001121399.5	 protein GPR107 
LOC725583	XM_001121406.5	 bridging integrator 3 
LOC725586	XM_001121410.5	 exonuclease 3'-5' domain-containing protein 2 
LOC725590	XM_001121415.5	 homeobox protein B-H2-like 
LOC725592	XM_001121418.5	 protein prenyltransferase alpha subunit repeat-containing protein 1 
LOC725594	XM_001121420.5	 PDZ and LIM domain protein Zasp 
LOC725596	XM_001121422.5	 leukocyte receptor cluster member 8 homolog 
LOC725599	XM_001121426.5	 protein zer-1 homolog 
LOC725614	XM_001121441.5	 protein cycle 
LOC725615	XM_001121442.5	 serine/threonine-protein kinase RIO3 
LOC725622	XM_001121449.5	 uncharacterized LOC725622 
LOC725625	XM_001121453.5	 uncharacterized LOC725625 
LOC725633	XM_001121462.4	 probable DNA-directed RNA polymerases I and III subunit RPAC2 
LOC725634	XM_001121463.5	 uncharacterized LOC725634 
LOC725638	XM_001121467.5	 uncharacterized protein F58A4.6 
LOC725649	XM_001121471.5	 synaptonemal complex protein 1 
LOC725651	XM_001121473.5	 uncharacterized LOC725651 
LOC725654	XM_001121476.5	 cell growth regulator with RING finger domain protein 1 
LOC725659	XM_001121481.5	 39S ribosomal protein L35, mitochondrial 
LOC725660	XM_001121482.5	 uncharacterized LOC725660 
LOC725661	XM_001121483.5	 uncharacterized LOC725661 
LOC725669	XM_001121491.5	 DNA ligase 1 
LOC725671	XM_001121493.5	 homeobox protein Nkx-2.8 
LOC725682	XM_001121499.5	 uncharacterized LOC725682 
LOC725683	XM_001121500.5	 uncharacterized LOC725683 
LOC725684	XM_001121501.5	 COMM domain-containing protein 10 
LOC725686	XM_001121503.5	 CDC42 small effector protein homolog 
LOC725688	XM_001121505.5	 lipopolysaccharide-induced tumor necrosis factor-alpha factor homolog 
LOC725690	XM_001121507.5	 tetraspanin-3 
LOC725696	XM_001121513.5	 RNA polymerase-associated protein Rtf1 
LOC725703	XM_001121520.5	 uncharacterized LOC725703 
LOC725705	XM_001121522.4	 mitochondrial import inner membrane translocase subunit Tim13 
LOC725708	XM_001121525.5	 uncharacterized LOC725708 
LOC725724	XM_001121536.5	 uncharacterized LOC725724 
LOC725727	XM_001121539.5	 uncharacterized LOC725727 
LOC725729	XM_001121541.5	 uncharacterized LOC725729 
LOC725734	XM_001121546.5	 RNA-binding protein pno1 
LOC725740	XM_001121552.5	 uncharacterized LOC725740 
LOC725745	XM_001121554.5	 GPN-loop GTPase 1 
LOC725747	XM_001121556.5	 SNAPIN protein homolog 
LOC725750	XM_001121559.5	 uncharacterized LOC725750 
LOC725756	XM_001121565.5	 beta-galactosidase 
LOC725757	XM_001121566.5	 nuclear transcription factor Y subunit alpha 
LOC725758	XM_001121567.5	 regulator of G-protein signaling 7-binding protein A 
LOC725760	XM_001121569.5	 tetraspanin-2A 
LOC725761	XM_001121570.5	 uncharacterized abhydrolase domain-containing protein DDB_G0269086 
LOC725762	XM_001121571.4	 dynein light chain 1, axonemal-like 
LOC725764	XM_001121573.5	 peroxisomal membrane protein PEX16 
LOC725765	XM_001121574.5	 uncharacterized LOC725765 
LOC725766	XM_001121575.5	 NF-kappa-B inhibitor cactus 
LOC725781	XM_001121588.5	 syndetin 
LOC725784	XM_001121591.5	 uncharacterized LOC725784 
LOC725786	XM_001121593.5	 ubiquitin-like domain-containing CTD phosphatase 1 
LOC725789	XM_001121596.5	 ragulator complex protein LAMTOR1 
LOC725791	XM_001121598.5	 uncharacterized LOC725791 
LOC725793	XM_001121600.4	 centromere/kinetochore protein zw10 homolog 
LOC725795	XM_001121602.5	 INO80 complex subunit D 
LOC725799	XM_001121606.5	 uncharacterized LOC725799 
LOC725803	XM_001121610.5	 protein artichoke 
LOC725817	XM_001121619.5	 diphosphomevalonate decarboxylase 
LOC725823	XM_001121625.4	 uncharacterized LOC725823 
LOC725828	XM_001121629.5	 uncharacterized LOC725828 
LOC725832	XM_001121634.5	 beta-1,3-glucan-binding protein 1 
LOC725834	XM_001121636.5	 septin-7 
LOC725835	XM_001121637.5	 DNA polymerase epsilon subunit 4 
LOC725841	XM_001121644.5	 hyaluronan mediated motility receptor 
LOC725844	XM_001121647.5	 uncharacterized LOC725844 
LOC725854	XM_001121653.5	 39S ribosomal protein L37, mitochondrial 
LOC725855	XM_001121654.4	 ragulator complex protein LAMTOR3-A 
LOC725859	XM_001121657.5	 cell division cycle-associated protein 7 
LOC725861	XM_001121659.5	 odorant receptor 22 
LOC725866	XM_001121664.5	 39S ribosomal protein L9, mitochondrial 
LOC725870	XM_001121669.5	 chaoptin 
LOC725871	XM_001121670.5	 ARL14 effector protein 
LOC725886	XM_001121680.5	 F-box/LRR-repeat protein 2 
LOC725889	XM_001121683.5	 uncharacterized LOC725889 
LOC725891	XM_001121685.5	 synaptotagmin 12 
LOC725896	XM_001121690.4	 nucleoporin p58/p45 
LOC725901	XM_001121695.5	 GTP-binding protein Di-Ras2 
LOC725903	XM_001121697.5	 zinc finger protein 512B 
LOC725904	XM_001121698.5	 trafficking protein particle complex subunit 6B 
LOC725922	XM_001121709.5	 mitochondrial basic amino acids transporter 
LOC725926	XM_001121713.5	 collagen alpha-1(IV) chain 
LOC725928	XM_001121716.5	 dedicator of cytokinesis protein 3 
LOC725930	XM_001121718.5	 retinol dehydrogenase 12 
LOC725931	XM_001121719.5	 multiple inositol polyphosphate phosphatase 1 
LOC725947	XM_001121733.5	 U6 snRNA-associated Sm-like protein LSm6 
LOC725948	XM_001121734.5	 H/ACA ribonucleoprotein complex non-core subunit NAF1 
LOC725950	XM_001121736.4	 PHD finger protein 20 
LOC725954	XM_001121740.4	 copper homeostasis protein cutC homolog 
LOC725959	XM_001121745.5	 serine/arginine repetitive matrix protein 2 
LOC725960	XM_001121746.5	 neurofilament heavy polypeptide 
LOC725961	XM_001121747.5	 coiled-coil domain-containing protein 58 
LOC725965	XM_001121751.5	 insulinoma-associated protein 1-like 
LOC725969	XM_001121754.5	 MAGE-like protein 2 
LOC725973	XM_001121757.5	 uncharacterized LOC725973 
LOC725980	XM_001121760.3	 28S ribosomal protein S36, mitochondrial 
LOC725982	XM_001121762.5	 vacuolar protein sorting-associated protein 54 
LOC725992	XM_001121774.5	 uncharacterized LOC725992 
LOC725993	XM_001121775.5	 multidrug resistance-associated protein 7 
LOC726000	XM_001121781.5	 28S ribosomal protein S22, mitochondrial 
LOC726001	XM_001121782.5	 mantle protein-like 
LOC726002	XM_001121783.5	 tyrosine-protein kinase hopscotch 
LOC726007	XM_001121788.5	 polycomb protein Scm 
LOC726020	XM_001121796.5	 protein OSCP1 
LOC726025	XM_001121801.5	 uncharacterized LOC726025 
LOC726027	XM_001121803.5	 ADP-ribosylation factor-like protein 1 
LOC726028	XM_001121804.5	 probable rRNA-processing protein EBP2 homolog 
LOC726029	XM_001121805.5	 probable RNA-binding protein 18 
LOC726033	XM_001121809.5	 RPA-interacting protein 
LOC726040	XM_001121814.5	 4-coumarate--CoA ligase 1 
LOC726041	XM_001121815.5	 DNA-directed primase/polymerase protein 
LOC726042	XM_001121817.5	 cytochrome c oxidase subunit 6A1, mitochondrial 
LOC726043	XM_001121818.5	 leucine-rich repeat-containing protein 57 
LOC726063	XM_001121833.5	 zinc finger protein 569 
LOC726066	XM_001121836.5	 facilitated trehalose transporter Tret1 
LOC726068	XM_001121838.5	 uncharacterized LOC726068 
LOC726073	XM_001121844.5	 gamma-tubulin complex component 3 
LOC726076	XM_001121847.5	 centrosomal protein of 131 kDa 
LOC726081	XM_001121853.5	 mitochondrial import receptor subunit TOM70 
LOC726092	XM_001121859.4	 uncharacterized LOC726092 
LOC726094	XM_001121861.5	 uncharacterized LOC726094 
LOC726095	XM_001121862.5	 galactoside 2-alpha-L-fucosyltransferase 2 
LOC726097	XM_001121864.5	 uncharacterized LOC726097 
LOC726099	XM_001121865.5	 UPF0454 protein C12orf49 homolog 
LOC726103	XM_001121869.5	 protein cramped 
LOC726106	XM_001121872.5	 zwei Ig domain protein zig-8 
LOC726107	XM_001121873.5	 probable glutamate carboxypeptidase LAMP1 
LOC726113	XM_001121879.5	 protein-serine O-palmitoleoyltransferase porcupine 
LOC726120	XM_001121882.5	 ATP synthase-coupling factor 6, mitochondrial 
LOC726124	XM_001121886.5	 segmentation protein Runt 
LOC726126	XM_001121888.5	 proclotting enzyme 
LOC726129	XM_001121891.4	 UPF0547 protein C16orf87 
LOC726131	XM_001121893.5	 mitochondrial import inner membrane translocase subunit Tim10B 
LOC726133	XM_001121896.5	 exportin-6 
LOC726137	XM_001121900.5	 male-specific lethal 3 homolog 
LOC726150	XM_001121910.4	 transcription factor Sox-21-B 
LOC726151	XM_001121911.4	 probable 39S ribosomal protein L49, mitochondrial 
LOC726153	XM_001121913.5	 uncharacterized LOC726153 
LOC726155	XM_001121915.5	 uncharacterized LOC726155 
LOC726160	XM_001121920.5	 uncharacterized LOC726160 
LOC726162	XM_001121922.5	 homeobox protein goosecoid 
LOC726164	XM_001121924.4	 uncharacterized protein CG1161 
LOC726179	XM_001121936.5	 protein sister of odd and bowel-like 
LOC726180	XM_001121937.5	 transcription factor Sox-19b-like 
LOC726184	XM_001121941.4	 uncharacterized LOC726184 
LOC726185	XM_001121942.5	 uncharacterized LOC726185 
LOC726188	XM_001121944.5	 uncharacterized LOC726188 
LOC726190	XM_001121946.5	 arginine/serine-rich protein PNISR 
LOC726204	XM_001121958.5	 transcription factor cwo 
LOC726206	XM_001121961.5	 uncharacterized LOC726206 
LOC726213	XM_001121969.5	 glycosylated lysosomal membrane protein 
LOC726220	XM_001121977.5	 pyroglutamyl-peptidase 1 
LOC726229	XM_001121985.5	 uncharacterized LOC726229 
LOC726230	XM_001121986.5	 cAMP-responsive element-binding protein-like 2 
LOC726232	XM_001121988.4	 COMM domain-containing protein 5 
LOC726240	XM_001121996.5	 globin-1 
LOC726241	XM_001121997.5	 tudor domain-containing protein 7 
LOC726247	XM_001122002.5	 protein vestigial 
LOC726253	XM_001122008.5	 UDP-N-acetylglucosamine transferase subunit ALG13 homolog 
LOC726264	XM_001122019.5	 mitochondrial carrier homolog 2 
LOC726273	XM_001122025.5	 ralBP1-associated Eps domain-containing protein 1 
LOC726276	XM_001122027.5	 uncharacterized LOC726276 
LOC726279	XM_001122030.4	 M-phase phosphoprotein 6 
LOC726284	XM_001122035.5	 regulator of G-protein signaling 17 
LOC726288	XM_001122039.5	 uncharacterized LOC726288 
LOC726291	XM_001122042.5	 rabankyrin-5 
LOC726301	XM_001122049.5	 actin-related protein 2/3 complex subunit 4 
LOC726303	XM_001122051.5	 N-acetyltransferase family 8 member 3 
LOC726304	XM_001122052.5	 BLOC-1-related complex subunit 6 
LOC726305	XM_001122053.4	 M-phase inducer phosphatase 
LOC726307	XM_001122055.5	 serine-rich adhesin for platelets 
LOC726308	XM_001122056.5	 kxDL motif-containing protein CG10681 
LOC726312	XM_001122059.5	 receptor-binding cancer antigen expressed on SiSo cells 
LOC726314	XM_001122061.5	 protein SCO2 homolog, mitochondrial 
LOC726316	XM_001122063.4	 cytochrome b-c1 complex subunit 6, mitochondrial 
LOC726320	XM_001122067.5	 serine protease inhibitor 27A 
LOC726330	XM_001122074.5	 golgin subfamily A member 7 
LOC726331	XM_001122075.5	 alpha-2A adrenergic receptor 
LOC726336	XM_001122081.5	 splicing factor 3B subunit 2 
LOC726338	XM_001122083.5	 nuclear pore complex protein Nup88 
LOC726339	XM_001122084.5	 protein ELYS 
LOC726349	XM_001122092.5	 actin-binding LIM protein 2 
LOC726350	XM_001122093.5	 ATP-dependent RNA helicase DHX33 
LOC726353	XM_001122096.5	 uncharacterized LOC726353 
LOC726354	XM_001122097.5	 serine-rich adhesin for platelets 
LOC726358	XM_001122101.5	 huntingtin 
LOC726359	XM_001122102.4	 protein SMG8 
LOC102656311	XM_001122103.5	 dynactin subunit 3 
LOC726361	XM_001122104.4	 ufm1-specific protease 1 
LOC726362	XM_001122105.5	 4-coumarate--CoA ligase 1 
LOC726364	XM_001122107.5	 metaxin-2 
LOC726367	XM_001122110.5	 glycerate kinase-like 
LOC726370	XM_001122113.5	 uncharacterized LOC726370 
LOC726373	XM_001122116.5	 SET and MYND domain-containing protein 4 
LOC726375	XM_001122118.5	 bone morphogenetic protein 2-B 
LOC726391	XM_001122133.5	 carboxypeptidase B 
LOC726397	XM_001122139.5	 MAD2L1-binding protein 
LOC726400	XM_001122142.5	 forkhead box protein I1-ema 
LOC726417	XM_001122154.5	 uncharacterized LOC726417 
LOC726418	XM_001122155.5	 flavin-containing monooxygenase FMO GS-OX-like 4 
LOC726422	XM_001122159.5	 vacuolar protein sorting-associated protein 37A 
LOC726423	XM_001122160.4	 transient receptor potential cation channel protein painless 
LOC726427	XM_001122164.5	 metallo-beta-lactamase domain-containing protein 1 
LOC726437	XM_001122172.5	 tctex1 domain-containing protein 2 
LOC726439	XM_001122174.5	 40S ribosomal protein S16 
LOC726441	XM_001122176.5	 uncharacterized LOC726441 
LOC726443	XM_001122178.5	 PQ-loop repeat-containing protein 3 
LOC726451	XM_001122183.4	 cuticle protein 16.8 
LOC726453	XM_001122185.4	 ATP synthase subunit s, mitochondrial 
LOC726457	XM_001122189.5	 flocculation protein FLO11 
LOC726460	XM_001122192.5	 spermatogenesis-associated protein 6 
LOC726463	XM_001122195.5	 inositol monophosphatase 2 
LOC726472	XM_001122204.5	 prohormone-3 
LOC726478	XM_001122210.4	 inhibin beta C chain 
LOC726480	XM_001122212.5	 39S ribosomal protein L54, mitochondrial 
LOC726481	XM_001122213.5	 inositol monophosphatase 2 
LOC726487	XM_001122218.5	 histone H2B 
LOC726495	XM_001122227.5	 protein D2 
LOC726498	XM_001122230.5	 mitochondrial import inner membrane translocase subunit Tim8 
LOC726505	XM_001122237.5	 uncharacterized LOC726505 
LOC726506	XM_001122238.5	 kinesin 14 
LOC726509	XM_001122241.5	 protein FRA10AC1 
LOC726510	XM_001122242.5	 M-phase inducer phosphatase 1 
LOC726513	XM_001122245.3	 ATP-binding cassette sub-family G member 5 
LOC726515	XM_001122247.5	 cilia- and flagella-associated protein 300 
LOC726525	XM_001122254.5	 serine/threonine-protein kinase fused 
LOC726527	XM_001122256.5	 protein FAM136A 
LOC726544	XM_001122271.5	 serine/threonine-protein phosphatase 4 regulatory subunit 1 
LOC726545	XM_001122272.5	 sialin-like 
LOC726548	XM_001122276.5	 regulator of G-protein signaling loco 
