Gene	lnL_Null	lnL_Alt	LRT	SocOrigin	Class	Gene_Desc	pvalue	adj_pvalue
LOC409569	-6218.079221	-6218.079221	0	AllSol	Random	 uncharacterized LOC409569 	1	1
LOC409571	-6312.541619	-6312.541619	0	AllSol	Random	 Golgi reassembly-stacking protein 2 	1	1
LOC409573	-4813.643581	-4813.643581	0	AllSol	Random	 zinc finger protein 2 homolog 	1	1
LOC409574	-5608.135297	-5608.135297	0	AllSol	Random	 6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1 	1	1
LOC409576	-6373.766164	-6373.766164	0	AllSol	Random	 spastin 	1	1
LOC409578	-2503.988253	-2503.988253	0	AllSol	Random	 adapter molecule Crk 	1	1
LOC409579	-8377.210504	-8377.210504	0	AllSol	Random	 Fanconi anemia group M protein 	1	1
LOC409581	-1976.428225	-1976.143811	0.568828	AllSol	Random	 F-actin-capping protein subunit beta 	0.450725014139609	1
LOC409584	-7022.740214	-7022.740214	0	AllSol	Random	 UBX domain-containing protein 6 	1	1
LOC409589	-2550.471992	-2550.117005	0.709974	AllSol	Random	 60S ribosomal protein L10 	0.399452443399655	1
LOC409590	-3336.997795	-3336.995588	0.004414	AllSol	Random	 cyclin-dependent kinase 1 	0.947029164392065	1
LOC409594	-10089.909826	-10089.909826	0	AllSol	Random	 dnaJ homolog dnj-5 	1	1
LOC409600	-684.908067	-684.827616	0.160902	AllSol	Random	 SPRY domain-containing protein 7 	0.688327421627139	1
LOC409602	-3734.549281	-3733.82495	1.44866	AllSol	Random	 circadian clock-controlled protein 	0.228743088584628	1
LOC409603	-12350.274299	-12350.274299	0	AllSol	Random	 coiled-coil domain-containing protein 142 	1	1
LOC409604	-10075.501206	-10072.663538	5.67534	AllSol	Random	 nostrin 	0.0172050051631294	1
LOC409609	-4774.868082	-4774.868082	0	AllSol	Random	 26S proteasome non-ATPase regulatory subunit 4 	1	1
LOC409610	-7476.386822	-7476.386822	0	AllSol	Random	 rhotekin-2 	1	1
LOC409611	-7124.813404	-7124.813404	0	AllSol	Random	 disintegrin and metalloproteinase domain-containing protein 10 	1	1
LOC409613	-1442.877215	-1439.60246	6.54951	AllSol	Random	 GTP-binding protein SAR1 	0.0104913047956579	1
LOC409614	-2838.180121	-2838.180121	0	AllSol	Random	 group XIIA secretory phospholipase A2 	1	1
LOC409616	-24827.463526	-24827.463526	0	AllSol	Random	 uncharacterized protein MAL13P1.304 	1	1
LOC409620	-10713.740702	-10713.740702	0	AllSol	Random	 vacuolar protein sorting-associated protein 8 homolog 	1	1
LOC409622	-10849.402327	-10849.402327	0	AllSol	Random	 spermatogenesis-associated protein 20 	1	1
LOC409624	-5265.058682	-5265.058682	0	AllSol	Random	 acetyl-coenzyme A synthetase 	1	1
LOC409628	-5765.50475	-5765.50475	0	AllSol	Random	 neutral ceramidase 	1	1
LOC409636	-5128.85189	-5128.85189	0	AllSol	Random	 uncharacterized LOC409636 	1	1
LOC409637	-3465.888295	-3465.88811	0.00037	AllSol	Random	 60S ribosomal protein L23a 	0.984653330419872	1
LOC409638	-4135.253544	-4135.253544	0	AllSol	Random	 elongation of very long chain fatty acids protein AAEL008004 	1	1
LOC409642	-3890.632194	-3890.565377	0.133634	AllSol	Random	 uncharacterized LOC409642 	0.714693543420735	1
LOC409645	-1590.237248	-1590.237248	0	AllSol	Random	 MAPK regulated corepressor interacting protein 2 	1	1
LOC409646	-9289.685357	-9289.685357	0	AllSol	Random	 cationic amino acid transporter 3 	1	1
LOC409647	-7701.554357	-7701.554357	0	AllSol	Random	 THO complex subunit 1 	1	1
LOC409650	-9185.659734	-9185.659734	0	AllSol	Random	 solute carrier organic anion transporter family member 2A1 	1	1
LOC409653	-5683.543684	-5683.543684	0	AllSol	Random	 tRNA-splicing ligase RtcB homolog 	1	1
LOC409658	-10975.462244	-10975.462244	0	AllSol	Random	 uncharacterized LOC409658 	1	1
LOC409659	-7034.169245	-7034.169245	0	AllSol	Random	 protein LTV1 homolog 	1	1
LOC409663	-1662.61263	-1662.61263	0	AllSol	Random	 lysozyme 	1	1
LOC409664	-17013.363419	-17013.363419	0	AllSol	Random	 erythroid differentiation-related factor 1 	1	1
LOC409665	-8323.117626	-8323.117626	0	AllSol	Random	 LIM domain and actin-binding protein 1 	1	1
LOC409666	-11707.684838	-11707.116195	1.13729	AllSol	Random	 ABC transporter G family member 20 	0.286225693249954	1
LOC409668	-4750.648631	-4750.648631	0	AllSol	Random	 proteasome inhibitor PI31 subunit 	1	1
LOC409671	-6738.209573	-6738.209777	-0.000408	AllSol	Random	 beta-catenin-like protein 1 	1	1
LOC409672	-4614.417314	-4614.313479	0.20767	AllSol	Random	 pinin 	0.648599795843665	1
LOC409674	-4700.087852	-4700.087852	0	AllSol	Random	 uncharacterized LOC409674 	1	1
LOC409676	-9868.273775	-9868.273775	0	AllSol	Random	 kinesin 2A 	1	1
LOC409688	-4536.859516	-4536.859515	2e-06	AllSol	Random	 cleavage stimulation factor subunit 1 	0.998871621209031	1
LOC409690	-5844.214009	-5844.214009	0	AllSol	Random	 uncharacterized LOC409690 	1	1
LOC409691	-3415.483622	-3415.483622	0	AllSol	Random	 signal peptide peptidase-like 3 	1	1
LOC409693	-3916.220804	-3916.075888	0.289832	AllSol	Random	 inositol monophosphatase 1 	0.590328208726092	1
LOC409696	-4058.576731	-4058.576731	0	AllSol	Random	 splicing factor 45 	1	1
LOC409699	-3487.807829	-3487.800289	0.01508	AllSol	Random	 26S proteasome non-ATPase regulatory subunit 1-like 	0.902264958372195	1
LOC409702	-16565.286756	-16565.286756	0	AllSol	Random	 folliculin-interacting protein 2 	1	1
LOC409706	-1734.365814	-1734.365814	0	AllSol	Random	 short coiled-coil protein B 	1	1
LOC409712	-5854.112678	-5854.112678	0	AllSol	Random	 short/branched chain specific acyl-CoA dehydrogenase, mitochondrial 	1	1
LOC409713	-8135.292491	-8135.292491	0	AllSol	Random	 protein hu-li tai shao 	1	1
LOC409714	-17811.068554	-17810.141329	1.85445	AllSol	Random	 serine-rich adhesin for platelets 	0.173266718795895	1
LOC409718	-7369.969403	-7369.969403	0	AllSol	Random	 PAN2-PAN3 deadenylation complex subunit PAN3 	1	1
LOC409728	-2496.887721	-2496.887721	0	AllSol	Random	 40S ribosomal protein S5 	1	1
LOC409733	-6341.96372	-6337.52142	8.8846	AllSol	Random	 transcriptional activator Myb 	0.00287586042709325	1
LOC409734	-6723.65312	-6723.124718	1.0568	AllSol	Random	 nuclear pore glycoprotein p62 	0.303946167060573	1
LOC409739	-6646.522585	-6646.522585	0	AllSol	Random	 motile sperm domain-containing protein 2 	1	1
LOC409743	-17554.703707	-17554.703707	0	AllSol	Random	 protein MON2 homolog 	1	1
LOC409752	-15491.805371	-15491.805371	0	AllSol	Random	 uncharacterized LOC409752 	1	1
LOC409753	-7630.389819	-7630.389819	0	AllSol	Random	 RING finger protein unkempt homolog 	1	1
LOC409755	-4496.910702	-4496.910702	0	AllSol	Random	 beta-parvin 	1	1
LOC409756	-4932.028336	-4932.028336	0	AllSol	Random	 vacuolar protein sorting-associated protein 4B 	1	1
LOC409757	-8848.932782	-8848.932782	0	AllSol	Random	 ecto-NOX disulfide-thiol exchanger 2 	1	1
LOC409764	-4566.116324	-4566.116324	0	AllSol	Random	 uncharacterized LOC409764 	1	1
LOC409765	-4278.195048	-4278.195048	0	AllSol	Random	 actin-related protein 6 	1	1
LOC409766	-5062.042893	-5062.042893	0	AllSol	Random	 ubiquitin-like modifier-activating enzyme 5 	1	1
LOC409767	-3562.245921	-3562.230422	0.030998	AllSol	Random	 casein kinase II subunit alpha 	0.860244850048743	1
LOC409771	-6628.176529	-6628.176529	0	AllSol	Random	 potassium channel subfamily K member 18 	1	1
LOC409773	-5061.291069	-5061.291069	0	AllSol	Random	 alcohol dehydrogenase class-3 	1	1
LOC409777	-11756.436861	-11756.436861	0	AllSol	Random	 ionotropic receptor 25a 	1	1
LOC409778	-11996.102866	-11996.102866	0	AllSol	Random	 storkhead-box protein 2 	1	1
LOC409782	-4368.693192	-4368.693192	0	AllSol	Random	 pikachurin 	1	1
LOC409787	-8509.280093	-8506.174531	6.21112	AllSol	Random	 paramyosin, long form 	0.0126950285333378	1
LOC409789	-7486.712921	-7486.490326	0.44519	AllSol	Random	 uncharacterized peptidase C1-like protein F26E4.3 	0.504628041978763	1
LOC409790	-2715.300747	-2715.300747	0	AllSol	Random	 multiple coagulation factor deficiency protein 2 homolog 	1	1
LOC409793	-2167.452926	-2167.452926	0	AllSol	Random	 NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial 	1	1
LOC409794	-3464.178755	-3464.178755	0	AllSol	Random	 ubiquitin-conjugating enzyme E2 J1 	1	1
LOC409799	-4184.962021	-4184.962021	0	AllSol	Random	 ataxin-7-like protein 3 	1	1
LOC409804	-3215.683034	-3215.072595	1.22088	AllSol	Random	 serine/threonine-protein phosphatase PP1-beta catalytic subunit 	0.26918802078883	1
LOC409806	-3148.784747	-3148.245339	1.07882	AllSol	Random	 integrator complex subunit 12 	0.298961680067698	1
LOC409809	-6792.95023	-6792.95023	0	AllSol	Random	 T-complex protein 1 subunit beta 	1	1
LOC409810	-9127.727889	-9127.727889	0	AllSol	Random	 anaphase-promoting complex subunit 4 	1	1
LOC409819	-3890.645624	-3890.645624	0	AllSol	Random	 JNK1/MAPK8-associated membrane protein 	1	1
LOC409820	-6699.337696	-6698.994864	0.685664	AllSol	Random	 UBX domain-containing protein 7 	0.407643142440173	1
LOC409822	-2423.241688	-2423.241688	0	AllSol	Random	 enhancer of split m7 protein 	1	1
LOC409825	-7263.036311	-7263.036311	0	AllSol	Random	 T-complex protein 1 subunit epsilon 	1	1
LOC409826	-19336.077837	-19336.077837	0	AllSol	Random	 proteoglycan 4 	1	1
LOC409829	-4792.094074	-4791.711918	0.764312	AllSol	Random	 F-box/LRR-repeat protein 20 	0.381982452948739	1
LOC409831	-3174.5824	-3174.5824	0	AllSol	Random	 proteasome subunit beta type-6 	1	1
LOC409832	-1655.058835	-1655.058835	0	AllSol	Random	 60S ribosomal protein L18a 	1	1
LOC409835	-4865.366557	-4865.366557	0	AllSol	Random	 E3 ubiquitin-protein ligase MARCH2 	1	1
LOC409839	-9757.507193	-9757.507191	4e-06	AllSol	Random	 regulator of nonsense transcripts 1 	0.99840423194224	1
LOC409841	-4524.177949	-4524.177949	0	AllSol	Random	 nuclear protein localization protein 4 homolog 	1	1
LOC409845	-11238.870071	-11238.870071	0	AllSol	Random	 potassium voltage-gated channel subfamily H member 8 	1	1
LOC409846	-8389.480547	-8389.480547	0	AllSol	Random	 GMP synthase [glutamine-hydrolyzing] 	1	1
LOC409856	-13364.950524	-13364.755558	0.389932	AllSol	Random	 guanine nucleotide-releasing factor 2 	0.532335147588186	1
LOC409859	-11107.23737	-11107.23737	0	AllSol	Random	 DNA replication factor Cdt1 	1	1
LOC409861	-1939.097643	-1939.097263	0.00076	AllSol	Random	 nucleoside diphosphate kinase 	0.978006626493297	1
LOC409862	-1045.827326	-1045.827326	0	AllSol	Random	 serine/arginine-rich splicing factor 2 	1	1
LOC409865	-16181.698957	-16181.698957	0	AllSol	Random	 protein retinal degeneration B 	1	1
LOC409866	-4267.594808	-4267.594808	0	AllSol	Random	 eukaryotic initiation factor 4A-III 	1	1
LOC409867	-5759.95664	-5759.95664	0	AllSol	Random	 FERM domain-containing protein 8 	1	1
LOC409870	-4750.493377	-4750.493377	0	AllSol	Random	 minor histocompatibility antigen H13 	1	1
LOC409872	-5226.556089	-5226.556089	0	AllSol	Random	 TRPL translocation defect protein 14 	1	1
LOC409876	-5662.558788	-5662.558788	0	AllSol	Random	 interferon regulatory factor 2-binding protein-like B 	1	1
LOC409877	-3633.73124	-3633.73124	0	AllSol	Random	 myeloid leukemia factor 	1	1
LOC409880	-5431.585769	-5431.585769	0	AllSol	Random	 26S proteasome non-ATPase regulatory subunit 12 	1	1
LOC409881	-2592.070829	-2592.070829	0	AllSol	Random	 myosin regulatory light chain 2 	1	1
LOC409882	-2731.964444	-2731.964444	0	AllSol	Random	 TLD domain-containing protein 2 	1	1
LOC409884	-7439.445322	-7439.445179	0.000286	AllSol	Random	 xylulose kinase 	0.986507190863089	1
LOC409886	-2512.650041	-2512.650041	0	AllSol	Random	 protein Mo25 	1	1
LOC409887	-4083.875152	-4083.852228	0.045848	AllSol	Random	 transcription factor Dp-1 	0.830452340539504	1
LOC409891	-11450.142649	-11449.827021	0.631256	AllSol	Random	 cell division cycle and apoptosis regulator protein 1 	0.426894978858043	1
LOC409894	-4225.453162	-4225.453162	0	AllSol	Random	 nuclear distribution protein nudE-like 1-A 	1	1
LOC409897	-22225.884267	-22225.884267	0	AllSol	Random	 probable multidrug resistance-associated protein lethal(2)03659 	1	1
LOC409908	-2319.020448	-2319.020448	0	AllSol	Random	 tyrosine-protein kinase CSK 	1	1
LOC409913	-2987.567932	-2987.567932	0	AllSol	Random	 COMM domain-containing protein 4 	1	1
LOC409915	-10014.954855	-10014.954855	0	AllSol	Random	 RNA-binding protein 26 	1	1
LOC409918	-13708.557226	-13708.557226	0	AllSol	Random	 cullin-associated NEDD8-dissociated protein 1 	1	1
LOC409919	-7882.155014	-7882.089278	0.131472	AllSol	Random	 excitatory amino acid transporter 1 	0.71691067469136	1
LOC409921	-7220.911351	-7220.911351	0	AllSol	Random	 zinc finger protein Elbow 	1	1
LOC409922	-5145.701383	-5145.683946	0.034874	AllSol	Random	 ferrochelatase, mitochondrial 	0.851859931533181	1
LOC409926	-3158.051047	-3158.020527	0.06104	AllSol	Random	 39S ribosomal protein L12, mitochondrial 	0.804859665228989	1
LOC409927	-10544.053265	-10544.053265	0	AllSol	Random	 putative pyridoxal-dependent decarboxylase domain-containing protein 2 	1	1
LOC409931	-4882.621064	-4882.621064	0	AllSol	Random	 protein FAM69C 	1	1
LOC409932	-5309.442541	-5309.075805	0.733472	AllSol	Random	 b(0,+)-type amino acid transporter 1 	0.391760087974866	1
LOC409933	-4637.336312	-4637.336312	0	AllSol	Random	 glucose transporter type 1 	1	1
LOC409934	-3590.161991	-3590.144761	0.03446	AllSol	Random	 vesicle-associated membrane protein-associated protein B 	0.8527317507034	1
LOC409937	-16705.759412	-16704.465468	2.58789	AllSol	Random	 neither inactivation nor afterpotential protein C 	0.107683702618208	1
LOC409942	-11998.699869	-11998.699869	0	AllSol	Random	 interference hedgehog 	1	1
LOC409949	-5677.453576	-5677.397238	0.112676	AllSol	Random	 agrin 	0.737117876188744	1
LOC409950	-20315.867789	-20315.867789	0	AllSol	Random	 fibrillin-1 	1	1
LOC409951	-2428.762476	-2428.762476	0	AllSol	Random	 39S ribosomal protein L20, mitochondrial 	1	1
LOC409953	-14816.80653	-14816.80653	0	AllSol	Random	 RNA-binding protein 33 	1	1
LOC409954	-2431.895386	-2431.548636	0.6935	AllSol	Random	 peroxiredoxin 1 	0.404976446240361	1
LOC409955	-4311.79378	-4311.592403	0.402754	AllSol	Random	 WD40 repeat-containing protein SMU1 	0.525670393104752	1
LOC409956	-512.272275	-512.272275	0	AllSol	Random	 uncharacterized LOC409956 	1	1
LOC409959	-2776.580079	-2776.580079	0	AllSol	Random	 cyclin-dependent kinase 2 	1	1
LOC409961	-4067.271644	-4067.271644	0	AllSol	Random	 heterogeneous nuclear ribonucleoprotein 27C 	1	1
LOC409965	-13588.271296	-13588.271296	0	AllSol	Random	 cyclin-dependent kinase 12 	1	1
LOC409969	-8548.609182	-8548.609182	0	AllSol	Random	 tRNA-dihydrouridine(47) synthase [NAD(P)(+)]-like 	1	1
LOC409972	-1656.856771	-1656.794763	0.124016	AllSol	Random	 uncharacterized LOC409972 	0.724718981894432	1
LOC409977	-11234.512961	-11234.512961	0	AllSol	Random	 uncharacterized LOC409977 	1	1
LOC409978	-2706.664469	-2706.664469	0	AllSol	Random	 proteasome subunit beta type-2 	1	1
LOC409979	-8099.121367	-8099.121367	0	AllSol	Random	 DNA replication licensing factor Mcm7 	1	1
LOC409985	-14858.363345	-14858.363345	0	AllSol	Random	 ubiquitin carboxyl-terminal hydrolase 48 	1	1
LOC409986	-11415.198747	-11415.198747	0	AllSol	Random	 peroxisomal multifunctional enzyme type 2 	1	1
LOC409990	-11560.095658	-11560.095658	0	AllSol	Random	 coatomer subunit beta' 	1	1
LOC409991	-8831.556452	-8831.556452	0	AllSol	Random	 dnaJ homolog subfamily C member 11 	1	1
LOC409992	-7020.862092	-7020.862092	0	AllSol	Random	 importin-13 	1	1
LOC409993	-27814.216128	-27814.216128	0	AllSol	Random	 5'-3' exoribonuclease 1 	1	1
LOC409994	-2607.859414	-2607.768845	0.181138	AllSol	Random	 INO80 complex subunit E 	0.67039707992628	1
LOC409995	-4016.121819	-4016.121819	0	AllSol	Random	 sin3 histone deacetylase corepressor complex component SDS3 	1	1
LOC410004	-705.466595	-705.174369	0.584452	AllSol	Random	 transcription initiation factor TFIID subunit 10 	0.444572550901122	1
LOC410006	-7728.020786	-7728.020786	0	AllSol	Random	 uncharacterized LOC410006 	1	1
LOC410007	-8570.699617	-8570.699617	0	AllSol	Random	 putative phospholipase B-like lamina ancestor 	1	1
LOC410009	-875.331301	-875.331301	0	AllSol	Random	 cadherin-related tumor suppressor 	1	1
LOC410012	-2828.335373	-2828.335373	0	AllSol	Random	 WW domain-binding protein 2 	1	1
LOC410013	-2206.539742	-2206.539742	0	AllSol	Random	 calexcitin-2 	1	1
LOC410015	-2718.494401	-2718.494401	0	AllSol	Random	 protein LSM14 homolog A 	1	1
LOC410017	-2509.804788	-2509.804788	0	AllSol	Random	 protein OPI10 homolog 	1	1
LOC410018	-8807.140277	-8807.140277	0	AllSol	Random	 protein I'm not dead yet 	1	1
LOC410022	-5872.243167	-5872.243167	0	AllSol	Random	 mitochondrial-processing peptidase subunit beta 	1	1
LOC410023	-3999.725795	-3999.725795	0	AllSol	Random	 persulfide dioxygenase ETHE1, mitochondrial 	1	1
LOC410026	-3920.125178	-3920.125179	-2e-06	AllSol	Random	 26S proteasome regulatory complex subunit p48A 	1	1
LOC410030	-3325.305678	-3325.305678	0	AllSol	Random	 protein SEC13 homolog 	1	1
LOC410033	-1125.842639	-1125.842639	0	AllSol	Random	 B-cell CLL/lymphoma 7 protein family member B 	1	1
LOC410035	-12668.632487	-12668.632487	0	AllSol	Random	 dorsal-ventral patterning protein Sog 	1	1
LOC410040	-2201.923324	-2201.923324	0	AllSol	Random	 serine/arginine-rich splicing factor 1B 	1	1
LOC410041	-10530.264023	-10530.264023	0	AllSol	Random	 uncharacterized LOC410041 	1	1
LOC410042	-5131.7131	-5131.7131	0	AllSol	Random	 glyoxylate reductase/hydroxypyruvate reductase 	1	1
LOC410043	-5958.683188	-5958.683188	0	AllSol	Random	 ornithine decarboxylase 	1	1
LOC410044	-4361.363053	-4361.363053	0	AllSol	Random	 rho GTPase-activating protein 20 	1	1
LOC410045	-3650.535028	-3650.535028	0	AllSol	Random	 serine/threonine-protein phosphatase 4 regulatory subunit 4 	1	1
LOC410050	-2089.934973	-2089.934973	0	AllSol	Random	 mitotic checkpoint protein BUB3 	1	1
LOC410054	-6736.113997	-6736.113997	0	AllSol	Random	 ubiquilin-1 	1	1
LOC410056	-7852.967692	-7852.96496	0.005464	AllSol	Random	 serine/threonine-protein phosphatase 4 regulatory subunit 3 	0.941074937294358	1
LOC410057	-4538.739809	-4538.739809	0	AllSol	Random	 uncharacterized LOC410057 	1	1
LOC410058	-2241.254938	-2235.309958	11.89	AllSol	Random	 myosin light chain alkali 	0.00056436121514676	1
LOC410061	-14015.381932	-14015.381932	0	AllSol	Random	 type I inositol 3,4-bisphosphate 4-phosphatase 	1	1
LOC410067	-13870.232927	-13870.232927	0	AllSol	Random	 uncharacterized LOC410067 	1	1
LOC410070	-40130.026512	-40130.026512	0	AllSol	Random	 centrosome-associated protein 350 	1	1
LOC410071	-4768.629172	-4768.629172	0	AllSol	Random	 glycerol-3-phosphate phosphatase 	1	1
LOC410072	-2974.189227	-2974.189227	0	AllSol	Random	 26S proteasome non-ATPase regulatory subunit 14 	1	1
LOC410073	-6779.519933	-6779.519933	0	AllSol	Random	 cell division control protein 45 homolog 	1	1
LOC410076	-3013.401445	-3013.401445	0	AllSol	Random	 probable uridine-cytidine kinase 	1	1
LOC410078	-6030.524865	-6030.524865	0	AllSol	Random	 echinoderm microtubule-associated protein-like 2 	1	1
LOC410079	-1219.591551	-1219.591551	0	AllSol	Random	 zinc finger protein 385B 	1	1
LOC410080	-3258.522099	-3258.522099	0	AllSol	Random	 spermine synthase 	1	1
LOC410085	-1625.046627	-1625.035881	0.021492	AllSol	Random	 AN1-type zinc finger protein 5 	0.883446569115869	1
LOC410092	-5078.175231	-5078.175231	0	AllSol	Random	 dual oxidase maturation factor 1 	1	1
LOC410093	-2203.357662	-2203.357662	0	AllSol	Random	 geminin 	1	1
LOC410094	-2229.326842	-2229.326842	0	AllSol	Random	 protein RER1 	1	1
LOC410095	-2878.706857	-2878.706857	0	AllSol	Random	 proteasome subunit alpha type-7-1 	1	1
LOC410096	-9334.741044	-9334.741044	0	AllSol	Random	 glutathione hydrolase 1 proenzyme 	1	1
LOC410098	-4566.712847	-4566.712847	0	AllSol	Random	 WD repeat and FYVE domain-containing protein 2 	1	1
LOC410099	-13256.485862	-13256.485862	0	AllSol	Random	 THO complex subunit 2 	1	1
LOC410100	-7910.444288	-7910.444288	0	AllSol	Random	 eukaryotic translation initiation factor 3 subunit B 	1	1
LOC410101	-11025.747829	-11024.806662	1.88233	AllSol	Random	 trafficking kinesin-binding protein milt 	0.170069564196918	1
LOC410102	-2603.795654	-2602.898665	1.79398	AllSol	Random	 GATA zinc finger domain-containing protein 1 	0.180441990694619	1
LOC410106	-9691.156944	-9691.156944	0	AllSol	Random	 myotubularin-related protein 10-B 	1	1
LOC410108	-12126.966066	-12126.966066	0	AllSol	Random	 zinc finger protein 91 	1	1
LOC410114	-8478.510656	-8478.510656	0	AllSol	Random	 solute carrier family 23 member 1 	1	1
LOC410115	-4560.636185	-4560.631001	0.010368	AllSol	Random	 actin-related protein 3 	0.918896870328715	1
LOC410116	-8704.639253	-8704.639253	0	AllSol	Random	 transcription factor 25 	1	1
LOC410119	-8047.782514	-8047.782514	0	AllSol	Random	 mitogen-activated protein kinase kinase kinase 12 	1	1
LOC410120	-2018.304376	-2018.304376	0	AllSol	Random	 thioredoxin, mitochondrial 	1	1
LOC410121	-13246.954591	-13246.954591	0	AllSol	Random	 thioredoxin domain-containing protein 11 	1	1
LOC410122	-4055.51007	-4055.51007	0	AllSol	Random	 glyceraldehyde-3-phosphate dehydrogenase 2 	1	1
LOC410128	-2804.358708	-2804.354605	0.008206	AllSol	Random	 26S proteasome non-ATPase regulatory subunit 9 	0.927820781994975	1
LOC410129	-3770.770168	-3770.770168	0	AllSol	Random	 casein kinase I 	1	1
LOC410130	-3580.601262	-3580.601262	0	AllSol	Random	 PRA1 family protein 3 	1	1
LOC410132	-8177.006797	-8177.006797	0	AllSol	Random	 GPI transamidase component PIG-T 	1	1
LOC410133	-2796.431044	-2796.431044	0	AllSol	Random	 PDZ domain-containing RING finger protein 4 	1	1
LOC410134	-3683.95067	-3679.22791	9.44552	AllSol	Random	 blood vessel epicardial substance 	0.0021166547987793	1
LOC410136	-18349.061048	-18349.061048	0	AllSol	Random	 E3 ubiquitin-protein ligase RNF123 	1	1
LOC410142	-4082.698682	-4082.698682	0	AllSol	Random	 RILP-like protein homolog 	1	1
LOC410144	-7698.192838	-7698.192838	0	AllSol	Random	 rac GTPase-activating protein 1 	1	1
LOC410148	-9191.852852	-9191.852852	0	AllSol	Random	 carboxypeptidase Q 	1	1
LOC410151	-5470.967389	-5470.947284	0.04021	AllSol	Random	 retinal homeobox protein Rx2 	0.841070545306693	1
LOC410158	-5645.476008	-5645.476008	0	AllSol	Random	 adenylyl cyclase-associated protein 1 	1	1
LOC410162	-2567.206211	-2567.206211	0	AllSol	Random	 ataxin-3 	1	1
LOC410166	-3577.196874	-3577.196874	0	AllSol	Random	 myelin regulatory factor-like protein 	1	1
LOC410169	-4295.172984	-4295.172984	0	AllSol	Random	 twinfilin 	1	1
LOC410171	-35499.045077	-35499.045077	0	AllSol	Random	 filamin-A 	1	1
LOC410174	-15062.092141	-15062.092141	0	AllSol	Random	 cyclin-T 	1	1
LOC410175	-6023.583593	-6023.583593	0	AllSol	Random	 F-box/LRR-repeat protein 14 	1	1
LOC410178	-12884.626862	-12884.626862	0	AllSol	Random	 disks large homolog 5 	1	1
LOC410184	-5053.089952	-5053.089952	0	AllSol	Random	 F-box-like/WD repeat-containing protein TBL1XR1 	1	1
LOC410188	-2616.882183	-2616.882183	0	AllSol	Random	 60S ribosomal protein L8 	1	1
LOC410189	-7353.673583	-7353.673583	0	AllSol	Random	 5'-nucleotidase domain-containing protein 3 	1	1
LOC410191	-6888.792941	-6888.792941	0	AllSol	Random	 ring canal kelch homolog 	1	1
LOC410194	-4560.757155	-4560.757155	0	AllSol	Random	 protein downstream neighbor of son homolog 	1	1
LOC410195	-3924.372494	-3922.411563	3.92186	AllSol	Random	 COP9 signalosome complex subunit 6 	0.0476621196816893	1
LOC410198	-12335.770198	-12335.770198	0	AllSol	Random	 kinesin-related protein 4 	1	1
LOC410200	-3024.389112	-3024.389112	0	AllSol	Random	 mRNA turnover protein 4 homolog 	1	1
LOC410201	-14010.525863	-14010.525863	0	AllSol	Random	 phosphatidate phosphatase LPIN3 	1	1
LOC410202	-6529.634252	-6529.634252	0	AllSol	Random	 radial spoke head protein 3 homolog 	1	1
LOC410205	-8727.659509	-8727.659509	0	AllSol	Random	 gastrulation defective protein 1 homolog 	1	1
LOC410207	-15516.611846	-15516.611846	0	AllSol	Random	 dihydropyrimidine dehydrogenase [NADP(+)] 	1	1
LOC410208	-4420.30377	-4420.30377	0	AllSol	Random	 serine/threonine-protein kinase 3 	1	1
LOC410211	-2543.584529	-2543.584529	0	AllSol	Random	 four and a half LIM domains protein 2 	1	1
LOC410216	-4382.313347	-4382.313347	0	AllSol	Random	 reticulocalbin-2 	1	1
LOC410217	-13161.492305	-13161.492305	0	AllSol	Random	 structural maintenance of chromosomes protein 3 	1	1
LOC410218	-2863.591963	-2863.591963	0	AllSol	Random	 probable signal peptidase complex subunit 2 	1	1
LOC410219	-4841.287192	-4841.287192	0	AllSol	Random	 pre-mRNA 3'-end-processing factor FIP1 	1	1
LOC410222	-3428.664341	-3428.664341	0	AllSol	Random	 zinc finger protein 853 	1	1
LOC410223	-3204.547382	-3203.796291	1.50218	AllSol	Random	 phosducin-like protein 	0.22033623777376	1
LOC410225	-4224.354452	-4224.354452	0	AllSol	Random	 probable E3 ubiquitin-protein ligase RNF144A 	1	1
LOC410226	-3988.374615	-3988.374615	0	AllSol	Random	 activating transcription factor of chaperone 	1	1
LOC410227	-5306.380798	-5306.380798	0	AllSol	Random	 inactive hydroxysteroid dehydrogenase-like protein 1 	1	1
LOC410228	-3876.80579	-3876.80579	0	AllSol	Random	 cAMP-dependent protein kinase catalytic subunit PRKX 	1	1
LOC410229	-14294.297592	-14294.297592	0	AllSol	Random	 toll-like receptor 6 	1	1
LOC410231	-14246.941545	-14246.941545	0	AllSol	Random	 toll-like receptor Tollo 	1	1
LOC410233	-17897.546655	-17897.546655	0	AllSol	Random	 extracellular sulfatase SULF-1 homolog 	1	1
LOC410234	-4920.157575	-4920.144091	0.026968	AllSol	Random	 UDP-glucuronic acid decarboxylase 1 	0.869558456610661	1
LOC410235	-16934.94872	-16934.94872	0	AllSol	Random	 toll-like receptor Tollo 	1	1
LOC410238	-3257.972915	-3257.972915	0	AllSol	Random	 leukocyte receptor cluster member 1 	1	1
LOC410239	-12777.17692	-12777.17692	0	AllSol	Random	 trimethylguanosine synthase 	1	1
