Gene	dN.dS	AlnLength	GeneAverage	Function	Codon	GCProp
LOC409252	0.07341	5079	32.7036363636364	NA	1693	0.327036363636364
LOC409253	0.04405	1644	44.9554545454545	NA	548	0.449554545454545
LOC409254	0.05175	843	34.5409090909091	NA	281	0.345409090909091
LOC409255	0.0342	3156	41.7890909090909	NA	1052	0.417890909090909
LOC409256	0.10469	2553	36.76	NA	851	0.3676
LOC409258	0.03337	966	36.1009090909091	NA	322	0.361009090909091
LOC409259	0.04108	1455	36.0136363636364	NA	485	0.360136363636364
LOC409260	0.15389	1005	46.63	NA	335	0.4663
LOC409262	0.06056	1059	38.2427272727273	NA	353	0.382427272727273
LOC409263	0.08004	900	38.9490909090909	NA	300	0.389490909090909
LOC409264	0.03854	1002	36.7090909090909	NA	334	0.367090909090909
LOC409265	0.02189	2115	36.4536363636364	NA	705	0.364536363636364
LOC409267	0.03343	2532	40.0509090909091	NA	844	0.400509090909091
LOC409269	0.13574	558	34.2954545454545	NA	186	0.342954545454545
LOC409270	0.04629	1305	40.2236363636364	NA	435	0.402236363636364
LOC409271	0.02538	6324	40.0118181818182	NA	2108	0.400118181818182
LOC409272	0.1015	687	33.5845454545455	NA	229	0.335845454545455
LOC409273	0.12431	1869	51.89	NA	623	0.5189
LOC409276	0.01717	864	39.0781818181818	NA	288	0.390781818181818
LOC409279	0.01924	2115	34.74	NA	705	0.3474
LOC409282	0.08869	3075	39.7827272727273	NA	1025	0.397827272727273
LOC409283	0.05109	3873	42.2072727272727	NA	1291	0.422072727272727
LOC409286	0.0278	1032	54.5109090909091	Signalling	344	0.545109090909091
LOC409288	0.05418	1038	56.6390909090909	NA	346	0.566390909090909
LOC409290	0.07049	291	37.4881818181818	NA	97	0.374881818181818
LOC409291	0.19267	1776	44.2554545454545	NA	592	0.442554545454545
LOC409292	0.02963	1071	38.4854545454545	NA	357	0.384854545454545
LOC409293	0.06257	915	54.1781818181818	NA	305	0.541781818181818
LOC409294	0.00126	336	41.8290909090909	NA	112	0.418290909090909
LOC409295	0.07597	1005	36.8881818181818	NA	335	0.368881818181818
LOC409296	0.03729	1512	37.6272727272727	NA	504	0.376272727272727
LOC409299	0.05018	1164	41.3527272727273	NA	388	0.413527272727273
LOC409300	0.17133	1698	43.6245454545455	NA	566	0.436245454545455
LOC409303	0.05032	2691	44.6854545454545	NA	897	0.446854545454545
LOC409305	0.11305	2250	45.4027272727273	NA	750	0.454027272727273
LOC409307	0.15553	750	43.0072727272727	NA	250	0.430072727272727
LOC409308	0.00281	294	40.7581818181818	NA	98	0.407581818181818
LOC409310	0.08842	2001	38.5390909090909	NA	667	0.385390909090909
LOC409312	0.03291	1770	37.8272727272727	NA	590	0.378272727272727
LOC409313	0.00689	1179	34.5836363636364	NA	393	0.345836363636364
LOC409314	0.13901	975	48.0172727272727	NA	325	0.480172727272727
LOC409315	0.03262	1077	35.7736363636364	NA	359	0.357736363636364
LOC409317	0.02943	1161	35.4245454545455	NA	387	0.354245454545455
LOC409318	0.0717	513	50.0263636363636	NA	171	0.500263636363636
LOC409320	0.07492	948	36.9672727272727	NA	316	0.369672727272727
LOC409324	0.12907	930	35.0545454545455	NA	310	0.350545454545455
LOC409325	0.12338	2709	40.7727272727273	NA	903	0.407727272727273
LOC409326	0.01342	831	47.9390909090909	NA	277	0.479390909090909
LOC409329	0.02993	900	37.7681818181818	NA	300	0.377681818181818
LOC409331	0.16352	1497	36.9645454545455	NA	499	0.369645454545454
LOC409333	0.09845	609	35.8718181818182	NA	203	0.358718181818182
LOC409334	0.13826	1863	31.8972727272727	NA	621	0.318972727272727
LOC409335	0.21803	705	36.57	NA	235	0.3657
LOC409336	0.08915	825	38.9418181818182	NA	275	0.389418181818182
LOC409337	0.04021	2511	45.6436363636364	NA	837	0.456436363636364
LOC409340	0.09833	1071	39.2236363636364	NA	357	0.392236363636364
LOC409341	0.09712	1017	42.8172727272727	Effector	339	0.428172727272727
LOC409342	0.01131	615	36.6736363636364	NA	205	0.366736363636364
LOC409346	0.07076	3516	43.2790909090909	NA	1172	0.432790909090909
LOC409347	0.03358	2217	38.8327272727273	NA	739	0.388327272727273
LOC409351	0.07028	1431	36.0590909090909	NA	477	0.360590909090909
LOC409355	0.10464	666	37.5509090909091	NA	222	0.375509090909091
LOC409357	0.02599	1293	36.2181818181818	NA	431	0.362181818181818
LOC409358	0.09956	1779	31.2118181818182	NA	593	0.312118181818182
LOC409361	0.13268	447	41.7736363636364	NA	149	0.417736363636364
LOC409362	0.03509	1167	45.86	NA	389	0.4586
LOC409363	0.09544	1029	37.9454545454545	NA	343	0.379454545454545
LOC409364	0.17756	1260	37.8063636363636	NA	420	0.378063636363636
LOC409365	0.13662	2508	36.3163636363636	NA	836	0.363163636363636
LOC409366	0.14844	810	35.9590909090909	NA	270	0.359590909090909
LOC409367	0.05947	642	45.1718181818182	NA	214	0.451718181818182
LOC409368	0.04557	1275	40.8545454545455	NA	425	0.408545454545455
LOC409373	0.0411	1056	37.8281818181818	NA	352	0.378281818181818
LOC409377	0.02141	2052	39.2209090909091	NA	684	0.392209090909091
LOC409379	0.13615	777	42.2618181818182	NA	259	0.422618181818182
LOC409382	0.0555	5733	41.0181818181818	NA	1911	0.410181818181818
LOC409383	0.08719	774	42.2945454545455	NA	258	0.422945454545455
LOC409384	0.01559	1200	42.69	NA	400	0.4269
LOC409385	0.08815	3699	38.6145454545455	NA	1233	0.386145454545455
LOC409386	0.00355	453	39.3327272727273	Signalling	151	0.393327272727273
LOC409387	0.13093	678	36.6327272727273	NA	226	0.366327272727273
LOC409388	0.05069	657	38.2736363636364	NA	219	0.382736363636364
LOC409389	0.03217	792	39.1881818181818	NA	264	0.391881818181818
LOC409390	0.12167	1068	49.0390909090909	NA	356	0.490390909090909
LOC409392	0.08815	1515	33.2254545454545	NA	505	0.332254545454545
LOC409393	0.01406	6438	41.1163636363636	Signalling	2146	0.411163636363636
LOC409396	0.08733	1263	41.2945454545455	NA	421	0.412945454545455
LOC409397	0.10337	540	36.6327272727273	NA	180	0.366327272727273
LOC409403	0.10095	984	35.8836363636364	NA	328	0.358836363636364
LOC409404	0.24239	852	32.3190909090909	NA	284	0.323190909090909
LOC409406	0.03691	387	37.35	NA	129	0.3735
LOC409408	0.05202	2628	36.8590909090909	NA	876	0.368590909090909
LOC409410	0.08185	1152	46.8909090909091	NA	384	0.468909090909091
LOC409411	0.07326	744	36.7054545454545	NA	248	0.367054545454545
LOC409414	0.11187	2208	35.3081818181818	NA	736	0.353081818181818
LOC409417	0.16867	1980	38.43	NA	660	0.3843
LOC409422	0.13146	3726	45.4481818181818	NA	1242	0.454481818181818
LOC409423	0.1207	1953	43.0254545454545	NA	651	0.430254545454545
LOC409424	0.09203	1452	44.8581818181818	NA	484	0.448581818181818
LOC409427	0.13163	1026	34.9990909090909	NA	342	0.349990909090909
LOC409430	0.005	861	40.4281818181818	NA	287	0.404281818181818
LOC409438	0.07009	1209	37.9045454545455	NA	403	0.379045454545455
LOC409439	0.11118	3312	38.8663636363636	NA	1104	0.388663636363636
LOC409440	0.01716	1932	35.3290909090909	NA	644	0.353290909090909
LOC409441	0.10253	930	45.9718181818182	NA	310	0.459718181818182
LOC409442	0.12645	786	39.3609090909091	NA	262	0.393609090909091
LOC409443	0.07587	783	36.3990909090909	NA	261	0.363990909090909
LOC409444	0.0239	1290	38.6672727272727	NA	430	0.386672727272727
LOC409450	0.00883	831	41.5827272727273	NA	277	0.415827272727273
LOC409451	0.19584	291	36.27	NA	97	0.3627
LOC409452	0.12115	2082	46.7172727272727	NA	694	0.467172727272727
LOC409454	0.02358	600	40.8636363636364	NA	200	0.408636363636364
LOC409457	0.04133	7743	37.2136363636364	NA	2581	0.372136363636364
LOC409459	0.06371	2880	37.21	NA	960	0.3721
LOC409460	0.05251	1404	37.2109090909091	NA	468	0.372109090909091
LOC409462	0.01175	1146	35.7445454545455	NA	382	0.357445454545455
LOC409467	0.09541	1608	51.72	NA	536	0.5172
LOC409468	0.10047	1773	48.7463636363636	NA	591	0.487463636363636
LOC409472	0.03314	1695	41.0409090909091	NA	565	0.410409090909091
LOC409473	0.15054	498	39.2118181818182	NA	166	0.392118181818182
LOC409474	0.06171	4425	41.7709090909091	NA	1475	0.417709090909091
LOC409475	0.02044	2559	41.6109090909091	NA	853	0.416109090909091
LOC409476	0.00886	1362	37.1972727272727	NA	454	0.371972727272727
LOC409479	0.05928	798	36.7754545454545	NA	266	0.367754545454545
LOC409481	0.00545	546	40.0281818181818	NA	182	0.400281818181818
LOC409483	0.03209	2433	38.28	NA	811	0.3828
LOC409486	0.08459	930	51.75	NA	310	0.5175
LOC409487	0.05358	1896	45.3	NA	632	0.453
LOC409488	0.12392	684	38.1318181818182	NA	228	0.381318181818182
LOC409489	0.01594	528	42.8545454545455	NA	176	0.428545454545455
LOC409491	0.11701	858	35.3045454545455	NA	286	0.353045454545455
LOC409492	0.08048	1338	44.4209090909091	NA	446	0.444209090909091
LOC409493	0.0539	933	47.0327272727273	NA	311	0.470327272727273
LOC409494	0.08101	888	38.5645454545455	NA	296	0.385645454545455
LOC409495	0.25922	615	37.8863636363636	Signalling	205	0.378863636363636
LOC409497	0.04514	2802	43.9236363636364	NA	934	0.439236363636364
LOC409498	0.05686	2523	40.3736363636364	NA	841	0.403736363636364
LOC409499	0.04884	1023	36.8254545454545	NA	341	0.368254545454546
LOC409500	0.09838	375	44.8236363636364	NA	125	0.448236363636364
LOC409501	0.02792	2943	43.2972727272727	NA	981	0.432972727272727
LOC409502	0.10984	789	41.7427272727273	NA	263	0.417427272727273
LOC409505	0.03044	492	35.8836363636364	NA	164	0.358836363636364
LOC409508	0.16495	684	38.6236363636364	NA	228	0.386236363636364
LOC409510	0.04861	519	44.1227272727273	NA	173	0.441227272727273
LOC409511	0.15358	756	41.1136363636364	NA	252	0.411136363636364
LOC409513	0.19765	801	47.9181818181818	NA	267	0.479181818181818
LOC409514	0.0666	126	48.1963636363636	NA	42	0.481963636363636
LOC409517	0.10025	1530	36.2690909090909	NA	510	0.362690909090909
LOC409520	0.03814	825	35.0518181818182	NA	275	0.350518181818182
LOC409521	0.09909	1053	36.83	NA	351	0.3683
LOC409522	0.03885	2316	38.1227272727273	NA	772	0.381227272727273
LOC409523	0.02754	1095	37.3018181818182	Signalling	365	0.373018181818182
LOC409525	0.0932	855	48.2081818181818	NA	285	0.482081818181818
LOC409527	0.04658	2313	32.9590909090909	NA	771	0.329590909090909
LOC409529	0.03164	483	36.4563636363636	Signalling	161	0.364563636363636
LOC409531	0.03656	723	38.9027272727273	NA	241	0.389027272727273
LOC409532	0.07313	942	37.5881818181818	NA	314	0.375881818181818
LOC409534	0.10159	1530	40.6945454545455	NA	510	0.406945454545455
LOC409536	0.11616	2379	43.9245454545455	NA	793	0.439245454545454
LOC409538	0.08167	447	41.0009090909091	NA	149	0.410009090909091
LOC409543	0.10084	1578	41.8836363636364	NA	526	0.418836363636364
LOC409544	0.00967	1266	38.1163636363636	NA	422	0.381163636363636
LOC409547	0.0766	1092	37.63	NA	364	0.3763
LOC409548	0.07569	1380	39.0581818181818	NA	460	0.390581818181818
LOC409549	0.19504	504	39.6627272727273	NA	168	0.396627272727273
LOC409550	0.01233	1680	37.3090909090909	NA	560	0.373090909090909
LOC409552	0.02088	474	42.1009090909091	NA	158	0.421009090909091
LOC409553	0.13758	864	43.92	NA	288	0.4392
LOC409556	0.11508	3300	39.21	NA	1100	0.3921
LOC409558	0.02422	603	39.3327272727273	NA	201	0.393327272727273
LOC409559	0.01915	1653	37.1327272727273	NA	551	0.371327272727273
LOC409563	0.04903	2487	39.72	NA	829	0.3972
LOC409564	0.1263	2853	35.4581818181818	NA	951	0.354581818181818
LOC409565	0.06433	1485	50.0463636363636	NA	495	0.500463636363636
LOC409566	0.00026	1071	36.22	NA	357	0.3622
LOC409569	0.09046	1302	32.7263636363636	NA	434	0.327263636363636
LOC409571	0.12735	1206	38.2718181818182	NA	402	0.382718181818182
LOC409573	0.01288	1662	43.5909090909091	NA	554	0.435909090909091
LOC409574	0.02371	1365	44.0290909090909	NA	455	0.440290909090909
LOC409576	0.02225	1680	41.0827272727273	NA	560	0.410827272727273
LOC409578	0.03776	666	39.1636363636364	NA	222	0.391636363636364
LOC409579	0.10907	1611	32.4918181818182	NA	537	0.324918181818182
LOC409581	0.00808	585	36.58	NA	195	0.3658
LOC409584	0.1447	1221	32.4027272727273	NA	407	0.324027272727273
LOC409586	0.11547	414	34.9590909090909	NA	138	0.349590909090909
LOC409589	0.0285	621	41.1063636363636	NA	207	0.411063636363636
LOC409590	0.03131	801	36.0690909090909	NA	267	0.360690909090909
LOC409594	0.04705	2430	34.9945454545455	NA	810	0.349945454545455
LOC409600	0.07328	189	39.6345454545455	NA	63	0.396345454545455
LOC409602	0.19194	555	46.9781818181818	NA	185	0.469781818181818
LOC409603	0.1061	2181	47.4863636363636	NA	727	0.474863636363636
LOC409604	0.08415	2067	51.2727272727273	NA	689	0.512727272727273
LOC409607	0.04149	993	41.1972727272727	NA	331	0.411972727272727
LOC409609	0.04226	1134	41.5172727272727	NA	378	0.415172727272727
LOC409610	0.15673	1260	36.9136363636364	NA	420	0.369136363636364
LOC409611	0.03634	1602	47.9618181818182	NA	534	0.479618181818182
LOC409613	0.06211	393	39.2327272727273	NA	131	0.392327272727273
LOC409614	0.04222	612	41.5918181818182	NA	204	0.415918181818182
LOC409616	0.16259	3837	43.7827272727273	NA	1279	0.437827272727273
LOC409620	0.02985	2628	38.9336363636364	NA	876	0.389336363636364
LOC409622	0.12911	1989	36.3136363636364	NA	663	0.363136363636364
LOC409624	0.07502	1062	43.7090909090909	NA	354	0.437090909090909
LOC409628	0.11867	1077	51.6418181818182	NA	359	0.516418181818182
LOC409633	0.06516	615	51.1309090909091	NA	205	0.511309090909091
LOC409636	0.18574	741	43.0136363636364	NA	247	0.430136363636364
LOC409637	0.07182	699	40.7727272727273	NA	233	0.407727272727273
LOC409638	0.09516	819	47.5981818181818	NA	273	0.475981818181818
LOC409642	0.03045	939	45.4054545454545	NA	313	0.454054545454545
LOC409643	0.0389	1080	50.3381818181818	NA	360	0.503381818181818
LOC409645	0.04063	444	38.31	NA	148	0.3831
LOC409646	0.12628	1788	39.7554545454545	NA	596	0.397554545454545
LOC409647	0.03609	1911	34.9327272727273	NA	637	0.349327272727273
LOC409650	0.05592	1971	47.5118181818182	NA	657	0.475118181818182
LOC409653	0.02103	1437	39.4772727272727	NA	479	0.394772727272727
LOC409658	0.04856	2628	50.28	NA	876	0.5028
LOC409659	0.07473	1359	33.8818181818182	NA	453	0.338818181818182
LOC409662	0.02671	843	38.6390909090909	NA	281	0.386390909090909
LOC409663	0.15309	261	41.17	Effector	87	0.4117
LOC409664	0.06685	3381	38.3227272727273	NA	1127	0.383227272727273
LOC409665	0.05039	2214	55.0227272727273	NA	738	0.550227272727273
LOC409666	0.07665	2220	48.1454545454545	NA	740	0.481454545454545
LOC409667	0.0565	282	45.8409090909091	Signalling	94	0.458409090909091
LOC409668	0.18205	717	38.7336363636364	NA	239	0.387336363636364
LOC409670	0.05598	1866	50.0154545454545	NA	622	0.500154545454545
LOC409671	0.01868	1719	37.1636363636364	NA	573	0.371636363636364
LOC409672	0.03856	1131	42.7536363636364	NA	377	0.427536363636364
LOC409673	0.07358	6357	35.2009090909091	NA	2119	0.352009090909091
LOC409674	0.09063	1176	57.0327272727273	NA	392	0.570327272727273
LOC409676	0.02012	2160	46.7163636363636	NA	720	0.467163636363636
LOC409688	0.00356	1308	39.2409090909091	NA	436	0.392409090909091
LOC409689	0.02579	1575	42.1009090909091	NA	525	0.421009090909091
LOC409690	0.10178	1611	46.2327272727273	NA	537	0.462327272727273
LOC409691	0.02211	1131	40.6081818181818	NA	377	0.406081818181818
LOC409693	0.07527	816	42.6009090909091	NA	272	0.426009090909091
LOC409696	0.01879	1140	40.0554545454545	NA	380	0.400554545454545
LOC409699	0.03813	705	52.9854545454545	NA	235	0.529854545454545
LOC409702	0.12016	3150	41.4390909090909	NA	1050	0.414390909090909
LOC409704	0.04197	1800	38.7281818181818	NA	600	0.387281818181818
LOC409706	0.02257	420	41.5581818181818	NA	140	0.415581818181818
LOC409712	0.07164	1176	39.8654545454545	NA	392	0.398654545454545
LOC409713	0.03291	2046	43.8372727272727	NA	682	0.438372727272727
LOC409714	0.21874	2253	51.1263636363636	NA	751	0.511263636363636
LOC409718	0.06191	1809	42.3636363636364	NA	603	0.423636363636364
LOC409724	0.08645	1626	35.8654545454545	NA	542	0.358654545454545
LOC409726	0.06768	1407	48.4854545454545	NA	469	0.484854545454545
LOC409728	0.00909	642	42.5245454545455	NA	214	0.425245454545455
LOC409733	0.12537	1239	49.5981818181818	NA	413	0.495981818181818
LOC409734	0.11242	1209	40.2745454545455	NA	403	0.402745454545455
LOC409736	0.06787	999	50.4136363636364	NA	333	0.504136363636364
LOC409739	0.14049	1236	31.4872727272727	NA	412	0.314872727272727
LOC409740	0.07923	678	45.7636363636364	NA	226	0.457636363636364
LOC409743	0.01902	4734	39.0727272727273	NA	1578	0.390727272727273
LOC409749	0.03456	360	32.0454545454545	NA	120	0.320454545454545
LOC409752	0.03366	3735	44.8345454545455	NA	1245	0.448345454545455
LOC409753	0.03636	2235	43.5345454545455	NA	745	0.435345454545455
LOC409755	0.01907	1056	39.7809090909091	NA	352	0.397809090909091
LOC409756	0.01783	1323	38.5345454545455	NA	441	0.385345454545454
LOC409757	0.03154	2250	42.0036363636364	NA	750	0.420036363636364
LOC409762	0.02467	528	44.8690909090909	NA	176	0.448690909090909
LOC409764	0.07284	1008	45.9963636363636	NA	336	0.459963636363636
LOC409765	0.03414	1002	35.6472727272727	NA	334	0.356472727272727
LOC409766	0.05297	1092	35.5736363636364	NA	364	0.355736363636364
LOC409767	0.06509	1107	38.21	NA	369	0.3821
LOC409769	0.18552	1110	43.4390909090909	NA	370	0.434390909090909
LOC409771	0.0494	1494	55.7445454545455	NA	498	0.557445454545455
LOC409773	0.05848	1110	40.8363636363636	NA	370	0.408363636363636
LOC409777	0.09238	2040	44.7636363636364	NA	680	0.447636363636364
LOC409778	0.04356	2673	55.2936363636364	NA	891	0.552936363636364
LOC409782	0.03535	1053	57.5654545454545	NA	351	0.575654545454545
LOC409787	0.0606	1965	50.2063636363636	NA	655	0.502063636363636
LOC409789	0.12542	1200	51.3572727272727	NA	400	0.513572727272727
LOC409790	0.1275	585	36.4581818181818	NA	195	0.364581818181818
LOC409791	0.01475	879	47.74	Signalling	293	0.4774
LOC409793	0.02831	513	36.63	NA	171	0.3663
LOC409794	0.06207	789	39.8327272727273	NA	263	0.398327272727273
LOC409795	0.08592	3324	38.8481818181818	NA	1108	0.388481818181818
LOC409799	0.01962	975	40.3536363636364	NA	325	0.403536363636364
LOC409804	0.01677	867	47.1118181818182	NA	289	0.471118181818182
LOC409806	0.03551	789	36.4672727272727	NA	263	0.364672727272727
LOC409809	0.03667	1602	40.9645454545455	NA	534	0.409645454545455
LOC409810	0.06935	1893	36.8263636363636	NA	631	0.368263636363636
LOC409814	0.08191	1863	43.64	NA	621	0.4364
LOC409819	0.07965	816	35.6618181818182	NA	272	0.356618181818182
LOC409820	0.11243	1251	35.6136363636364	NA	417	0.356136363636364
LOC409822	0.01083	621	56.4481818181818	NA	207	0.564481818181818
LOC409825	0.0391	1596	42.1672727272727	NA	532	0.421672727272727
LOC409826	0.10629	3231	49.6436363636364	NA	1077	0.496436363636364
LOC409829	0.08781	1086	52.1009090909091	NA	362	0.521009090909091
LOC409831	0.07601	696	40.1	NA	232	0.401
LOC409832	0.01914	444	36.4454545454545	NA	148	0.364454545454545
LOC409833	0.15919	1020	37.2727272727273	NA	340	0.372727272727273
LOC409835	0.20663	780	48.9872727272727	NA	260	0.489872727272727
LOC409838	0.07127	1896	38.3345454545455	NA	632	0.383345454545455
LOC409839	0.00381	2454	45.88	NA	818	0.4588
LOC409841	0.07918	1110	37.8136363636364	NA	370	0.378136363636364
LOC409845	0.05119	2547	47.91	NA	849	0.4791
LOC409846	0.06265	2151	41.8027272727273	NA	717	0.418027272727273
LOC409852	0.0781	1416	49.4154545454545	NA	472	0.494154545454545
LOC409856	0.04723	3393	45.0309090909091	NA	1131	0.450309090909091
LOC409857	0.05746	306	35.1745454545455	NA	102	0.351745454545455
LOC409859	0.09847	2016	37.1027272727273	NA	672	0.371027272727273
LOC409860	0.08546	1680	37.2254545454545	NA	560	0.372254545454545
LOC409861	0.06312	384	40.53	NA	128	0.4053
LOC409862	0.00856	291	49.7645454545455	NA	97	0.497645454545455
LOC409863	0.07262	666	35.5436363636364	NA	222	0.355436363636364
LOC409865	0.06749	3591	43.6154545454545	NA	1197	0.436154545454545
LOC409866	0.00184	1209	37.3709090909091	NA	403	0.373709090909091
LOC409867	0.04402	1317	40.8372727272727	NA	439	0.408372727272727
LOC409870	0.10668	939	37.7881818181818	NA	313	0.377881818181818
LOC409872	0.07205	1182	44.6309090909091	NA	394	0.446309090909091
LOC409876	0.03804	1428	53.5763636363636	NA	476	0.535763636363636
LOC409877	0.11125	624	40.2818181818182	NA	208	0.402818181818182
LOC409880	0.04139	1269	39.0936363636364	NA	423	0.390936363636364
LOC409881	0.07592	624	45.38	NA	208	0.4538
LOC409882	0.03287	606	52.1018181818182	NA	202	0.521018181818182
LOC409884	0.08025	1524	44.5309090909091	NA	508	0.445309090909091
LOC409886	0.00378	939	36.8363636363636	NA	313	0.368363636363636
LOC409887	0.03623	1380	39.4936363636364	NA	460	0.394936363636364
LOC409891	0.04405	3009	38.02	NA	1003	0.3802
LOC409894	0.07863	939	37.1945454545455	NA	313	0.371945454545455
LOC409897	0.13587	3771	41.8045454545455	NA	1257	0.418045454545455
LOC409900	0.01399	597	49.8390909090909	NA	199	0.498390909090909
LOC409905	0.17327	1041	47.3490909090909	NA	347	0.473490909090909
LOC409908	0.01604	690	46.1663636363636	NA	230	0.461663636363636
LOC409909	0.07709	834	37.9654545454545	NA	278	0.379654545454545
LOC409910	0.06106	576	42.4081818181818	NA	192	0.424081818181818
LOC409911	0.08257	1290	38.3009090909091	NA	430	0.383009090909091
LOC409913	0.06177	564	45.4372727272727	NA	188	0.454372727272727
LOC409915	0.02541	2814	42.5727272727273	NA	938	0.425727272727273
LOC409918	0.01869	3663	38.4536363636364	NA	1221	0.384536363636364
LOC409919	0.0592	1479	48.4054545454545	NA	493	0.484054545454545
LOC409920	0.0263	432	39.7718181818182	Signalling	144	0.397718181818182
LOC409921	0.09105	1284	58.2081818181818	NA	428	0.582081818181818
LOC409922	0.10037	1017	36.6490909090909	NA	339	0.366490909090909
LOC409924	0.06527	1461	46.2636363636364	NA	487	0.462636363636364
LOC409925	0.01019	561	40.1563636363636	Signalling	187	0.401563636363636
LOC409926	0.18887	465	34.9736363636364	NA	155	0.349736363636364
LOC409927	0.03658	2382	45.7181818181818	NA	794	0.457181818181818
LOC409928	0.16302	1845	50.3363636363636	NA	615	0.503363636363636
LOC409930	0.19264	321	42.1136363636364	NA	107	0.421136363636364
LOC409931	0.06968	1029	51.3745454545455	NA	343	0.513745454545455
LOC409932	0.03798	1506	48.9263636363636	NA	502	0.489263636363636
LOC409933	0.16684	1512	47.1990909090909	NA	504	0.471990909090909
LOC409934	0.28709	669	37.94	NA	223	0.3794
LOC409937	0.08693	3249	47.7218181818182	NA	1083	0.477218181818182
LOC409941	0.11723	1887	38.8972727272727	Signalling	629	0.388972727272727
LOC409942	0.06896	2259	44.0754545454545	NA	753	0.440754545454545
LOC409945	0.04604	1497	36.1263636363636	NA	499	0.361263636363636
LOC409949	0.03159	1422	53.5745454545455	NA	474	0.535745454545455
LOC409950	0.11976	3396	44.9681818181818	NA	1132	0.449681818181818
LOC409951	0.13155	423	35.1163636363636	NA	141	0.351163636363636
LOC409953	0.13549	3024	40.67	NA	1008	0.4067
LOC409954	0.05066	579	39.9272727272727	NA	193	0.399272727272727
LOC409955	0.01055	1188	37.3290909090909	NA	396	0.373290909090909
LOC409956	0.17249	174	57.6809090909091	NA	58	0.576809090909091
LOC409959	0.03898	807	37.3090909090909	NA	269	0.373090909090909
LOC409961	0.05975	1101	48.36	NA	367	0.4836
LOC409965	0.04004	3513	42.3272727272727	NA	1171	0.423272727272727
LOC409969	0.06202	1596	37.1381818181818	NA	532	0.371381818181818
LOC409972	0.16322	294	44.22	NA	98	0.4422
LOC409976	0.13125	681	36.2709090909091	NA	227	0.362709090909091
LOC409977	0.08075	2484	33.9	NA	828	0.339
LOC409978	0.03382	621	35.1363636363636	NA	207	0.351363636363636
LOC409979	0.05174	1875	36.4745454545455	NA	625	0.364745454545455
LOC409985	0.10565	2883	41.5181818181818	NA	961	0.415181818181818
LOC409986	0.12873	2091	37.2072727272727	NA	697	0.372072727272727
LOC409990	0.02428	2592	43.5145454545455	NA	864	0.435145454545455
LOC409991	0.07412	1641	41.1563636363636	NA	547	0.411563636363636
LOC409992	0.08331	1245	44.3236363636364	NA	415	0.443236363636364
LOC409993	0.14494	4347	38.4827272727273	NA	1449	0.384827272727273
LOC409994	0.0189	705	37.5372727272727	NA	235	0.375372727272727
LOC409995	0.01572	978	39.72	NA	326	0.3972
LOC410004	0.03141	174	39.3945454545455	NA	58	0.393945454545454
LOC410006	0.04009	1608	49.1181818181818	NA	536	0.491181818181818
LOC410007	0.14588	1602	42.1972727272727	NA	534	0.421972727272727
LOC410009	0.02216	153	46.1090909090909	NA	51	0.461090909090909
LOC410012	0.07451	627	43.9890909090909	NA	209	0.439890909090909
LOC410013	0.12458	501	46.3790909090909	NA	167	0.463790909090909
LOC410015	0.0653	693	45.6909090909091	NA	231	0.456909090909091
LOC410017	0.02828	585	39.44	NA	195	0.3944
LOC410018	0.09088	1653	45.5527272727273	NA	551	0.455527272727273
LOC410022	0.0589	1302	39.4009090909091	NA	434	0.394009090909091
LOC410023	0.15957	735	41.7445454545455	NA	245	0.417445454545455
LOC410026	0.00405	1104	39.0145454545455	NA	368	0.390145454545455
LOC410030	0.0139	933	40.5145454545455	NA	311	0.405145454545455
LOC410033	0.02497	390	38.5327272727273	NA	130	0.385327272727273
LOC410035	0.03924	2559	52.3072727272727	NA	853	0.523072727272727
LOC410039	0.06194	1248	38.1909090909091	NA	416	0.381909090909091
LOC410040	0.00712	741	43.4054545454545	NA	247	0.434054545454545
LOC410041	0.08666	2055	46.0136363636364	NA	685	0.460136363636364
LOC410042	0.10459	906	41.5118181818182	NA	302	0.415118181818182
LOC410043	0.04851	1401	39.8545454545455	NA	467	0.398545454545455
LOC410044	0.03106	1044	52.4009090909091	NA	348	0.524009090909091
LOC410045	0.10907	702	47.54	NA	234	0.4754
LOC410050	0.00631	705	36.2081818181818	NA	235	0.362081818181818
LOC410054	0.08261	1491	41.8454545454545	NA	497	0.418454545454545
LOC410055	0.04299	930	35.6109090909091	NA	310	0.356109090909091
LOC410056	0.01688	2331	36.7163636363636	NA	777	0.367163636363636
LOC410057	0.08804	1026	35.0972727272727	NA	342	0.350972727272727
LOC410058	0.09992	426	47.4372727272727	NA	142	0.474372727272727
LOC410059	0.07385	1134	45.8472727272727	NA	378	0.458472727272727
LOC410061	0.06627	2775	45.48	NA	925	0.4548
LOC410067	0.07977	2571	47.4236363636364	NA	857	0.474236363636364
LOC410070	0.10936	7326	32.8272727272727	NA	2442	0.328272727272727
LOC410071	0.09361	921	33.4018181818182	NA	307	0.334018181818182
LOC410072	0.00901	933	38.1845454545455	NA	311	0.381845454545454
LOC410073	0.08081	1512	35.9663636363636	NA	504	0.359663636363636
LOC410076	0.03724	810	36.5981818181818	NA	270	0.365981818181818
LOC410078	0.02805	1410	48.5745454545455	NA	470	0.485745454545455
LOC410079	0.025	330	36.3354545454545	NA	110	0.363354545454545
LOC410080	0.07495	723	38.69	NA	241	0.3869
