Gene	All_Advanced_Eusocial	All_Social	All_Solitary	Apis	Social_Corbiculates	Habropoda	Lasioglossum	Megachilidae	Melipona	Dufourea	Ceratina
LOC409088	1	1	1	1	1	1	1	1	1	1	1
LOC409089	1	1	1	1	1	1	1	1	1	1	1
LOC409091	1	1	1	1	1	1	0.279896992188547	1	0.000386926975743439	1	1
LOC409092	1	1	1	1	1	1	1	1	1	1	1
LOC409093	1	1	1	1	1	1	1	1	1	1	1
LOC409096	1	1	1	1	1	1	1	1	1	1	1
LOC409102	1	1	1	0.740842493738941	1	1	1	1	1	1	1
LOC409106	1	1	1	1	1	0.00727061412616052	1	1	8.66040613296256e-14	1	1
LOC409108	1	1	1	1	1	1	1	1	2.87545049833392e-15	1	1
LOC409109	1	1	1	1	1	1	1	1	3.71910279102243e-10	1	1
LOC409110	1	1	1	1	1	1	1	1	1	1	1
LOC409111	1	1	1	1	1	1	1	1	1	1	0.000614613287670897
LOC409113	1	1	1	1	1	1	1	1	1	1	1
LOC409114	1	1	1	1	1	1	1	1	1	1	1
LOC409117	1	1	1	1	1	1	1	1	1	1	1
LOC409118	1	1	1	1	1	1	1	1	1	1	1
LOC409119	1	1	1	1	1	1	1.60426061792546e-15	1	1	1	1
LOC409122	1	1	1	1	1	1	1	1	0.0021194232426868	1	1
LOC409130	1	1	1	1	1	1	1	1	1	1	1
LOC409131	1	1	1	1	1	1	1	1	1	1	1
LOC409132	1	1	1	1	1	1	1	1	1	1	1
LOC409134	1	1	1	1	1	4.07717791771706e-12	1	1	1	1	1
LOC409136	1	1	1	1	1	1	1	1	1	1	1
LOC409139	1	1	1	1	1	9.19928050878648e-06	1	1	1	1	1
LOC409140	1	1	1	1	1	1	1	1	1	1	1
LOC409142	1	1	1	1	1	1	1	1	1	1	1
LOC409143	1	1	1	1	1	1	1	1	1	1	1
LOC409144	1	1	1	1	1	1	1	1	1	1	1
LOC409145	1	1	1	1	1	1	1	1	1	1	1
LOC409150	1	1	1	1	1	1	1	1	1	1	1
LOC409152	1	1	1	1	1	1	1	1	1	1	1
LOC409153	1	1	1	1	1	1	1	1	3.7738032612494e-06	1	1
LOC409154	1	1	1	1	1	1	1	1	1	1	1
LOC409158	1	1	1	1	1	1	1	1	1	1	1
LOC409159	1	1	1	1	1	1	1	1	0.000220858892531389	1	1
LOC409160	1	1	1	1	1	1	1	1	1	1	1
LOC409164	1	1	1	1	1	1	1	1	3.37602378543481e-11	1	1
LOC409167	1	1	1	1	1	1	1	1	1	1	1
LOC409168	1	1	1	1	1	1	1	1	1	1	1
LOC409169	1	1	1	1	1	1	0.373164226071893	1	1	1	1
LOC409170	1	1	1	0.40107573372343	1	6.5473302018305e-17	1	1	0.0111923016092989	1	1
LOC409178	1	1	1	1	1	1	1	1	1	1	1
LOC409182	1	1	1	1	1	1	1	1	0.0767002744061941	1	1
LOC409183	1	1	1	1	1	1	1	1	1	1	1
LOC409184	1	1	1	1	1	1	1.50836060618458e-21	1	1	1	1
LOC409186	1	1	1	1	1	1	0.00179422354490348	1	0.00050729191441645	1	0.160895424629173
LOC409191	1	1	1	1	1	1	1	1	1	1.70378707182336e-10	1
LOC409192	1	1	1	1	1	1	1	1	1	1	1
LOC409193	1	1	1	1	1	1	1	1	1	1	1
LOC409195	1	1	1	1	1	1	1	1	1	1	1
LOC409197	1	1	1	1	1	1	1	1	1	1	1
LOC409198	1	1	1	1	1	1	1	1	1	1	1
LOC409199	1	1	1	1	1	1	1	1	1	1	1
LOC409202	1	1	1	1	1	1	1	1	1	1	1
LOC409204	1	1	1	1	1	1	1	1	1	1	1
LOC409207	1	1	1	1	1	1	1	1	1	0.971479714219475	1
LOC409212	1	1	1	1	1	1	1	1	0.221424502960761	1	1
LOC409217	1	1	1	1	1	0.0784183057844861	1	1	1	1	1
LOC409218	1	1	1	1	1	1	1	1	1	1	1
LOC409219	1	1	1	1	1	1	1	1	1	1	1
LOC409221	1	1	1	8.66059659308346e-14	1	1	1	1	1	1	1
LOC409222	1	1	1	1	1	1	1	1	0.0807892197941674	1	1
LOC409225	1	1	1	1	1	1	1	1	0.000179982685405886	1	1
LOC409228	1	1	1	1	1	1	1	1	0.785615078871208	1	1
LOC409230	1	1	1	1	1	1	1	1	1	1	1
LOC409231	1	1	1	1	1	1	1	1	1	1	1
LOC409232	1	1	1	1	1	1	1	1	1	1	1
LOC409234	1	1	1	1	1	1	1	1	1	1	1
LOC409235	1	1	1	1	1	1	1.0587383853332e-12	1	1	1	1
LOC409240	1	1	1	1	1	1	1	1	1	1	1
LOC409241	1	1	1	1	1	1	1	1	1	1	1
LOC409243	1	1	1	1	1	1	1	1	1	1	1
LOC409244	1	1	1	1	1	1	1	1	1	1	1
LOC409246	1	1	1	1	1	1	1	1	1	1	1
LOC409247	1	1	1	1	1	1	1	1	0.000261212204845227	1	1
LOC409250	1	1	1	1	1	1	1	1	1	1	1
LOC409251	1	1	1	1	1	1	1	1	1	1	1
LOC409252	1	1	1	1	1	1	1	1	1	1	1
LOC409253	1	1	1	1	1	1	1	1	1	1	1
LOC409254	1	1	1	1	1	1	1	1	1	1	1
LOC409255	1	1	1	1	1	1	1	1	1	1	1
LOC409256	1	1	1	1	1	1	1	1	1	1	1
LOC409258	1	1	1	1	1	1	1	1	1	1	1
LOC409259	1	1	1	1	1	1	1	1	1	1	1
LOC409262	1	1	1	1	1	1	1	1	1	1	1
LOC409264	1	1	1	1	1	1	1	1	1	1	1
LOC409267	1	1	1	1	1	1	6.40647017947556e-07	1	1	1	1
LOC409269	1	1	1	1	1	1	1	1	1	1	1
LOC409272	1	1	1	1	1	1	1	1	1	1	1
LOC409273	1	1	1	1	1	1	1	1	1.22882334056385e-16	1	1
LOC409276	1	1	1	1	1	1	1	1	1	1	1
LOC409279	1	1	1	1	1	1	1	1	0.00176399382561516	7.5747046717993e-05	1
LOC409282	1	1	1	1	1	1	1	1	1	1	1
LOC409283	1	1	1	1	1	0.53525350581764	1	1	1.08884918072589e-13	1	1
LOC409288	1	1	1	1	1	1	1	1	1	1	1
LOC409290	1	1	1	1	1	1	1	1	1	1	1
LOC409291	1	1	1	1	1	1	1	1	1	1	1
LOC409293	1	1	1	1	NA	1	1	1	1.03094210635038e-09	1	1
LOC409294	1	1	1	1	1	1	1	1	1	1	1
LOC409295	1	1	1	1	1	1	1	1	1	1	1
LOC409296	1	1	1	1	1	1	1	1	1	1	1
LOC409299	1	1	1	1	1	0.215589048824838	1	1	1.12769227474685e-10	1	1
LOC409300	1	1	1	1	1	1	1	1	1	1	1
LOC409303	1	1	1	1	1	1	1	1	1	1	1
LOC409305	1	1	1	1	1	1	0.106822177351639	1	1	1	1
LOC409307	1	1	1	1	1	1	1	1	0.000512752283068923	1	1
LOC409310	1	1	1	1	1	1	1	1	1	1	1
LOC409312	1	1	1	1	1	1	1	1	1	1	1
LOC409313	1	1	1	1	1	1	1	1	1	1	1
LOC409314	1	1	1	1	1	1	0.0702868511029656	1	1	1	1
LOC409315	1	1	1	1	1	1	1	1	1	1	1
LOC409317	1	1	1	1	1	1	1	1	1	1	1
LOC409318	1	8.33146177828755e-08	1	1	0.00552353927819974	1	1	1	1	0.000157943318559532	1
LOC409324	1	1	1	1	1	1	1	1	1	1	1
LOC409325	1	1	1	1	1	0.657399130993016	1	1	1	0.434509789038662	1
LOC409326	1	1	1	1	1	1	1	1	1	1	1
LOC409331	1	1	1	1	1	1	8.81874199199136e-05	1	1	1	1
LOC409333	1	1	1	1	1	1	1	1	1	1	1
LOC409335	1.56853871682184e-05	1	1	1	1	1	1	1	1	1	1
LOC409337	1	1	1	1	1	1	1	1	1	1	1
LOC409340	1	1	1	1	1	1	1	1	1	1	1
LOC409342	1	1	1	1	1	1	1	1	1	1	1
LOC409346	1	1	1	1	1	1	1	1	1	1	1
LOC409347	1	1	1	1	1	1	1	1	1	1	1
LOC409351	1	1	3.39110905266325e-14	1	1	1.13630766734238e-24	1	1	1	1	1
LOC409355	1	1	1	1	1	1	1	1	1	1	1
LOC409357	1	1	1	1	1	1	0.00489588558989269	1	4.10468354478233e-05	1	1
LOC409358	1	1	1	1	1	1	1	1	0.000135848735032803	1	1
LOC409362	1	1	1	1	1	1	1	1	1	1	1
LOC409363	1	1	1	1	1	1	1	1	0.207617424351484	1	1
LOC409364	1	1	1	1	1	1	1	1	1	0.677426408881405	1
LOC409366	1	1	1	1	1	1	1	1	1	1	1
LOC409367	1	1	1	1	1	1	1	1	1	1	1
LOC409368	1	1	1	1	1	1	1	1	1	1	1
LOC409379	1	1	1	1	1	1	1	1	0.0201742778943987	1	1
LOC409382	1	1	1	1	1	1	1	1	1	1.4136376143749e-07	1
LOC409383	1	1	1	1	1	1	1	1	1	1	1
LOC409384	1	1	1	1	1	1	1	1	1	1	1
LOC409385	1	1	1	1	1	1	1	1	1	1	1
LOC409387	1	1	1	1	1	1	1	1	1	1	1
LOC409389	1	1	1	1	1	1	1	1	1	1	1
LOC409390	1	1	1	1	1	1	0.000125123626972516	1	0.000195069453903605	1	1
LOC409392	1	1	1	1	1	1	1	1	1	1	1
LOC409396	1	1	1	1	1	1	0.895580106501634	1	1	1	1
LOC409397	1	1	1	1	1	1	1	1	1	1	1
LOC409403	1	1	1	1	1	1	1	1	1	1	1
LOC409404	1	1	1	1	1	1	1	1	1	1	1
LOC409406	1	1	1	1	1	1	1	1	1	1	1
LOC409408	1	1	1	1	1	1	1	1	1	1	1
LOC409414	1	1	1	1	1	1	0.612681020289392	1	0.507983898407979	1	1
LOC409417	1	1	1	1	1	0.0421121683092475	1.44831145561475e-14	1	1	1	1
LOC409422	1	1	1	1	1	0.289030939507625	0.0112727178717629	1	1	1	1
LOC409423	1	1	1	1	1	1	1	1	1	1	1
LOC409424	1	1	1	1	1	1	1	1	1	1	1
LOC409430	1	1	1	1	1	1	1	1	1	1	1
LOC409438	1	1	1	1	1	1	1	1	1	1	1
LOC409439	1	1	1	1	1	1	1	1	1	1	1
LOC409440	1	1	1	1	1	1.26930926339142e-06	1	1	1	1	1
LOC409442	1	1	1	1	1	1	7.94057915458554e-06	1	1	1	1
LOC409443	1	1	1	1	1	1	1	1	1	1	1
LOC409444	1	1	1	1	1	1	1	1	1	1	1
LOC409450	1	1	1	1	1	1	1	1	1	1	1
LOC409451	1	1	1	1	1	1	1	1	1	1	1
LOC409452	1	1	1	1	1	1	1	1	7.32398923770721e-07	1	1
LOC409454	1	1	1	1	1	1	1	1	1	1	1
LOC409457	1	1	1	1	1	0.637872558642229	1	1	1	1	1
LOC409459	1	1	1	1	1	1	1	1	1	1	1
LOC409460	1	1	1	1	1	0.331955950126629	0.0316754833152694	1	1	1	1
LOC409462	1	1	1	1	1	1	1	1	0.000845033601827361	1	1
LOC409467	1	1	1	1	1	1	1	1	3.32760093694362e-08	1	1
LOC409468	1	1	1	1	1	1	1	1	1	1	1
LOC409472	1	1	1	1	1	1	1	1	1	1	1
LOC409473	1	1	1	1	1	1	1	1	1	0.0154050440323585	1
LOC409474	1	1	1	1	1	1	1	1	1	1	1
LOC409475	1	1	1	1	1	1	1	1	1	1	1
LOC409476	1	1	1	1	1	0.000585762732987224	1	1	1	1	1
LOC409479	1	1	1	1	1	1	1	1	1	1	1
LOC409481	1	1	1	1	1	1	1	1	1	1	1
LOC409483	1	1	1	1	1	5.1411240237358e-16	1	1	1	1	1
LOC409486	0.158043680766221	0.0267707491376723	1	1	1	1	1.82635930266222e-06	1	5.35551126432534e-09	1	1
LOC409487	1	1	1	1	1	1	1	1	1	1	1
LOC409489	1	1	1	1	1	1	1	1	1	1	1
LOC409492	1	1	1	1	1	0.273094939141887	1	1	1	1	1
LOC409493	1	1	1	1	1	1	1	1	0.0192847870082628	1	1
LOC409494	1	1	1	1	1	1	1	1	1	1	1
LOC409497	1	1	1	1	1	1	1	1	1	1	1
LOC409498	1	1	1	1	1	1	1	1	1	0.0805191219492763	1
LOC409500	1	1	1	1	1	1	1	1	8.18563097008261e-05	1	1
LOC409501	1	1	1	1	1	1	1	1	1	1	1
LOC409502	1	1	1	1	1	1	1	1	0.000147941219081146	1	1
LOC409505	1	1	1	1	1	1	1	1	1	1	1
LOC409508	5.23603143373551e-07	1	1	1	1	1	0.85077784507593	1	1	1	1
LOC409510	1	1	1	1	1	1	1	1	1	1	1
LOC409513	1	1	1	1	1	1	1	1	4.74284403980212e-07	1	1
LOC409514	1	1	1	1	NA	1	1	1	1	1	1
LOC409517	1	1	1	1	1	1	1	1	1	1	1
LOC409521	1	1	1	1	1	1	1	1	1	1	1
LOC409522	1	1	1	1	1	1	1	1	1	1	1
LOC409525	1	1	1	1	1	1	0.00010243450718828	1	0.00626802526415602	1	1
LOC409527	1	1	1	1	1	1	1	1	1	1.68117335358213e-12	1
LOC409531	1	1	1	1	1	1	1	1	1	1	1
LOC409532	1	1	1	1	1	1	1	1	1	1	1
LOC409534	1	1	1	1	1	1	1	1	1	1	1
LOC409536	1	1	1	1	1	0.0462209534816802	1	1	1	1	1
LOC409543	1	1	1	1	1	1	1	1	1	1	1
LOC409544	1	1	1	1	1	1	1	1	1	1	1
LOC409547	1	1	1	1	1	1	1	1	1	1	1
LOC409548	1	1	1	1	1	1	1	1	1	1	1
LOC409549	1	1	1	1	1	1	1	1	1	1	1
LOC409550	1	1	1	1	1	1	1	1	1	1	1
LOC409552	1	1	1	1	1	1	1	1	1	1	1
LOC409553	1	1	1	1	1	1	1	1	1	1	1
LOC409556	1	1	1	1	1	1	0.883328266166663	0.7120819790988	1	1	1
LOC409558	1	1	1	1	1	1	1	1	0.332021135818866	1	1
LOC409563	1	1	1	1	1	1	1	1	1	1	1
LOC409564	1	1	1	1	1	1	2.06562243812712e-08	1	1	1	1
LOC409565	1	1	1	1	1	1	0.0121657274314896	1	3.09427210134792e-08	1	1
LOC409566	1	1	1	1	1	1	1	1	1	1	1
LOC409569	1	1	1	1	1	1	1	1	1	1	1
LOC409571	1	1	1	1	1	8.57905602130404e-05	1	1	1	1	1
LOC409573	1	1	1	1	1	1	1	1	1	1	1
LOC409574	1	1	1	1	1	1	1	1	1	1	1
LOC409576	1	1	1	1	1	1	1	1	1	1	1
LOC409578	1	1	1	1	1	1	1	1	1	1	1
LOC409579	1	1	1	1	0.0727159685318706	1	1	1	1	1	1
LOC409581	1	1	1	1	1	1	1	1	1	1	1
LOC409584	1	1	1	1	1	1	0.36454926766097	1	1	1	1
LOC409589	1	1	1	1	1	2.93643373956605e-08	1	1	1	1	1
LOC409590	1	1	1	1	1	1	1	1	1	1	1
LOC409594	1	1	1	1	1	1	1	1	0.754640761199994	1	1
LOC409600	1	1	1	1	1	1	1	1	1	1	1
LOC409602	1	1	1	1	1	1	1	1	1	1	1
LOC409603	1	1	1	1	1	1	1	1	1	1	1
LOC409604	1	1	1	1	1	1	1	1	1	1	1
LOC409609	1	1	1	1	1	1	0.00010242387586396	1	0.00544264810285589	1	1
LOC409610	1	1	1	1	1	1	1	1	1	1	1
LOC409611	1	1	1	1	1	1	1	1	1	1	1
LOC409613	1	1	1	1	1	1	1	7.56163242864499e-06	1	1	1
LOC409614	1	1	1	1	1	1	1	1	1	1	1
LOC409616	1	1	1	1	1	1	9.80070405164223e-15	1	1	1	0.0844919893344767
LOC409620	1	1	1	1	1	1	1	1	1	1	1
LOC409622	1	1	1	1	1	1	1	1	1	1	1
LOC409624	1	1	1	1	1	1	1	1	1	1	1
LOC409628	1	1	1	1	1	1	1	1	4.89992744955258e-06	1	1
LOC409636	1	1	1	1	1	1	1	1	1	1	1
LOC409637	1	1	1	1	1	1	1	1	0.115106467354505	1	1
LOC409638	1	1	1	1	1	1	1	1	1.08359475005669e-16	1	1
LOC409642	1	1	1	1	1	1	1	1	1	1	1
LOC409645	1	1	1	1	1	1	1	1	0.00187021681094305	1	1
LOC409646	1	1	1	1	1	1	1	1	1	1	1
LOC409647	1	1	1	1	1	1	1	1	1	1	1
LOC409650	1	1	1	1	1	1	1	1	1	1	1
LOC409653	1	1	1	1	1	1	1	1	1	1	1
LOC409658	1	1	1	1	1	1	1	1	1	1	1
LOC409659	1	1	1	1	1	1	1	1	1	1	1
LOC409663	1	1	1	1	1	1	1	1	0.724994263064677	1	1
LOC409664	1	1	1	1	1	1	1	1	3.3749821865108e-35	1	1
LOC409665	1	1	1	1	1	1	1	1	1	1	1
LOC409666	1	1	1	1	1	1	1	1	1	1	1
LOC409668	1	1	1	1	1	0.0211964321367937	1	1	1	1	1
LOC409671	1	1	1	2.52032357105607e-05	1	1	1	1	1	1	1
LOC409672	1	1	1	1	1	1	1	1	1	1	1
LOC409674	1	1	1	1	1	1	1	1	1	1	1
LOC409676	1	1	1	1	1	1	1	1	1	1	1
LOC409688	1	1	1	1	1	1	1	1	1	1	1
LOC409690	1	1	1	1	1	1	1	1	1	1	1
LOC409691	1	1	1	1	1	1	1	1	1	1	1
LOC409693	1	1	1	1	1	1	1	1	1	1	1
LOC409696	1	1	1	1	1	1	1	1	1	1	1
LOC409699	1	1	1	1	1	1	1	1	1	1	1
LOC409702	1	1	1	1	1	1	1	1	1	1	1
LOC409706	1	1	1	1	1	1	1	1	0.0131367670324054	1	1
LOC409712	1	1	1	1	1	1	1	1	1	1	1
LOC409713	1	1	1	1	1	1	1	1	5.52053726581313e-07	1	1
LOC409714	1	1	1	4.26681267255484e-20	1	1	7.88982902625421e-17	1	0.018128465508054	0.0242706411287376	0.0927423119965191
LOC409718	1	1	1	1	1	1	6.01147473113899e-13	1	1	1	1
LOC409728	1	1	1	1	1	1	1	1	1	1	1
LOC409733	1	1	1	1	1	1	1	1	1.97013871576972e-20	1	1
LOC409734	1	1	1	0.00378579730338713	1	0.000201337739328591	1	1	1	1	1
LOC409739	1	1	1	1	1	1	1	1	1	1	1
LOC409743	1	1	1	1	1	1	1	1	1	1	1
LOC409752	1	1	1	1	1	1	1	1	0.0010486346597731	1	1
LOC409753	1	1	1	1	1	1	1	1	1	1	1
LOC409755	1	1	1	1	1	1	1	1	1	1	1
LOC409756	1	1	1	0.000467576699318522	1	1	1	1	1	1	1
LOC409757	1	1	1	1	1	1	1	1	1	1	1
LOC409764	1	1	1	1	1	1	1	1	1	1	1
LOC409765	1	1	1	1	1	1	1	1	1	1	1
LOC409766	1	1	1	1	1	1	1	1	1	1	1
LOC409767	1	1	1	1	1	1	1	1	1	1	1
LOC409771	1	1	1	1	1	1	1	1	1	1	1
LOC409773	1	1	1	1	1	1	1	1	1	1	1
LOC409777	1	1	1	1	1	1	1	1	1	7.4396614621325e-10	1
LOC409778	1	1	1	1	1	2.69152274983058e-18	4.32182158497531e-09	1	1	1	1
LOC409782	1	1	1	1	1	1	1	1	0.436072001986627	1	1
LOC409787	1	1	1	1	1	1	1	1	1.63600493917237e-42	1	1
LOC409789	1	1	1	1	1	1	1	1	1	1	1
LOC409790	1	1	1	1	1	1	0.384482050379084	1	1	1	1
LOC409793	1	1	1	1	1	1	1	1	1	1	1
LOC409794	1	1	1	1	1	1	1	1	1	1	1
LOC409799	1	1	1	1	1	1	1	1	6.76562803541179e-06	1	1
LOC409804	1	1	1	1	1	1	1	1	0.000226778379077486	1	1
LOC409806	1	1	1	0.548492849879101	1	1	1	1	1	1	1
LOC409809	1	1	1	1	1	1	1	1	1	1	1
LOC409810	1	1	1	1	1	1	1	1	1	1	1
LOC409819	1	1	1	1	1	1	1	1	1	1	1
LOC409820	1	1	1	1	1	1	1	1	1	1	1
LOC409822	1	1	1	1	1	1	1	1	1	1	1
LOC409825	1	1	1	1	1	1	1	1	1	1	1
LOC409826	1	1	1	1	1	1	1	1	1	1	1
LOC409829	1	1	1	1	1	1	1	1	6.48720254295333e-13	1	1
LOC409831	1	1	1	1	1	1	1	1	1	1	1
LOC409832	1	1	1	1	1	1	1	1	1	1	1
LOC409835	1	1	1	1	1	1	1	1	6.38618642380634e-08	1	1
LOC409839	1	1	1	1	1	1	1	1	1	1	1
LOC409841	1	1	1	1	1	1	1	1	1	1	1
LOC409845	1	1	1	1	1	1	1	1	0.0083347360682838	1	1
LOC409846	1	1	1	1	1	1	1	1	1	1	1
LOC409856	1	1	1	1	1	1	1	1	1	0.00468770922999537	1
LOC409859	1	1	1	1	1	1	1	1	1	1	1
LOC409861	1	1	1	1	1	1	1	1	2.32949170267861e-10	1	1
LOC409862	1	1	1	1	1	1	1	1	1	1	1
LOC409865	1	1	1	1	1	1	1	1	1	1	1
LOC409866	1	1	1	1	1	1	1	1	1	1	1
LOC409867	1	1	1	1	1	1	1	1	1	1	1
LOC409870	1	1	1	1	1	1	1	1	1	1	1
LOC409872	1	1	1	1	1	1	1	1	1	1	1
LOC409876	1	1	1	1	1	1	1	1	1	1	1
LOC409877	1	1	1	1	1	1	1	1	1	1	1
LOC409880	1	1	1	1	1	1	1	1	1	1	1
LOC409881	1	1	1	1	1	1	1	1	1	1	1
LOC409882	1	1	1	1	1	1	1	1	1	1	1
LOC409884	1	1	1	1	1	1	1	1	1	1	1
LOC409886	1	1	1	1	1	1	1	1	1	1	1
LOC409887	1	1	1	1	1	1	0.0332408186469608	1	1	1	1
LOC409891	1	1	1	1	1	1	1	1	1	1	1
LOC409894	1	1	1	1	1	1	0.0159922540925555	1	1.48251746116153e-06	1	1
LOC409897	1	1	1	1	1	1	1	1	1	1	1
LOC409908	1	1	1	1	1	1	1	1	1	1	1
LOC409913	1	1	1	1	1	1	1	1	1	1	1
LOC409915	1	1	1	1	1	1	1	1	1	1	1
LOC409918	1	1	1	1	1	1	1	1	1	1	1
LOC409919	1	1	1	1	1	0.00244483307552254	1	1	0.0149014947274615	1	1
LOC409921	1	1	1	1	1	1	0.000409991661634943	1	2.17208306364477e-10	1	1
LOC409922	1	1	1	0.144671727673994	1	1	1	1	1	1	1
LOC409926	1	1	1	1	1	1	1	1	0.310426881667417	1	1
LOC409927	1	1	1	1	1	1	1	1	1	1	1
LOC409931	1	1	1	1	1	1	1	1	1.50449796234115e-29	1	1
LOC409932	1	1	1	1	1	1	1	1	1	1	1
LOC409933	1	2.33635504015095e-05	1	1	1	1	0.0100365552278021	1	1.99365876550681e-24	1	1
LOC409934	1	1	1	1	1	0.00118701657250031	1	1	1	1	1
LOC409937	1	1	1	1	1	1	1	1	1	1	1
LOC409942	1	1	1	1	1	1	1	1	1	1	1
LOC409949	1	1	1	1	1	1	1	1	1	1	1
LOC409950	1	1	1	1	1	0.00153454249467828	1	1	1	1	1
LOC409951	1	1	1	1	1	1	1	1	1	1	1
LOC409953	1	1	1	1	1	1	1	1	1	1	0.401405416289273
LOC409954	1	1	1	1	1	1	1	1	1	1	1
LOC409955	1	1	1	1	1	1	1	1	4.72802995844616e-11	1	1
LOC409956	1	1	1	1	1	1	1	1	1	1	1
LOC409959	1	1	1	1	1	1	1	1	1	1	1
LOC409961	1	1	1	1	1	1	1	1	1	1	1
LOC409965	1	1	1	1	1	1	1	1	1	1	1
LOC409969	1	1	1	1	1	1	1	1	1	1	1
LOC409972	1	1	1	1	1	1	1	1	1	1	1
LOC409977	1	1	1	1	1	1	1	1	1	1	1
LOC409978	1	1	1	1	1	1	1	1	1	1	1
LOC409979	1	1	1	1	1	1.24809836909552e-12	1	1	0.0682729224736097	1	1
LOC409985	1	1	1	1	1	1	1	1	4.7492683397049e-31	1	1
LOC409986	1	1	1	1	1	1	0.297195554271368	1	1	1	1
LOC409990	1	1	1	1	1	1	1	1	0.00610537327403053	1	1
LOC409991	1	1	1	1	1	1	1	1	1	1	1
LOC409992	1	1	1	1	1	1	1	1	1	1	1
LOC409993	1	1	1	1	1	1	6.90829759042977e-08	1	1	0.348398422572829	1
LOC409994	1	1	1	1	1	1	1	1	1	1	1
LOC409995	1	1	1	1	1	1	1	1	1	1	1
LOC410004	1	1	1	1	1	1	1	1	1	1	1
LOC410006	0.531633677599131	1	1	0.395929104652994	1	1	1	1	1	1	1
LOC410007	1	1	1	1	1	1	1	1	1	1	1
LOC410009	1	1	1	1	NA	1	1	1	1	1	1
LOC410012	1	1	1	1	1	1	1	1	1	1	1
LOC410013	1	1	1	1	1	1	1	1	1.19162932382722e-08	1	1
LOC410015	1	1	1	1	1	1	1	1	1	1	1
LOC410017	1	1	1	1	1	1	1	1	0.290232263827808	1	1
LOC410018	1	1	1	1	1	1	1	1	1	1	1
LOC410022	1	1	1	1	1	1	1	1	1	1	1
LOC410023	1	1	1	1	1	1	1	1	1	1	1
LOC410026	1	1	1	1	1	1	1	1	1	1	1
LOC410030	1	1	1	1	1	1	1	1	1	1	1
LOC410033	1	1	1	0.442908351440792	1	1	1	1	1	1	1
LOC410035	1	1	1	1	1	1	1	1	1	1	1
LOC410040	1	1	1	1	1	1	1	1	1	1	1
LOC410041	1	1	1	1	1	1	1	1	1	4.21205332801282e-08	1
LOC410042	1	1	1	1	1	1	1	1	1	1	1
LOC410043	1	1	1	1	1	1	1	1	1	1	1
LOC410044	1	1	1	1	1	1	1	1	1	1	1
LOC410045	1	1	1	1	1	1	1	0.365600097063128	1	1	1
LOC410050	1	1	1	1	1	1	1	1	1	1	1
LOC410054	1	1	1	1	1	1	1.38199445607672e-05	1	1	1	1
LOC410056	1	1	1	1	1	1	1	1	0.0103801609475447	1	1
LOC410057	1	1	1	1	1	1	1	1	3.90599899100137e-10	1	0.000398325086962484
LOC410058	1	1	1	1	1	1	1	1	0.0358075556248383	1	1
LOC410061	1	1	1	1	1	1	1	1	1	1	1
LOC410067	1	1	1	0.000743791280943957	1	1	2.15396790267303e-13	1	1	1	1
LOC410070	1	1	1	1	1	1	1	0.484801451337951	1	1	3.48923552119473e-05
LOC410071	1	1	1	1	1	1	1	1	1	1	1
LOC410072	1	1	1	1	1	1	1	1	1	1	1
LOC410073	1	1	1	1	1	1	1	1	1	1	1
LOC410076	1	1	1	1	1	1	1	1	1	1	1
LOC410078	1	1	1	1	1	1	1	1	1	1	1
LOC410079	1	1	1	1	1	1	1	1	1	1	1
LOC410080	1	1	1	1	1	1	1	1	1	1	1
LOC410085	1	1	1	1	1	1	1	1	1	1	1
LOC410092	1	1	1	1	1	1	1	1	1	1	1
LOC410093	1	1	1	1	1	1	1	1	1	1	1
LOC410094	1	1	1	1	1	1	1	1	1	1	1
LOC410095	1	1	1	1	1	1	1	1	1	1	1
LOC410096	1	1	1	1	1	1	1	1	1	1	1
LOC410098	1	1	1	1	1	1	1	1	1	1	1
LOC410099	1	1	1	1	1	1	1	1	1	7.62482481095995e-05	1
LOC410100	1	1	1	1	1	1	1	1	1	1	1
LOC410101	1	1	1	1	1	1	1	1	0.0296020362038572	1	1
LOC410102	1	1	1	1	1	1	1	1	1	1	1
LOC410106	1	1	1	1	1	1	1	1.17758722766026e-07	1	1	1
LOC410108	1	1	1	1	1	1	1	1	1	1	1
LOC410114	1	1	1	1	1	0.478123519323423	0.011585681479805	1	1	1	1
LOC410115	1	1	1	1	1	1	1	1	1	1	1
LOC410116	1	1	1	1	1	1	1	1	1	1	1
LOC410119	1	1	1	1	1	1	1	1	0.0192569607184327	1.34450480087388e-06	1
LOC410120	1	1	1	1	1	1	1	1	0.0204524127554921	1	1
LOC410121	1	1	1	1	1	1	1	1	1	1	1
LOC410122	1	1	1	1	1	0.176623910517902	1	1	1	1	1
LOC410128	1	1	1	1	1	1	1	1	1	1	1
LOC410129	1	1	1	1	1	1	1	1	1	1	1
LOC410130	1	1	1	1	1	1	1	1	1	1	1
LOC410132	1	1	1	1	1	1	1	1	1	1	1
LOC410133	1	1	1	1	1	1	1	1	1	1	1
LOC410134	1	1	1	1	1	1	1	0.0190798813007198	1	1	1
LOC410136	1	1	1	1	1	1	1	1	1	1	1
LOC410142	1	1	1	1	1	1	1	1	1	1	1
LOC410144	1	1	1	1	1	1	1	1	2.62909629012791e-07	1	1
LOC410148	1	1	1	1	1	1	1	0.350125132683284	1	1	1
