Gene	AlnLength	Amel	Aflo	Bimp	Bter	Ccal	Dnov	Emex	Hlab	Lalb	Mqua	Mrot
LOC409320	948	34.49	34.49	36.92	36.81	37.97	38.50	36.08	37.03	40.93	36.39	37.03
LOC409324	930	31.08	29.89	32.69	33.12	39.89	37.20	32.58	34.09	45.27	33.66	36.13
LOC409325	2709	31.93	32.34	39.13	39.09	50.57	47.07	36.06	40.75	49.69	41.71	40.16
LOC409326	831	41.76	42.24	49.10	48.74	56.44	52.11	43.80	47.05	53.43	46.69	45.97
LOC409329	900	33.33	32.78	36.11	36.67	48.67	36.89	34.78	37.89	41.67	40.22	36.44
LOC409331	1497	29.86	29.53	35.07	35.94	41.68	40.75	33.73	37.01	46.56	42.35	34.13
LOC409333	609	33.50	33.66	34.98	34.81	44.83	38.92	34.98	34.15	35.80	33.33	35.63
LOC409334	1863	26.89	26.73	31.19	30.70	41.76	36.98	29.68	30.43	34.03	30.49	31.99
LOC409335	705	34.18	34.47	34.47	34.61	42.55	36.60	36.03	36.17	40.14	34.75	38.30
LOC409336	825	36.12	36.48	38.42	38.79	44.73	42.91	36.48	37.70	40.73	37.70	38.30
LOC409337	2511	38.99	39.27	43.81	43.89	50.46	50.10	44.72	47.19	50.82	43.65	49.18
LOC409340	1071	36.41	36.51	38.56	38.00	43.79	42.58	36.97	38.94	43.51	38.19	38.00
LOC409341	1017	35.89	36.18	44.84	44.64	50.44	44.84	41.40	44.64	45.33	42.67	40.12
LOC409342	615	33.33	33.82	36.75	36.75	40.00	36.26	35.28	35.77	45.37	34.96	35.12
LOC409346	3516	36.23	35.89	42.69	42.55	46.70	47.92	38.71	45.11	51.25	44.48	44.54
LOC409347	2217	34.24	34.28	38.48	38.16	41.63	41.18	36.40	39.29	45.38	40.32	37.80
LOC409351	1431	31.31	31.17	35.50	35.29	42.07	42.84	33.26	33.54	38.64	37.88	35.15
LOC409355	666	31.98	31.38	36.94	37.54	44.44	39.94	35.29	38.89	43.09	39.94	33.63
LOC409357	1293	33.57	33.10	35.89	35.81	39.29	37.59	35.27	37.20	38.52	36.97	35.19
LOC409358	1779	26.31	26.81	31.87	32.04	35.75	33.33	29.40	28.16	38.50	32.32	28.84
LOC409361	447	34.00	33.56	42.28	39.15	40.94	48.55	41.83	45.64	51.01	38.48	44.07
LOC409362	1167	41.65	41.47	46.70	46.79	46.02	49.36	43.96	46.96	52.01	45.50	44.04
LOC409363	1029	34.89	34.11	37.51	37.32	41.30	39.07	36.83	37.71	42.57	37.90	38.19
LOC409364	1260	35.08	35.08	36.90	36.90	43.57	39.29	36.67	37.38	41.03	36.11	37.86
LOC409365	2508	31.86	32.14	35.21	35.25	37.16	43.34	32.85	37.00	42.42	30.70	41.55
LOC409366	810	31.73	31.36	36.30	35.06	41.36	38.02	32.72	34.69	40.49	37.65	36.17
LOC409367	642	38.01	37.23	44.86	45.17	49.53	50.93	41.28	47.20	52.49	44.86	45.33
LOC409368	1275	37.25	36.94	41.18	42.27	51.69	42.04	37.96	41.41	41.25	39.76	37.65
LOC409373	1056	34.66	34.85	36.46	36.46	43.09	39.11	36.08	36.36	42.71	38.92	37.41
LOC409377	2052	36.26	36.16	38.50	38.35	47.17	40.59	38.01	38.55	41.52	37.33	38.99
LOC409379	777	40.54	40.93	41.96	42.34	42.73	42.99	39.77	44.02	42.47	43.63	43.50
LOC409382	5733	37.83	37.82	40.21	40.17	44.93	44.65	39.73	40.62	44.17	39.94	41.13
LOC409383	774	36.43	36.18	42.89	42.64	46.64	43.93	40.18	39.02	44.70	46.25	46.38
LOC409384	1200	38.58	38.33	40.92	40.92	51.58	42.67	40.33	43.67	46.17	45.17	41.25
LOC409385	3699	33.58	33.90	37.36	37.12	49.42	40.55	36.77	37.06	43.63	37.17	38.20
LOC409386	453	38.41	38.19	38.63	38.19	42.38	39.74	38.85	39.07	40.40	39.29	39.51
LOC409387	678	32.60	32.89	37.02	37.17	42.92	35.84	35.84	37.32	39.53	35.99	35.84
LOC409388	657	32.27	32.88	37.14	36.99	45.05	44.14	33.18	35.77	50.38	36.38	36.83
LOC409389	792	34.22	34.60	37.63	37.75	52.02	39.39	38.26	37.37	43.56	38.01	38.26
LOC409390	1068	42.42	42.23	49.34	48.97	52.53	52.53	48.60	52.34	53.09	47.19	50.19
LOC409392	1515	29.83	29.90	33.33	33.27	34.46	35.38	31.95	32.08	36.44	35.64	33.20
LOC409393	6438	34.11	34.31	38.13	38.15	50.67	42.26	35.65	42.70	49.11	49.80	37.39
LOC409396	1263	38.88	38.72	41.01	41.17	44.89	43.55	39.67	41.09	44.02	39.59	41.65
LOC409397	540	33.33	33.52	37.04	35.74	38.89	38.70	33.89	36.11	42.78	35.74	37.22
LOC409403	984	32.52	32.72	35.47	35.06	42.28	37.40	34.55	35.57	37.20	34.25	37.70
LOC409404	852	28.05	28.29	30.63	29.81	35.80	36.03	30.16	31.34	40.38	33.45	31.57
LOC409406	387	36.18	36.43	36.43	36.69	38.50	39.53	35.92	36.18	40.83	36.69	37.47
LOC409408	2628	33.37	33.37	36.11	36.42	39.65	38.51	36.19	35.92	39.84	36.04	40.03
LOC409410	1152	43.32	43.84	46.09	45.31	51.65	48.78	44.97	48.87	51.30	44.97	46.70
LOC409411	744	31.99	33.06	34.27	34.01	50.54	37.23	35.48	35.62	42.74	33.47	35.35
LOC409414	2208	29.76	30.39	34.33	34.10	42.48	36.50	33.92	33.83	43.70	33.24	36.14
LOC409417	1980	34.90	34.95	37.58	38.03	42.93	40.66	37.12	37.88	40.20	37.47	41.01
LOC409422	3726	38.33	39.29	45.84	45.71	47.58	46.89	43.91	51.61	48.90	43.88	47.99
LOC409423	1953	38.97	39.12	43.27	43.06	46.13	43.68	41.12	43.01	46.90	45.11	42.91
LOC409424	1452	39.39	39.60	45.04	44.42	49.24	46.76	41.87	46.21	51.17	44.63	45.11
LOC409425	2088	41.81	42.48	45.07	45.74	49.43	52.39	44.49	50.14	49.52	49.47	45.93
LOC409427	1026	32.07	32.65	34.41	34.60	38.69	36.74	33.72	34.99	38.11	34.31	34.70
LOC409430	861	37.75	37.40	38.79	38.91	46.92	42.51	37.51	39.37	47.85	38.44	39.26
LOC409438	1209	31.93	32.67	37.22	36.97	41.19	42.68	35.81	38.38	46.07	36.64	37.39
LOC409439	3312	34.66	34.60	37.95	38.01	42.48	43.60	36.90	38.80	43.45	38.04	39.04
LOC409440	1932	31.42	31.16	33.80	34.06	43.53	37.42	33.54	34.58	39.29	36.02	33.80
LOC409441	930	39.68	40.11	45.81	45.91	50.43	51.29	43.76	45.05	49.68	47.63	46.34
LOC409442	786	36.26	36.26	38.68	38.30	46.31	41.60	37.28	39.44	41.86	38.68	38.30
LOC409443	783	33.46	32.82	35.25	35.38	37.68	40.10	35.12	36.91	41.12	36.02	36.53
LOC409444	1290	33.33	33.33	41.32	40.70	45.89	39.69	35.74	40.31	37.83	38.60	38.60
LOC409450	831	37.91	38.03	42.84	42.84	49.46	42.48	39.35	39.11	42.24	42.96	40.19
LOC409451	291	31.27	32.99	37.80	36.77	41.24	39.86	34.02	35.05	39.52	31.27	39.18
LOC409452	2082	39.10	39.72	46.25	46.45	49.14	51.06	43.13	45.92	51.01	52.83	49.28
LOC409454	600	33.17	34.33	40.33	40.00	47.50	42.00	37.17	40.83	48.67	43.17	42.33
LOC409457	7743	32.83	32.97	36.57	36.52	47.80	39.05	35.36	35.96	39.76	34.61	37.92
LOC409459	2880	32.88	33.02	36.01	35.66	42.08	39.31	35.03	38.12	46.15	36.22	34.83
LOC409460	1404	34.40	33.90	37.32	37.39	45.30	38.75	35.47	36.11	38.03	36.40	36.25
LOC409462	1146	33.07	33.25	36.47	36.04	37.52	37.78	34.64	35.08	38.92	35.17	35.25
LOC409465	12	41.67	41.67	58.33	50.00	50.00	50.00	58.33	66.67	50.00	41.67	50.00
LOC409467	1608	43.66	44.15	52.74	52.18	53.48	51.12	52.86	56.72	53.36	52.18	56.47
LOC409468	1773	44.56	45.97	49.24	49.52	53.69	49.35	49.24	49.97	46.19	50.14	48.34
LOC409472	1695	38.05	38.41	40.53	40.47	45.31	42.54	40.06	40.53	44.13	41.36	40.06
LOC409473	498	32.53	32.53	38.76	38.55	50.40	41.16	36.95	38.96	42.97	42.17	36.35
LOC409474	4425	35.86	35.84	40.84	40.90	47.30	46.96	38.76	41.97	47.55	40.97	42.53
LOC409475	2559	35.37	35.33	39.74	39.66	46.50	43.92	37.63	42.87	47.56	49.16	39.98
LOC409476	1362	32.45	32.82	36.12	36.64	42.66	38.25	34.07	36.12	41.26	42.51	36.27
LOC409479	798	31.08	31.58	38.85	38.22	44.49	39.60	33.58	34.34	40.10	38.10	34.59
LOC409481	546	37.18	36.08	40.84	40.29	42.31	41.21	41.03	39.93	41.58	39.38	40.48
LOC409483	2433	33.42	33.29	36.17	35.92	50.18	39.66	35.64	35.51	49.98	35.14	36.17
LOC409486	930	50.97	50.97	51.61	51.40	54.30	52.69	51.61	50.65	52.26	51.18	51.61
LOC409487	1896	38.24	37.97	43.09	43.67	49.31	51.11	43.83	46.89	54.32	42.77	47.10
LOC409488	684	36.11	35.53	37.72	37.13	44.30	38.45	36.99	36.55	42.84	37.13	36.70
LOC409489	528	39.77	39.96	42.99	43.94	48.11	43.56	41.48	41.67	42.61	42.61	44.70
LOC409491	858	28.79	28.67	35.43	35.20	42.19	39.16	30.89	33.22	40.44	37.65	36.71
LOC409492	1338	34.45	34.83	42.75	42.90	47.23	50.97	43.05	45.81	52.02	48.51	46.11
LOC409493	933	39.23	39.12	44.69	44.37	48.55	51.34	42.34	47.91	59.81	43.94	56.06
LOC409494	888	32.88	33.00	37.84	37.39	48.65	41.44	35.02	37.61	42.45	39.08	38.85
LOC409495	615	32.52	33.50	35.77	35.93	51.22	37.40	32.68	38.05	46.18	35.45	38.05
LOC409497	2802	39.65	40.40	42.18	42.01	52.07	48.32	41.04	42.72	49.11	42.58	43.08
LOC409498	2523	37.73	37.65	40.43	40.23	41.89	43.12	39.56	40.59	43.60	39.48	39.83
LOC409499	1023	32.45	32.26	35.58	35.78	41.15	40.18	35.29	35.97	43.30	35.19	37.93
LOC409500	375	44.80	44.53	44.27	44.00	46.93	44.00	42.40	45.60	46.67	43.73	46.13
LOC409501	2943	38.77	39.08	41.49	41.32	50.39	45.60	41.56	44.14	49.58	41.42	42.92
LOC409502	789	36.25	37.39	40.30	40.30	47.91	46.89	40.30	43.47	48.54	39.16	38.66
LOC409505	492	31.71	31.71	33.54	33.74	39.02	39.84	35.57	35.57	40.04	38.82	35.16
LOC409508	684	36.55	35.82	38.74	38.74	41.52	42.11	35.67	36.99	44.30	37.72	36.70
LOC409510	519	39.11	41.62	42.97	42.39	57.80	45.66	40.66	41.23	46.24	45.28	42.39
LOC409511	756	37.17	37.57	42.46	42.99	46.16	44.31	39.29	38.89	43.65	39.81	39.95
LOC409513	801	41.20	41.82	46.32	47.82	55.43	52.68	43.70	51.69	52.81	48.31	45.32
LOC409514	126	43.65	40.48	47.62	50.00	48.41	46.83	50.79	49.21	53.17	49.21	50.79
LOC409517	1530	31.50	32.03	36.67	36.27	41.90	37.52	33.99	38.04	39.15	35.03	36.86
LOC409520	825	32.24	32.48	33.82	34.18	38.42	35.15	33.58	34.06	42.55	33.94	35.15
LOC409521	1053	32.00	32.76	37.99	37.51	41.50	37.61	34.09	37.42	39.13	36.94	38.18
LOC409522	2316	34.46	34.72	37.26	37.31	40.93	41.67	36.27	37.26	42.36	38.90	38.21
LOC409523	1095	33.79	33.97	36.35	36.35	39.27	39.82	36.07	38.90	43.01	35.62	37.17
LOC409525	855	41.87	41.87	49.59	49.71	50.88	49.71	51.11	50.29	47.95	49.94	47.37
LOC409527	2313	29.74	29.70	31.99	31.82	38.65	33.42	31.82	32.51	38.22	31.09	33.59
LOC409529	483	31.47	31.88	36.44	36.44	48.86	38.51	36.02	33.54	39.54	34.16	34.16
LOC409529	483	31.47	31.88	36.44	36.44	48.86	38.51	36.02	33.54	39.54	34.16	34.16
LOC409531	723	34.44	34.44	36.93	36.93	49.10	39.97	36.93	37.62	45.23	38.17	38.17
LOC409532	942	33.76	33.97	37.15	37.05	42.78	40.23	34.50	37.58	42.46	36.94	37.05
LOC409534	1530	36.01	36.73	40.00	40.85	46.08	41.76	39.35	39.93	45.23	41.37	40.33
LOC409536	2379	41.19	40.98	42.79	42.58	50.27	43.38	41.57	46.49	45.78	42.45	45.69
LOC409538	447	33.33	33.33	40.49	40.72	47.65	45.86	38.26	40.72	49.89	41.83	38.93
LOC409543	1578	38.02	38.09	40.37	40.81	47.78	44.55	39.42	42.27	47.47	39.99	41.95
LOC409544	1266	33.49	33.81	37.60	37.76	43.84	39.65	36.97	39.81	41.23	39.65	35.47
LOC409547	1092	33.88	34.07	35.99	35.53	48.08	39.01	35.26	35.35	43.77	35.35	37.64
LOC409548	1380	34.42	35.07	38.33	38.19	41.52	40.80	37.61	39.57	47.54	37.17	39.42
LOC409549	504	36.11	35.91	38.29	38.49	48.41	41.47	35.91	38.49	47.22	37.70	38.29
LOC409550	1680	33.39	33.75	35.83	35.77	45.65	39.58	35.83	36.73	40.30	36.07	37.50
LOC409552	474	38.19	38.19	39.66	40.30	45.15	44.30	40.72	42.41	49.16	42.41	42.62
LOC409553	864	38.89	38.43	44.68	44.33	50.23	47.69	42.48	45.25	44.68	44.21	42.25
LOC409556	3300	31.45	31.76	37.18	36.79	44.76	42.94	35.67	39.76	45.61	43.09	42.30
LOC409558	603	37.31	37.31	39.30	38.81	42.12	40.30	38.47	39.30	41.46	38.64	39.64
LOC409559	1653	32.91	33.03	35.39	35.39	43.07	39.14	35.75	36.60	44.10	34.97	38.11
LOC409563	2487	35.02	34.46	38.08	38.16	48.45	42.46	37.68	39.57	44.51	40.41	38.12
LOC409564	2853	30.42	30.49	34.10	34.00	43.11	37.82	32.53	35.65	40.80	36.84	34.28
LOC409565	1485	45.59	45.19	47.74	47.47	55.76	54.28	47.14	52.93	58.32	46.53	49.56
LOC409566	1071	33.43	33.15	36.04	35.57	40.62	37.44	35.48	35.48	40.34	35.11	35.76
LOC409569	1302	28.96	28.80	32.03	31.95	42.40	32.33	30.80	32.95	35.41	32.26	32.10
LOC409571	1206	34.00	34.41	37.89	38.06	42.79	43.70	35.24	36.82	43.37	37.56	37.15
LOC409573	1662	41.28	41.28	42.06	42.06	46.63	46.63	42.24	43.02	48.32	41.82	44.16
LOC409574	1365	35.68	37.58	44.25	43.66	47.03	48.94	41.32	46.01	48.79	47.40	43.66
LOC409576	1680	37.62	37.38	39.05	38.93	49.46	43.51	38.99	39.76	48.87	38.99	39.35
LOC409578	666	36.04	36.34	36.94	36.79	50.15	39.79	35.74	38.29	43.54	40.24	36.94
LOC409579	1611	27.93	28.24	32.15	32.03	35.26	35.07	29.98	34.20	39.42	30.11	33.02
LOC409581	585	32.82	32.99	35.73	36.92	44.27	37.09	34.19	35.21	41.03	34.87	37.26
LOC409584	1221	29.32	29.24	30.55	30.63	42.42	33.25	29.98	30.55	35.22	32.10	33.17
LOC409586	414	29.23	29.71	32.85	34.06	49.52	35.99	31.64	35.27	38.16	35.51	32.61
LOC409589	621	36.88	36.23	42.19	42.03	49.28	42.83	37.84	35.91	46.05	40.74	42.19
LOC409590	801	31.71	32.21	35.71	35.58	41.07	37.58	35.08	36.58	39.95	36.08	35.21
LOC409594	2430	31.07	30.82	33.17	33.17	47.12	34.44	33.17	33.58	40.66	33.54	34.20
LOC409600	189	37.57	37.04	39.68	39.15	45.50	38.10	37.04	39.15	41.27	40.21	41.27
LOC409602	555	46.13	46.67	43.78	43.42	49.73	49.73	49.55	48.47	51.71	42.34	45.23
LOC409603	2181	47.46	45.25	43.79	43.15	51.40	53.87	44.89	49.75	53.74	42.37	46.68
LOC409604	2067	43.15	47.70	50.17	49.64	53.60	54.77	49.54	52.20	57.62	54.67	50.94
LOC409607	993	38.97	38.97	41.49	40.99	42.90	40.79	41.59	41.19	41.89	42.90	41.49
LOC409609	1134	36.60	36.68	41.45	41.09	47.80	42.68	39.59	43.47	44.62	39.59	43.12
LOC409610	1260	30.40	30.56	36.27	35.87	42.94	41.35	34.76	38.97	40.48	35.16	39.29
LOC409611	1602	51.62	50.37	46.63	45.94	49.63	48.50	46.13	43.57	51.87	44.51	48.81
LOC409613	393	36.39	36.39	40.20	40.71	40.97	41.73	39.19	39.44	40.97	37.66	37.91
LOC409614	612	36.11	35.46	40.03	39.38	42.65	44.77	38.89	41.99	50.16	39.38	48.69
LOC409616	3837	34.09	34.66	43.58	43.42	51.42	50.38	39.15	44.38	48.97	46.89	44.67
LOC409620	2628	35.01	35.01	37.14	36.87	56.01	38.20	35.27	37.29	43.95	37.14	36.38
LOC409622	1989	30.47	30.32	35.90	35.14	42.63	41.68	32.03	33.94	43.79	35.09	38.46
LOC409624	1062	37.57	37.57	42.66	41.62	49.91	50.19	41.62	44.16	48.02	41.34	46.14
LOC409628	1077	52.74	52.18	50.32	50.05	52.55	52.09	50.70	51.25	53.95	52.09	50.14
LOC409633	615	47.97	47.80	50.41	50.08	53.66	52.85	49.76	52.52	55.12	52.03	50.24
LOC409636	741	39.00	39.14	40.08	39.95	51.69	47.50	37.52	40.62	50.61	43.99	43.05
LOC409637	699	34.19	33.48	40.20	39.91	49.07	44.21	36.91	39.77	47.07	42.49	41.20
LOC409638	819	42.49	40.42	45.79	45.42	50.31	52.26	46.89	47.25	52.87	49.57	50.31
LOC409642	939	39.19	39.19	44.41	43.45	48.56	50.16	43.98	46.43	52.50	44.94	46.65
LOC409643	1080	45.56	45.56	50.00	50.28	53.06	53.06	48.98	52.13	54.35	49.44	51.30
LOC409645	444	35.14	35.14	38.29	39.19	45.72	38.51	37.39	37.16	41.22	37.39	36.26
LOC409646	1788	35.57	35.18	39.49	39.49	45.30	44.18	36.86	40.66	40.55	40.32	39.71
LOC409647	1911	31.19	30.77	35.43	34.75	39.77	35.22	32.65	35.32	39.30	33.65	36.21
LOC409650	1971	46.07	45.15	45.21	45.00	49.72	51.04	45.97	47.39	53.12	44.75	49.21
LOC409653	1437	35.42	35.91	39.94	40.01	42.52	41.48	37.79	39.32	44.12	38.14	39.60
LOC409658	2628	47.11	46.46	49.05	48.25	54.57	55.40	47.18	49.35	58.26	49.16	48.29
LOC409659	1359	28.84	28.92	32.82	32.01	38.41	34.73	32.60	34.88	42.97	33.63	32.89
LOC409662	843	34.40	34.64	37.72	38.55	41.52	40.33	36.30	39.62	44.13	37.37	40.45
LOC409663	261	33.33	33.33	38.31	39.08	47.89	48.28	39.85	44.06	47.51	37.55	43.68
LOC409664	3381	34.69	34.66	38.18	37.24	41.76	39.01	37.65	39.93	42.65	38.07	37.71
LOC409665	2214	56.28	55.69	53.43	53.66	55.74	55.83	55.87	54.34	55.37	55.56	53.48
LOC409666	2220	41.58	41.89	46.89	46.80	53.02	52.66	47.16	48.56	54.01	47.57	49.46
LOC409667	282	42.91	44.33	45.39	45.74	47.87	46.81	44.33	46.10	50.35	46.45	43.97
LOC409668	717	33.61	32.91	36.26	35.70	47.84	43.51	35.29	39.47	41.70	39.61	40.17
LOC409670	1866	46.52	46.84	49.20	49.14	53.54	53.91	50.43	49.62	51.02	51.29	48.66
LOC409671	1719	32.87	32.93	36.13	36.30	42.99	37.87	35.78	38.51	43.86	36.42	35.14
LOC409672	1131	38.02	38.46	42.26	42.35	48.98	44.65	41.47	43.59	46.33	41.47	42.71
LOC409673	6357	30.45	30.50	34.17	34.18	40.21	37.75	33.18	35.79	42.28	33.60	35.10
LOC409674	1176	57.82	56.72	55.95	56.29	57.14	58.67	56.89	57.82	58.33	57.31	54.42
LOC409676	2160	41.20	39.54	47.22	47.36	46.48	45.00	48.84	46.34	48.80	51.48	51.62
LOC409688	1308	34.48	34.94	38.53	38.46	45.72	40.44	37.69	37.46	42.35	42.05	39.53
LOC409689	1575	37.97	37.90	42.54	41.59	44.13	42.92	40.51	44.25	48.95	40.89	41.46
LOC409690	1611	43.82	43.82	46.06	45.69	46.49	47.24	45.93	47.36	50.34	46.12	45.69
LOC409691	1131	38.73	38.64	40.14	40.23	41.73	42.00	39.70	40.94	43.68	39.61	41.29
LOC409693	816	37.25	37.01	44.36	43.87	46.81	44.12	40.93	42.03	43.75	44.24	44.24
LOC409696	1140	37.46	37.98	39.47	39.39	49.21	40.35	38.86	39.39	41.75	37.28	39.47
LOC409699	705	53.48	53.76	51.77	51.06	51.21	55.32	51.63	51.35	53.05	59.43	50.78
LOC409702	3150	33.81	34.25	40.29	40.41	47.87	48.98	37.30	40.03	48.35	42.13	42.41
LOC409704	1800	36.56	35.78	38.22	38.33	39.67	39.17	38.67	39.72	40.72	38.50	40.67
LOC409706	420	36.90	36.90	40.71	41.43	41.67	40.48	40.48	45.71	43.10	49.05	40.71
LOC409712	1176	33.42	33.42	39.71	39.80	46.85	42.26	37.84	41.33	45.66	36.73	41.50
LOC409713	2046	39.49	39.83	42.33	42.38	48.58	46.24	42.42	44.87	47.95	42.03	46.09
LOC409714	2253	54.99	56.59	51.66	51.09	45.49	49.18	50.91	46.60	51.53	53.26	51.09
LOC409718	1809	39.30	39.19	40.96	40.80	46.66	44.06	40.69	42.56	49.14	39.91	42.73
LOC409724	1626	31.30	31.67	35.61	35.36	41.76	39.36	34.13	35.49	39.24	34.44	36.16
LOC409726	1407	41.72	42.22	46.06	45.84	49.68	52.74	46.77	51.24	56.50	46.77	53.80
LOC409728	642	40.03	39.10	41.28	40.03	43.15	43.15	43.15	44.86	45.17	41.74	46.11
LOC409733	1239	44.79	44.39	48.26	48.59	52.62	53.91	48.10	50.85	53.75	47.86	52.46
LOC409734	1209	36.31	37.06	40.53	39.62	45.74	40.78	38.05	41.44	42.10	41.11	40.28
LOC409736	999	52.45	53.05	49.75	50.15	57.86	50.15	51.55	49.55	46.85	43.24	49.95
LOC409739	1236	27.75	27.75	30.02	30.34	38.35	31.31	30.74	31.07	38.51	29.29	31.23
LOC409740	678	38.50	40.56	43.51	43.07	52.80	48.08	46.46	45.72	49.71	50.00	44.99
LOC409743	4734	34.83	35.36	38.11	37.96	44.99	42.16	36.76	38.36	43.94	38.72	38.61
LOC409749	360	28.06	26.67	31.94	32.22	32.78	35.00	31.67	34.17	34.44	31.94	33.61
LOC409752	3735	38.58	39.04	43.99	44.02	51.78	49.50	40.91	47.12	51.14	43.94	43.16
LOC409753	2235	40.58	40.36	42.86	42.86	50.11	45.55	42.06	43.53	45.06	43.00	42.91
LOC409755	1056	32.01	32.95	38.54	37.88	46.02	45.27	36.17	41.67	46.78	40.81	39.49
LOC409756	1323	33.79	34.47	37.41	38.02	43.16	40.89	36.81	38.62	42.33	39.30	39.08
LOC409757	2250	37.64	37.82	40.62	40.53	47.78	46.36	39.20	42.53	46.93	42.27	40.36
LOC409762	528	37.88	39.39	40.91	41.67	50.19	56.06	39.58	42.80	56.25	45.27	43.56
LOC409764	1008	41.87	42.06	43.55	41.96	55.56	47.72	42.06	44.35	52.38	48.12	46.33
LOC409765	1002	32.34	31.84	34.03	34.43	38.92	37.13	33.03	35.43	41.32	38.22	35.43
LOC409766	1092	31.41	31.50	33.70	33.97	40.57	38.19	33.15	34.07	42.31	35.90	36.54
LOC409767	1107	36.13	36.13	37.22	37.49	40.20	41.10	36.04	37.58	41.64	38.12	38.66
LOC409769	1110	39.55	39.91	41.89	41.17	47.30	48.11	43.15	43.42	48.29	42.25	42.79
LOC409771	1494	51.61	51.61	55.22	55.15	59.37	58.03	54.02	55.02	60.78	55.49	56.89
LOC409773	1110	35.59	35.86	38.83	39.82	47.21	42.07	38.20	42.70	48.74	40.00	40.18
LOC409777	2040	41.27	39.95	44.22	43.24	44.56	47.60	43.92	43.82	49.71	48.82	45.29
LOC409778	2673	55.74	54.92	52.08	51.81	56.27	57.88	56.30	54.13	57.35	55.78	55.97
LOC409782	1053	58.97	58.02	55.27	54.61	61.35	59.16	58.12	57.26	59.92	57.55	52.99
LOC409787	1965	47.02	46.21	50.53	50.84	50.69	50.89	51.25	53.13	51.76	50.33	49.62
LOC409789	1200	51.92	52.50	46.92	46.92	54.08	55.75	45.42	54.25	56.67	48.00	52.50
LOC409790	585	33.85	34.02	35.38	36.07	37.95	37.95	35.38	36.24	42.91	35.56	35.73
LOC409791	879	43.46	43.00	47.33	47.21	52.33	49.94	46.08	45.85	51.99	49.83	48.12
LOC409793	513	32.75	33.33	35.48	35.48	44.83	37.04	35.28	35.48	41.13	35.87	36.26
LOC409794	789	35.11	35.87	38.78	38.66	44.87	41.32	37.77	37.39	47.78	40.81	39.80
LOC409795	3324	36.10	36.01	38.00	38.00	41.70	40.13	38.24	38.45	42.96	37.94	39.80
LOC409799	975	34.56	34.36	37.64	37.33	51.59	42.67	36.92	41.74	48.82	39.08	39.18
LOC409804	867	42.21	43.14	47.17	47.29	53.29	46.83	46.14	48.33	46.71	49.60	47.52
LOC409806	789	31.81	32.07	36.76	36.12	42.33	37.14	35.99	38.15	39.92	37.14	33.71
LOC409809	1602	36.64	37.20	40.07	40.01	47.50	41.70	38.51	41.14	47.88	39.95	40.01
LOC409810	1893	30.43	29.90	35.24	34.92	50.77	38.46	33.28	35.87	43.58	34.50	38.14
LOC409814	1863	40.69	42.57	42.78	42.83	45.95	45.57	43.80	43.10	45.79	39.83	47.13
LOC409819	816	31.62	31.25	34.07	34.44	40.07	37.13	33.58	34.44	43.75	36.15	35.78
LOC409820	1251	32.13	32.13	34.77	34.13	39.17	36.05	35.65	36.93	40.85	34.05	35.89
LOC409822	621	54.59	52.66	54.91	54.59	57.49	56.84	59.26	53.78	58.45	59.74	58.62
LOC409825	1596	37.03	37.53	40.98	40.66	47.99	44.30	40.10	43.48	48.50	39.72	43.55
LOC409826	3231	50.45	49.37	46.33	46.39	51.10	51.50	46.05	50.60	53.39	50.67	50.23
LOC409829	1086	47.88	47.97	51.38	51.20	50.74	55.80	51.75	52.95	57.27	52.67	53.50
LOC409831	696	36.64	36.64	42.10	40.66	42.39	44.97	38.94	39.51	42.67	39.37	37.21
LOC409832	444	33.78	33.56	36.49	35.81	37.39	37.61	35.14	37.16	39.41	37.16	37.39
LOC409833	1020	31.08	31.18	38.53	36.96	46.96	35.88	37.94	35.88	37.25	38.24	40.10
LOC409835	780	43.72	44.36	49.36	49.36	51.28	55.00	50.26	52.44	50.26	45.51	47.31
LOC409838	1896	34.28	34.49	36.76	36.87	50.05	38.77	34.81	36.66	41.77	41.72	35.50
LOC409839	2454	38.22	39.00	43.03	42.67	56.56	47.88	41.28	44.70	51.06	53.83	46.45
LOC409841	1110	33.69	33.33	36.58	36.58	42.88	41.26	36.22	36.13	44.41	36.40	38.47
LOC409845	2547	50.41	50.37	45.07	44.41	45.11	47.04	45.35	48.92	51.90	49.43	49.00
LOC409846	2151	39.10	38.91	40.49	40.63	41.61	43.75	41.10	42.49	46.95	41.89	42.91
LOC409852	1416	47.74	48.80	48.02	48.23	56.78	47.95	49.36	49.58	50.64	47.74	48.73
LOC409856	3393	42.79	42.62	43.77	43.85	48.25	46.74	44.36	45.86	48.57	42.97	45.56
LOC409857	306	31.37	31.70	38.24	37.91	34.97	34.31	34.31	37.58	35.62	35.29	35.62
LOC409859	2016	31.15	31.80	36.95	36.90	43.85	41.37	34.38	36.51	40.87	38.19	36.16
LOC409860	1680	31.37	31.85	36.73	36.43	48.57	40.12	34.35	35.95	40.54	37.86	35.71
LOC409861	384	36.20	35.94	38.80	39.58	46.61	43.23	39.32	40.62	48.44	35.94	41.15
LOC409862	291	45.70	47.08	49.48	48.45	52.58	52.23	47.42	52.92	53.95	49.83	47.77
LOC409863	666	32.28	32.28	36.49	36.04	40.24	36.34	33.63	34.23	41.14	34.68	33.63
