Gene	dN/dS
LOC413688	  0.08501
LOC413689	  0.03393
LOC413699	  0.02746
LOC413713	  0.14948
LOC413736	  0.02732
LOC413742	  0.02151
LOC413754	  0.03925
LOC413766	  0.06882
LOC413772	  0.02283
LOC413782	  0.07482
LOC413785	  0.17480
LOC413795	  0.12867
LOC413796	  0.10858
LOC413815	  0.13374
LOC413817	  0.05628
LOC413827	  0.02672
LOC413842	  0.00084
LOC413852	  0.08698
LOC413854	  0.08483
LOC413868	  0.01674
LOC413870	  0.00193
LOC413873	  0.07138
LOC413877	  0.01496
LOC413878	  0.08805
LOC413881	  0.00384
LOC413889	  0.04620
LOC413899	  0.04184
LOC413909	  0.05561
LOC413914	  0.04092
LOC413915	  0.02519
LOC413916	  0.02699
LOC413917	  0.07010
LOC413936	  0.05693
LOC413940	  0.08393
LOC413942	  0.08961
LOC413950	  0.09285
LOC413976	  0.04538
LOC413987	  0.03957
LOC413989	  0.13932
LOC413997	  0.16435
LOC414009	  0.03553
LOC414014	  0.08602
LOC414017	  0.05865
LOC414022	  0.05477
LOC414027	  0.02867
LOC414029	  0.05767
LOC414035	  0.09688
LOC414039	  0.00099
LOC414051	  0.05596
LOC494509	  0.08757
LOC503505	  0.18276
LOC550659	  0.02843
LOC550667	  0.04267
LOC550677	  0.01036
LOC550687	  0.08126
LOC550692	  0.01490
LOC550695	  0.07184
LOC550700	  0.03054
LOC550701	  0.06825
LOC550710	  0.01586
LOC550716	  0.00783
LOC550738	  0.07232
LOC550767	  0.07523
LOC550780	  0.11033
LOC550789	  0.09053
LOC550794	  0.01508
LOC550804	  0.04976
LOC550806	  0.02565
LOC550808	  0.09764
LOC550822	  0.06475
LOC550828	  0.09382
LOC550829	  0.00726
LOC550834	  0.01406
LOC550854	  0.05604
LOC550869	  0.09607
LOC550875	  0.02058
LOC550881	  0.02757
LOC550884	  0.07939
LOC550885	  0.05312
LOC550901	  0.09640
LOC550903	  0.08404
LOC550914	  0.16429
LOC550915	  0.10685
LOC550918	  0.04373
LOC550926	  0.06909
LOC550929	  0.09945
LOC550955	  0.15885
LOC550964	  0.05065
LOC550970	  0.01303
LOC550977	  0.05510
LOC550978	  0.21258
LOC550992	  0.16262
LOC550998	  0.04242
LOC551008	  0.09719
LOC551009	  0.13275
LOC551012	  0.15184
LOC551016	  0.07816
LOC551021	  0.03205
LOC551036	  0.08518
LOC551042	  0.22984
LOC551057	  0.03529
LOC551088	  0.06068
LOC551093	  0.02656
LOC551099	  0.07532
LOC551100	  0.04275
LOC551114	  0.06687
LOC551116	  0.14572
LOC551119	  0.11792
LOC551126	  0.20436
LOC551133	  0.12186
LOC551137	  0.07167
LOC551156	  0.01628
LOC551177	  0.05674
LOC551185	  0.03275
LOC551188	  0.01934
LOC551194	  0.10118
LOC551198	  0.05457
LOC551202	  0.06042
LOC551204	  0.09514
LOC551206	  0.12537
LOC551207	  0.08079
LOC551208	  0.10526
LOC551212	  0.03149
LOC551216	  0.06086
LOC551217	  0.09405
LOC551219	  0.04523
LOC551222	  0.18888
LOC551226	  0.04272
LOC551231	  0.04567
LOC551241	  0.13227
LOC551248	  0.13261
LOC551252	  0.13862
LOC551269	  0.04631
LOC551273	  0.11457
LOC551276	  0.08941
LOC551284	  0.02327
LOC551290	  0.14668
LOC551304	  0.12429
LOC551314	  0.17237
LOC551323	  0.00790
LOC551324	  0.12798
LOC551343	  0.00348
LOC551353	  0.04544
LOC551354	  0.02736
LOC551364	  0.02609
LOC551379	  0.13970
LOC551381	  0.22009
LOC551384	  0.07102
LOC551392	  0.16835
LOC551395	  0.13837
LOC551398	  0.05181
LOC551405	  0.23749
LOC551408	  0.08373
LOC551411	  0.07082
LOC551413	  0.04445
LOC551414	  0.07517
LOC551416	  0.23012
LOC551421	  0.00763
LOC551425	  0.02250
LOC551426	  0.32511
LOC551429	  0.02830
LOC551435	  0.14911
LOC551439	  0.02726
LOC551441	  0.08111
LOC551445	  0.05637
LOC551447	  0.08048
LOC551448	  0.00439
LOC551451	  0.08672
LOC551452	  0.09389
LOC551457	  0.04075
LOC551461	  0.09057
LOC551462	  0.01722
LOC551463	  0.06397
LOC551466	  0.14559
LOC551467	  0.05352
LOC551470	  0.01669
LOC551477	  0.02427
LOC551479	  0.00979
LOC551484	  0.06726
LOC551500	  0.02900
LOC551501	  0.12298
LOC551502	  0.06992
LOC551508	  0.02117
LOC551510	  0.04741
LOC551517	  0.03400
LOC551523	  0.09532
LOC551530	  0.00705
LOC551536	  0.11578
LOC551538	  0.08369
LOC551540	  0.05631
LOC551547	  0.00739
LOC551549	  0.02841
LOC551552	  0.09924
LOC551554	  0.01915
LOC551563	  0.02450
LOC551566	  0.11365
LOC551571	  0.05363
LOC551576	  0.02966
LOC551578	  0.07092
LOC551581	  0.19992
LOC551582	  0.08678
LOC551587	  0.11754
LOC551589	  0.04760
LOC551596	  0.14534
LOC551597	  0.10581
LOC551602	  0.04935
LOC551603	  0.01963
LOC551605	  0.02278
LOC551606	  0.04359
LOC551607	  0.00449
LOC551608	  0.07242
LOC551618	  0.10443
LOC551619	  0.08612
LOC551621	  0.10960
LOC551629	  0.06922
LOC551631	  0.10427
LOC551642	  0.08912
LOC551655	  0.02870
LOC551662	  0.06768
LOC551664	  0.14687
LOC551668	  0.03395
LOC551679	  0.05842
LOC551683	  0.07787
LOC551692	  0.01227
LOC551694	  0.05689
LOC551695	  0.09389
LOC551696	  0.07520
LOC551699	  0.04071
LOC551702	  0.17692
LOC551709	  0.02789
LOC551712	  0.12745
LOC551717	  0.18584
LOC551721	  0.01341
LOC551726	  0.10798
LOC551732	  0.10762
LOC551733	  0.03116
LOC551749	  0.07508
LOC551751	  0.12824
LOC551753	  0.13094
LOC551755	  0.04484
LOC551757	  0.15066
LOC551760	  0.13941
LOC551779	  0.00261
LOC551787	  0.09914
LOC551794	  0.13676
LOC551796	  0.07128
LOC551806	  0.09544
LOC551815	  0.08726
LOC551817	  0.01475
LOC551819	  0.09800
LOC551827	  0.06698
LOC551840	  0.03119
LOC551847	  0.18399
LOC551849	  0.10133
LOC551859	  0.04254
LOC551872	  0.04813
LOC551882	  0.08210
LOC551890	  0.08277
LOC551892	  0.01557
LOC551895	  0.07666
LOC551898	  0.06875
LOC551912	  0.10747
LOC551913	  0.16117
LOC551919	  0.05122
LOC551922	  0.19304
LOC551930	  0.05651
LOC551952	  0.07797
LOC551959	  0.17880
LOC551961	  0.07422
LOC551962	  0.12181
LOC551964	  0.09083
LOC551969	  0.15090
LOC551970	  0.01694
LOC551972	  0.08344
LOC551974	  0.00010
LOC551980	  0.01540
LOC551982	  0.01703
LOC551986	  0.13601
LOC551990	  0.02980
LOC551998	  0.09271
LOC552000	  0.14610
LOC552003	  0.10156
LOC552005	  0.05816
LOC552009	  0.23521
LOC552012	  0.05982
LOC552020	  0.21639
LOC552021	  0.04413
LOC552023	  0.09223
LOC552030	  0.04344
LOC552031	  0.01679
LOC552034	  0.06619
LOC552036	  0.05915
LOC552042	  0.02108
LOC552043	  0.04028
LOC552044	  0.10083
LOC552051	  0.05470
LOC552056	  0.02311
LOC552063	  0.08869
LOC552068	  0.05284
LOC552071	  0.29631
LOC552072	  0.03975
LOC552077	  0.06389
LOC552081	  0.02789
LOC552083	  0.07434
LOC552085	  0.00768
LOC552090	  0.05160
LOC552091	  0.07508
LOC552093	  0.08693
LOC552095	  0.09593
LOC552106	  0.16700
LOC552117	  0.05910
LOC552124	  0.09674
LOC552125	  0.10155
LOC552128	  0.03703
LOC552129	  0.06519
LOC552138	  0.01488
LOC552139	  0.13191
LOC552141	  0.03703
LOC552144	  0.10521
LOC552145	  0.02294
LOC552148	  0.17923
LOC552150	  0.19509
LOC552154	  0.04331
LOC552156	  0.00321
LOC552161	  0.03789
LOC552163	  0.10333
LOC552169	  0.14587
LOC552180	  0.08653
LOC552181	  0.10894
LOC552183	  0.04203
LOC552187	  0.05413
LOC552191	  0.07567
LOC552194	  0.05217
LOC552196	  0.04754
LOC552197	  0.07570
LOC552200	  0.00222
LOC552204	  0.12939
LOC552213	  0.10243
LOC552227	  0.06494
LOC552237	  0.09588
LOC552241	  0.02945
LOC552244	  0.06655
LOC552245	  0.12116
LOC552246	  0.03717
LOC552247	  0.13092
LOC552249	  0.18074
LOC552254	  0.12831
LOC552258	  0.06518
LOC552259	  0.03829
LOC552263	  0.07436
LOC552264	  0.03878
LOC552278	  0.03942
LOC552280	  0.08365
LOC552283	  0.11254
LOC552287	  0.08947
LOC552289	  0.01250
LOC552291	  0.04453
LOC552299	  0.04587
LOC552308	  0.05312
LOC552315	  0.06381
LOC552319	  0.02640
LOC552327	  0.06649
LOC552332	  0.09361
LOC552348	  0.01923
LOC552353	  0.08279
LOC552354	  0.12811
LOC552363	  0.04916
LOC552365	  0.02957
LOC552374	  0.03462
LOC552377	  0.23142
LOC552387	  0.12068
LOC552392	  0.06911
LOC552398	  0.09287
LOC552403	  0.00909
LOC552407	  0.14749
LOC552410	  0.10256
LOC552413	  0.01254
LOC552417	  0.15434
LOC552419	  0.07131
LOC552424	  0.17691
LOC552426	  0.12162
LOC552432	  0.04477
LOC552441	  0.20669
LOC552443	  0.04255
LOC552445	  0.02471
LOC552449	  0.02330
LOC552451	  0.14465
LOC552455	  0.07818
LOC552460	  0.04893
LOC552461	  0.31288
LOC552468	  0.18407
LOC552476	  0.02156
LOC552479	  0.10973
LOC552485	  0.03772
LOC552488	  0.06058
LOC552490	  0.08279
LOC552492	  0.12180
LOC552495	  0.08033
LOC552496	  0.08709
LOC552501	  0.00495
LOC552503	  0.06772
LOC552510	  0.11934
LOC552511	  0.13069
LOC552516	  0.03492
LOC552520	  0.01130
LOC552522	  0.04795
LOC552528	  0.06948
LOC552529	  0.01440
LOC552531	  0.02328
LOC552533	  0.08337
LOC552546	  0.06390
LOC552549	  0.03846
LOC552551	  0.28415
LOC552552	  0.05154
LOC552556	  0.07642
LOC552558	  0.03004
LOC552562	  0.17970
LOC552566	  0.20374
LOC552567	  0.04309
LOC552568	  0.04694
LOC552569	  0.10034
LOC552571	  0.03471
LOC552574	  0.03093
LOC552578	  0.03297
LOC552583	  0.12433
LOC552590	  0.09446
LOC552592	  0.07580
LOC552599	  0.01786
LOC552607	  0.03432
LOC552623	  0.02624
LOC552633	  0.16276
LOC552641	  0.19889
LOC552642	  0.06256
LOC552643	  0.17100
LOC552645	  0.07232
LOC552647	  0.00916
LOC552649	  0.08899
LOC552654	  0.03421
LOC552656	  0.19233
LOC552657	  0.07330
LOC552658	  0.02077
LOC552662	  0.04463
LOC552664	  0.20629
LOC552672	  0.13798
LOC552674	  0.22003
LOC552682	  0.10417
LOC552683	  0.11798
LOC552686	  0.00537
LOC552688	  0.07457
LOC552696	  0.00706
LOC552715	  0.01579
LOC552719	  0.01733
LOC552720	  0.06467
LOC552721	  0.12985
LOC552723	  0.04753
LOC552725	  0.06509
LOC552727	  0.07075
LOC552730	  0.16310
LOC552732	  0.10203
LOC552734	  0.08424
LOC552745	  0.02523
LOC552747	  0.09853
LOC552748	  0.06824
LOC552753	  0.06346
LOC552756	  0.09823
LOC552765	  0.04936
LOC552766	  0.00939
LOC552769	  0.03149
LOC552772	  0.09409
LOC552776	  0.03618
LOC552779	  0.02538
LOC552781	  0.08030
LOC552782	  0.07563
LOC552787	  0.04227
LOC552788	  0.16176
LOC552794	  0.01689
LOC552797	  0.12592
LOC552798	  0.15304
LOC552802	  0.11885
LOC552804	  0.02253
LOC552806	  0.08602
LOC552807	  0.07676
LOC552820	  0.04953
LOC552827	  0.01338
LOC552828	  0.04870
LOC552832	  0.04392
LOC552839	
LOC552845	  0.05823
LOC552846	  0.13670
LOC552848	  0.19071
LOC724125	  0.19844
LOC724154	  0.10895
LOC724160	  0.25826
LOC724169	  0.06557
LOC724170	  0.06446
LOC724176	  0.09998
LOC724188	  0.06748
LOC724201	  0.16589
LOC724205	  0.07716
LOC724215	  0.05931
LOC724216	  0.15749
LOC724218	  0.07780
LOC724220	  0.07789
LOC724234	  0.16823
LOC724239	  0.12911
LOC724241	  0.08828
LOC724244	  0.14853
LOC724247	  0.15087
LOC724251	  0.05057
LOC724252	  0.04315
LOC724256	  0.08947
LOC724267	  0.12119
LOC724283	  0.12588
LOC724287	  0.00329
LOC724288	  0.16925
LOC724290	  0.28370
LOC724291	  0.00868
LOC724292	  0.07726
LOC724294	  0.18755
LOC724296	  0.09403
LOC724303	  0.01663
LOC724323	  0.15223
LOC724328	  0.10177
LOC724330	  0.03001
LOC724335	  0.24384
LOC724338	  0.03553
LOC724339	  0.09456
LOC724341	  0.05698
LOC724343	  0.05736
LOC724344	  0.03085
LOC724348	  0.24518
LOC724350	  0.09519
LOC724353	  0.29485
LOC724361	  0.12804
LOC724365	  0.09233
LOC724366	  0.01831
LOC724368	  0.05853
LOC724378	  0.12134
LOC724386	  0.29807
LOC724399	  0.12056
LOC724407	  0.04867
LOC724408	  0.01468
LOC724420	  0.05033
LOC724423	  0.11684
LOC724432	  0.07455
LOC724433	  0.16397
LOC724443	  0.23004
LOC724450	  0.07633
LOC724457	  0.13998
LOC724458	  0.03805
LOC724463	  0.12314
LOC724486	  0.01225
LOC724488	  0.10414
LOC724496	  0.10202
LOC724505	  0.06574
LOC724506	  0.15340
LOC724510	  0.03663
LOC724517	  0.11369
LOC724527	  0.04605
LOC724532	  0.00745
LOC724533	  0.01111
LOC724536	  0.19512
LOC724542	  0.06902
LOC724545	  0.12230
LOC724559	  0.13552
LOC724594	  0.00198
LOC724599	  0.03022
LOC724625	  0.00010
LOC724628	  0.00137
LOC724630	  0.04950
LOC724646	  0.17325
LOC724648	  0.10282
LOC724654	  0.15945
LOC724656	  0.05941
LOC724665	  0.03277
LOC724676	  0.02176
LOC724681	  0.16099
LOC724700	  0.11987
LOC724703	  0.20138
LOC724704	  0.05449
LOC724710	  0.11655
LOC724737	  0.10980
LOC724741	  0.09946
LOC724742	  0.10970
LOC724744	  0.18746
LOC724765	  0.04689
LOC724768	  0.11049
LOC724769	  0.08000
LOC724775	  0.09174
LOC724778	  0.04544
LOC724786	  0.14662
LOC724790	  0.14428
LOC724791	  0.28298
LOC724794	  0.01762
LOC724798	  0.06795
LOC724799	  0.05895
LOC724804	  0.04833
LOC724809	  0.13245
LOC724810	  0.04991
LOC724826	  0.03429
LOC724827	  0.17183
LOC724863	  0.15899
LOC724865	  0.13653
LOC724868	  0.00915
LOC724876	  0.09616
LOC724879	  0.07536
LOC724885	  0.07171
LOC724888	  0.00901
LOC724891	  0.10016
LOC724896	  0.03488
LOC724913	  0.00878
LOC724914	  0.10824
LOC724926	  0.19600
LOC724927	  0.04867
LOC724930	  0.17743
LOC724932	  0.08023
LOC724936	  0.17745
LOC724943	  0.07956
LOC724947	  0.09426
LOC724948	  0.05651
LOC724953	  0.12723
LOC724954	  0.10267
LOC724955	  0.15225
LOC724986	  0.11471
LOC725012	  0.07593
LOC725023	  0.12555
LOC725026	  0.25333
LOC725042	  0.11873
LOC725044	  0.06025
LOC725055	  0.04835
LOC725059	  0.10615
LOC725085	  0.02315
LOC725099	  0.09141
LOC725105	  0.14569
LOC725111	  0.11857
LOC725142	  0.00274
LOC725143	  0.08554
LOC725146	  0.10799
LOC725149	  0.16489
LOC725169	  0.03828
LOC725178	  0.16846
LOC725184	  0.03076
LOC725204	  0.13557
LOC725216	  0.07747
LOC725230	  0.00154
LOC725238	  0.08417
LOC725240	  0.11411
LOC725252	  0.14045
LOC725254	  0.01863
LOC725255	  0.12160
LOC725258	  0.21916
LOC725261	  0.14778
LOC725266	  0.02669
LOC725274	  0.20001
LOC725306	  0.05027
LOC725316	  0.10745
LOC725320	  0.06998
LOC725325	  0.07768
LOC725327	  0.08058
LOC725329	
LOC725330	  0.12116
LOC725331	  0.08169
LOC725332	  0.05503
LOC725343	  0.08522
LOC725345	  0.07224
LOC725348	  0.07493
LOC725354	  0.07537
LOC725357	  0.24162
LOC725358	  0.11344
LOC725362	  0.01642
LOC725363	  0.11583
LOC725368	  0.18209
LOC725374	  0.04184
LOC725388	  0.09318
LOC725397	  0.06317
LOC725400	  0.08070
LOC725401	  0.00170
LOC725405	  0.10788
LOC725416	  0.00853
LOC725453	  0.06646
LOC725459	  0.12267
LOC725462	  0.11815
LOC725477	  0.13142
LOC725478	  0.07359
LOC725486	  0.16964
LOC725491	  0.13732
LOC725496	  0.16781
LOC725505	  0.03018
LOC725510	  0.30509
LOC725512	  0.24552
LOC725529	  0.14744
LOC725539	  0.12014
LOC725550	  0.17335
LOC725551	  0.02893
LOC725552	  0.02673
LOC725565	  0.03325
LOC725566	  0.21006
LOC725568	  0.09228
LOC725569	  0.07957
LOC725571	  0.01535
LOC725572	  0.14535
LOC725576	  0.12951
LOC725583	  0.09128
LOC725595	  0.08828
LOC725603	  0.14468
LOC725609	  0.02427
LOC725611	  0.10087
LOC725612	  0.05695
LOC725613	  0.10404
LOC725620	  0.12429
LOC725628	  0.10115
LOC725633	  0.09076
LOC725641	  0.01918
LOC725653	  0.09394
LOC725654	  0.04162
LOC725661	  0.20919
LOC725669	  0.19008
LOC725678	  0.01786
LOC725685	  0.09462
LOC725686	  0.02665
LOC725688	  0.21619
LOC725690	  0.20904
LOC725701	  0.02500
LOC725703	  0.11500
LOC725705	  0.13547
LOC725712	  0.28665
LOC725719	  0.04426
LOC725732	  0.23791
LOC725744	  0.02143
LOC725753	  0.06087
LOC725756	  0.15611
LOC725761	  0.15755
LOC725762	  0.04440
LOC725770	  0.02318
LOC725780	  0.02518
LOC725782	  0.00641
LOC725797	  0.22629
LOC725801	  0.07895
LOC725812	  0.06423
LOC725817	  0.15010
LOC725829	  0.02828
LOC725835	  0.08342
LOC725837	  0.10216
LOC725844	  0.06469
LOC725856	  0.01138
LOC725879	  0.31669
LOC725880	  0.00173
LOC725881	  0.29381
LOC725896	  0.08326
LOC725899	  0.04452
LOC725904	  0.04151
LOC725909	  0.18304
LOC725922	  0.18018
LOC725934	  0.10595
LOC725941	  0.15517
LOC725942	  0.19524
LOC725947	  0.00176
LOC725983	  0.09842
LOC726002	  0.04962
LOC726009	  0.05135
LOC726015	  0.16834
LOC726017	  0.15143
LOC726020	  0.11356
LOC726027	  0.11753
LOC726030	  0.10696
LOC726040	  0.22759
LOC726053	  0.03848
LOC726061	  0.06744
LOC726074	  0.07466
LOC726094	  0.10811
LOC726095	  0.07657
LOC726102	  0.20321
LOC726118	  0.17596
LOC726129	  0.01910
LOC726131	  0.24232
LOC726139	  0.06362
LOC726150	  0.03769
LOC726153	  0.02450
LOC726156	  0.04773
LOC726159	  0.06122
LOC726163	  0.08311
LOC726164	  0.05365
LOC726167	  0.27514
LOC726171	  0.00723
LOC726172	  0.07629
LOC726178	  0.01454
LOC726179	  0.03381
LOC726185	  0.05684
LOC726187	  0.02464
LOC726197	  0.00997
LOC726205	  0.11413
LOC726212	  0.08246
LOC726221	  0.13387
LOC726227	  0.10142
LOC726228	  0.11518
LOC726237	  0.08118
LOC726239	  0.10251
LOC726240	  0.05308
LOC726241	  0.16066
LOC726253	  0.13888
LOC726255	  0.19286
LOC726265	  0.09738
LOC726284	  0.12345
LOC726289	  0.02454
LOC726291	  0.06322
LOC726302	  0.02440
LOC726303	  0.08223
LOC726307	  0.08854
LOC726310	  0.13020
LOC726315	  0.14971
LOC726341	  0.23755
LOC726347	  0.16834
LOC726352	  0.20341
LOC726367	  0.12220
LOC726373	  0.13940
LOC726380	  0.09435
LOC726389	  0.25909
LOC726408	  0.01748
LOC726409	  0.00458
LOC726412	  0.14208
LOC726414	  0.19695
LOC726417	  0.15772
LOC726418	  0.12982
LOC726427	  0.10233
LOC726428	  0.13748
LOC726435	  0.05241
LOC726439	  0.00413
LOC726453	  0.19586
LOC726483	  0.18165
LOC726495	  0.12220
LOC726497	  0.07947
LOC726498	  0.15032
LOC726500	  0.00770
LOC726540	  0.07244
LOC726542	  0.00010
LOC726562	  0.02370
LOC726564	  0.19968
LOC726579	  0.12966
LOC726583	  0.13161
LOC726598	  0.01755
LOC726609	  0.00854
LOC726626	  0.20261
LOC726633	  0.09187
LOC726637	  0.08762
LOC726638	  0.17722
LOC726648	  0.11466
LOC726651	  0.19562
LOC726666	  0.01645
LOC726667	  0.04377
LOC726673	  0.16139
LOC726703	  0.18478
LOC726708	  0.02974
LOC726720	  0.01520
LOC726721	  0.00777
LOC726740	  0.08135
LOC726742	  0.13618
LOC726747	  0.25868
LOC726754	  0.16741
LOC726755	  0.09840
LOC726760	  0.17462
LOC726771	  0.02743
LOC726791	  0.05710
LOC726800	  0.14330
LOC726806	  0.22142
LOC726811	  0.17696
LOC726812	  0.09795
LOC726822	  0.02645
LOC726826	  0.04495
LOC726839	  0.11203
LOC726850	  0.15456
LOC726857	  0.18210
LOC726861	  0.10150
LOC726862	  0.14204
LOC726869	  0.06766
LOC726870	  0.16910
LOC726872	  0.09100
LOC726887	  0.05407
LOC726888	  0.09778
LOC726890	  0.15007
LOC726900	  0.17944
LOC726923	  0.02206
LOC726928	  0.17006
LOC726947	  0.16253
LOC726955	  0.17122
LOC726958	  0.14049
LOC726961	  0.12967
LOC726965	  0.18543
LOC726977	  0.10542
LOC726981	  0.19620
LOC726983	  0.14502
LOC726990	  0.10690
LOC726997	  0.07413
LOC726999	  0.06051
LOC727000	  0.04154
LOC727004	  0.07616
LOC727009	  0.21461
LOC727012	  0.14006
LOC727022	  0.14734
LOC727025	  0.00703
LOC727027	  0.08400
LOC727028	  0.07113
LOC727048	  0.13502
LOC727078	  0.17844
LOC727101	  0.06602
LOC727108	  0.05475
LOC727116	  0.11090
LOC727122	  0.19040
LOC727142	  0.08711
LOC727146	  0.07477
LOC727153	  0.08665
LOC727157	  0.14401
LOC727168	  0.05955
LOC727186	  0.19282
LOC727229	  0.03053
LOC727234	  0.13889
LOC727237	  0.26350
LOC727238	  0.05174
LOC727247	  0.16125
LOC727262	  0.08340
LOC727278	  0.11661
LOC727288	  0.11390
LOC727299	  0.01345
LOC727303	  0.14431
LOC727309	  0.08903
LOC727320	  0.11464
LOC727324	  0.14774
LOC727331	  0.05133
LOC727375	  0.04440
LOC727378	  0.00915
LOC727392	  0.06260
LOC727396	  0.12699
LOC727415	  0.10152
LOC727419	  0.08716
LOC727420	  0.16055
LOC727456	  0.01408
LOC727480	  0.07958
LOC727495	  0.12661
LOC727496	  0.20620
LOC727539	  0.06970
LOC727582	  0.05170
LOC727592	  0.11469
LOC727622	  0.08075
LOC727634	  0.14807
LOC727652	  0.21002
mGlutR1	  0.03420
Msx	  0.06058
nAChRa7	  0.10825
Ndufs1	  0.06367
NFRKB	  0.04969
NOS	  0.03191
Nrk1	  0.14086
Obp10	  0.05527
Pban	  0.13390
PGRP-S3	  0.16750
Ppib	  0.07018
PPO	  0.07986
Pten	  0.05417
Rep	  0.04206
Rnft2	  0.15765
RpL32	  0.01906
RpL35	  0.05746
Sergef	  0.18060
Smb	  0.00307
Snf	  0.00448
Sod2	  0.05788
SPG11	  0.14475
STT3B	  0.02664
Tpcn1	  0.05305
Tpi	  0.04718
TpnCIIb	  0.04048
TpnCIIIa	  0.01103
TpnT	  0.04561
Tspan6	  0.33080
Usp	  0.05155
Uvop	  0.04217
Vg	  0.22514
Vha16	  0.15142
Y-h	  0.07085
Y-y	  0.07018
LOC406097	  0.02592
LOC408358	  0.08380
LOC408391	  0.00212
LOC408426	  0.10250
LOC408438	  0.09294
LOC408717	  0.53528
LOC408808	  0.16696
LOC408834	  0.01832
LOC408851	  0.09901
LOC408924	  0.26822
LOC409036	  0.02896
LOC409055	  0.02718
LOC409125	  0.07336
LOC409165	  0.04234
LOC409226	  0.07872
LOC409286	  0.02780
LOC409334	  0.13826
LOC409336	  0.08915
LOC409341	  0.09712
LOC409365	  0.13662
LOC409386	  0.00354
LOC409393	  0.01406
LOC409495	  0.25922
LOC409523	  0.02754
LOC409529	  0.03164
LOC411270	  0.07065
LOC411295	  0.03562
LOC411519	  0.02314
LOC411566	  0.02296
LOC411639	  0.07834
LOC411892	  0.05843
LOC411915	  0.05363
LOC411980	  0.03971
LOC552062	  0.01479
LOC102654146	  0.12629
LOC411083	  0.03115
LOC411457	  0.07011
LOC411796	  0.06323
LOC551837	  0.16805
LOC551931	  0.02356
LOC726476	  0.09069
5-HT1	  0.08365
5-ht7	  0.12095
A4	  0.19851
Acph-1	  0.20930
ACSF2	  0.15856
Adar	  0.03833
Adk1	  0.09630
Amel_8916	  0.06404
Ant	  0.07417
Antp	  0.07545
apd-3	  0.30380
Argk	  0.03630
arm	  0.01817
BBIP1	  0.04206
Brd7	  0.03524
Cac	  0.07136
Calpb	  0.05144
Cat	  0.12938
Cbs	  0.11192
Cdc37	  0.07859
Cdk5	  0.04070
c-mos	  0.12567
CPR13	  0.16086
CPR16	  0.11844
CPR17	  0.08294
CPR21	  0.14535
CPR22	  0.02762
CPR3	  0.10236
CSP2	  0.11073
CSP3	  0.20933
CUTA	  0.05546
Cyp4g11	  0.07521
Dat	  0.05007
Dop1	  0.08089
Eaat-2	  0.14571
ecd	  0.08843
EF1a-F2	  0.02662
Eif3h	  0.00982
Eif4g	  0.13809
Err	  0.02865
eve	  0.08058
For	  0.05492
Foxp	  0.07309
Fstl5	  0.05950
Glob1	  0.20904
Gstcd	  0.10929
Gtpx1	  0.07412
Hex70a	  0.14754
Ho	  0.13995
Hsc70-3	  0.02172
InR-2	  0.06177
Kr-h1	  0.06362
Kr	  0.07393
LCCH3	  0.04899
Lin-52	  0.02638
LOC100217360	  0.09021
LOC100576097	  0.18319
LOC100576100	  0.14501
LOC100576104	  0.03390
LOC100576116	  0.12671
LOC100576130	  0.12281
LOC100576131	  0.06587
LOC100576132	  0.16438
LOC100576134	  0.05196
LOC100576147	  0.02976
LOC100576162	  0.18067
LOC100576163	  0.22532
LOC100576165	  0.22257
LOC100576167	  0.39390
LOC100576169	  0.12151
LOC100576174	  0.09270
LOC100576176	  0.07183
LOC100576182	  0.15537
LOC100576198	  0.21920
LOC100576215	  0.01809
LOC100576221	  0.12619
LOC100576222	  0.05806
LOC100576226	  0.12552
LOC100576247	  0.03663
LOC100576270	  0.12165
LOC100576272	  0.07471
LOC100576273	  0.11995
LOC100576284	  0.26749
LOC100576300	  0.09753
LOC100576304	  0.10720
LOC100576320	  0.13783
LOC100576333	  0.06871
LOC100576336	  0.08849
LOC100576346	  0.31360
LOC100576348	  0.19877
LOC100576349	  0.05738
LOC100576355	  0.09481
LOC100576359	  0.00877
LOC100576361	  0.17541
LOC100576366	  0.13343
LOC100576369	  0.02549
LOC100576374	  0.12583
LOC100576381	  0.15901
LOC100576384	  0.03561
LOC100576392	  0.12158
LOC100576400	  0.13218
LOC100576402	  0.07810
LOC100576414	  0.20608
LOC100576422	  0.18003
LOC100576432	  0.10741
LOC100576434	  0.16914
LOC100576435	  0.05796
LOC100576436	  0.15628
LOC100576438	  0.05732
LOC100576439	  0.16204
LOC100576447	  0.05696
LOC100576453	  0.11438
LOC100576460	  0.10651
LOC100576471	  0.14654
LOC100576472	  0.06752
LOC100576487	  0.13738
LOC100576497	  0.12522
LOC100576506	  0.10107
LOC100576512	  0.09399
LOC100576515	  0.05488
LOC100576528	  0.07267
LOC100576542	  0.05740
LOC100576543	  0.20349
LOC100576547	  0.04246
LOC100576559	  0.14315
LOC100576565	  0.13021
LOC100576571	  0.05373
LOC100576572	  0.05654
LOC100576592	  0.21388
LOC100576600	  0.04303
LOC100576610	  0.34425
LOC100576621	  0.04904
LOC100576625	  0.19127
LOC100576640	  0.32165
LOC100576662	  0.40934
LOC100576669	  0.18527
LOC100576671	  0.11481
LOC100576677	  0.17502
LOC100576688	  0.12702
LOC100576702	  0.19721
LOC100576703	  0.12092
LOC100576708	  0.16471
LOC100576717	  0.11498
LOC100576735	  0.15629
